root_url,wget_url,target_ip,wget_url_size(KB),rtt(ms),bandwidth(Kbps)
https://kolkataff.in,https://kolkataff.in/wp-content/uploads/2020/08/cropped-kolkata-ff-512x512-1.png,172.67.142.69,119,1,356800
https://tw.yahoo.com,https://tw.yahoo.com,69.147.92.12,306,0,3656
https://hindi.news18.com,https://hindi.news18.com,23.202.154.25,657,1,129600
https://app2dn.fextok.com,https://app2dn.fextok.com/assets/index.b70e4b2d.js,34.101.239.140,152,224,2720
https://imhentai.xxx,https://imhentai.xxx/6151206435.mp4,172.67.71.114,1206,0,495200
https://www.mangago.me,https://www.mangago.me,104.26.2.94,355,0,15040
https://www.espn.com.ve,https://www.espn.com.ve,108.138.85.83,191,0,498400
https://www.sinsay.com,https://www.sinsay.com/ba/bs/,104.96.220.139,1619,0,13680
https://www.tjk.org,https://www.tjk.org,51.81.107.96,203,1,284800
https://timesofindia.indiatimes.com,https://timesofindia.indiatimes.com,23.48.36.241,561,0,417600
https://www.alldesiporn.com,https://www.alldesiporn.com/img/Da/81387.jpg,172.67.136.130,103,0,54240
https://play.google.com,https://play.google.com,142.251.163.100,2745,1,96800
https://www.tamildhool.net,https://www.tamildhool.net/wp-content/uploads/2024/08/shaalin-zoya-vs-alya-explosive-d.jpg,104.27.201.89,102,0,8800
https://wiadomosci.wp.pl,https://wiadomosci.wp.pl,212.77.98.63,337,122,5424
https://es.scribd.com,https://es.scribd.com,146.75.30.152,974,0,608800
https://ads.google.com,https://ads.google.com,172.253.115.100,324,1,220000
https://vailonxx.vip,https://vailonxx.vip,172.67.175.253,133,0,324000
https://xbato.com,https://xbato.com/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,172.67.176.36,132,0,12400
