Type Time Length DataLength Raw_Seq/Ack
seq 16:13:13.005436 1500 1448 3592272897
ack 16:13:13.243994 40 0 0
ack 16:13:23.319691 60 0 0
seq 16:13:23.320192 60 0 2741110874
ack 16:13:23.589085 52 0 2741110875
ack 16:13:23.589116 208 156 2741110875
seq 16:13:23.589561 52 0 2741110875
seq 16:13:23.589725 1500 1448 2741110875
seq 16:13:23.589731 1500 1448 2741112323
seq 16:13:23.589733 1500 1448 2741113771
seq 16:13:23.589750 1500 1448 2741115219
seq 16:13:23.589752 1500 1448 2741116667
seq 16:13:23.589753 1500 1448 2741118115
seq 16:13:23.589754 1500 1448 2741119563
seq 16:13:23.589774 1500 1448 2741121011
seq 16:13:23.589776 1500 1448 2741122459
seq 16:13:23.589777 1500 1448 2741123907
ack 16:13:23.889031 52 0 2741112323
seq 16:13:23.889511 1500 1448 2741125355
ack 16:13:23.918153 52 0 2741113771
seq 16:13:23.918677 1500 1448 2741126803
ack 16:13:23.948293 52 0 2741115219
seq 16:13:23.948806 1500 1448 2741128251
ack 16:13:23.978547 52 0 2741116667
seq 16:13:23.978961 1500 1448 2741129699
ack 16:13:24.009559 52 0 2741118115
seq 16:13:24.010044 1500 1448 2741131147
ack 16:13:24.039690 52 0 2741119563
seq 16:13:24.040165 1500 1448 2741132595
ack 16:13:24.069824 52 0 2741121011
seq 16:13:24.070299 1500 1448 2741134043
ack 16:13:24.099973 52 0 2741122459
seq 16:13:24.100452 1500 1448 2741135491
ack 16:13:24.130084 52 0 2741123907
seq 16:13:24.130629 1500 1448 2741136939
ack 16:13:24.159232 52 0 2741125355
seq 16:13:24.159738 1500 1448 2741138387
ack 16:13:24.189451 52 0 2741126803
seq 16:13:24.189914 1500 1448 2741139835
ack 16:13:24.219507 52 0 2741128251
seq 16:13:24.219924 1500 1448 2741141283
ack 16:13:24.250625 52 0 2741129699
seq 16:13:24.251163 1500 1448 2741142731
ack 16:13:24.280789 52 0 2741131147
seq 16:13:24.281278 1500 1448 2741144179
ack 16:13:24.310995 52 0 2741132595
seq 16:13:24.311438 1500 1448 2741145627
ack 16:13:24.340126 52 0 2741134043
seq 16:13:24.340583 1500 1448 2741147075
ack 16:13:24.370264 52 0 2741135491
seq 16:13:24.370883 1500 1448 2741148523
ack 16:13:24.400402 52 0 2741136939
seq 16:13:24.400865 1500 1448 2741149971
ack 16:13:24.431529 52 0 2741138387
seq 16:13:24.432043 1500 1448 2741151419
ack 16:13:24.461667 52 0 2741139835
seq 16:13:24.462116 1500 1448 2741152867
ack 16:13:24.491798 52 0 2741141283
seq 16:13:24.492335 1500 1448 2741154315
ack 16:13:24.521941 52 0 2741142731
seq 16:13:24.522454 1500 1448 2741155763
ack 16:13:24.552080 52 0 2741144179
seq 16:13:24.552586 1500 1448 2741157211
ack 16:13:24.581226 52 0 2741145627
seq 16:13:24.581652 1500 1448 2741158659
ack 16:13:24.611518 52 0 2741147075
seq 16:13:24.611949 1500 1448 2741160107
ack 16:13:24.641668 52 0 2741148523
seq 16:13:24.642138 1500 1448 2741161555
ack 16:13:24.672784 52 0 2741149971
seq 16:13:24.673254 1500 1448 2741163003
ack 16:13:24.702915 52 0 2741151419
seq 16:13:24.703427 1500 1448 2741164451
ack 16:13:24.733045 52 0 2741152867
seq 16:13:24.733534 1500 1448 2741165899
ack 16:13:24.762189 52 0 2741154315
seq 16:13:24.762645 1500 1448 2741167347
ack 16:13:24.792377 52 0 2741155763
