Type Time Length DataLength Raw_Seq/Ack
ack 11:01:27.936871 60 0 0
seq 11:01:27.937448 60 0 1447009092
ack 11:01:28.206301 52 0 1447009093
ack 11:01:28.206332 208 156 1447009093
seq 11:01:28.206760 52 0 1447009093
seq 11:01:28.206927 1500 1448 1447009093
seq 11:01:28.206934 1500 1448 1447010541
seq 11:01:28.206967 1500 1448 1447011989
seq 11:01:28.206968 1500 1448 1447013437
seq 11:01:28.206970 1500 1448 1447014885
seq 11:01:28.206971 1500 1448 1447016333
seq 11:01:28.206973 1500 1448 1447017781
seq 11:01:28.206974 1500 1448 1447019229
seq 11:01:28.206976 1500 1448 1447020677
seq 11:01:28.206977 1500 1448 1447022125
ack 11:01:28.504282 52 0 1447010541
seq 11:01:28.504783 1500 1448 1447023573
seq 11:01:28.504795 1500 1448 1447025021
ack 11:01:28.534409 52 0 1447011989
seq 11:01:28.534914 1500 1448 1447026469
seq 11:01:28.534929 1500 1448 1447027917
ack 11:01:28.565557 52 0 1447013437
seq 11:01:28.565999 1500 1448 1447029365
seq 11:01:28.566010 1500 1448 1447030813
ack 11:01:28.595670 52 0 1447014885
seq 11:01:28.596098 1500 1448 1447032261
seq 11:01:28.596118 1500 1448 1447033709
ack 11:01:28.625808 52 0 1447016333
seq 11:01:28.626274 1500 1448 1447035157
seq 11:01:28.626285 1500 1448 1447036605
ack 11:01:28.655938 52 0 1447017781
seq 11:01:28.656414 1500 1448 1447038053
seq 11:01:28.656426 1500 1448 1447039501
ack 11:01:28.686033 52 0 1447019229
seq 11:01:28.686508 1500 1448 1447040949
seq 11:01:28.686519 1500 1448 1447042397
ack 11:01:28.715155 52 0 1447020677
seq 11:01:28.715656 1500 1448 1447043845
seq 11:01:28.715659 1500 1448 1447045293
ack 11:01:28.745399 52 0 1447022125
seq 11:01:28.745910 1500 1448 1447046741
seq 11:01:28.745934 1500 1448 1447048189
ack 11:01:28.775522 52 0 1447023573
seq 11:01:28.776023 1500 1448 1447049637
seq 11:01:28.776027 1500 1448 1447051085
ack 11:01:28.806652 52 0 1447025021
seq 11:01:28.807139 1500 1448 1447052533
seq 11:01:28.807151 1500 1448 1447053981
ack 11:01:28.836888 52 0 1447026469
seq 11:01:28.837365 1500 1448 1447055429
seq 11:01:28.837376 1500 1448 1447056877
ack 11:01:28.866895 52 0 1447027917
seq 11:01:28.867441 1500 1448 1447058325
seq 11:01:28.867454 1500 1448 1447059773
ack 11:01:28.897034 52 0 1447029365
seq 11:01:28.897511 1500 1448 1447061221
seq 11:01:28.897524 1500 1448 1447062669
ack 11:01:28.926200 52 0 1447030813
seq 11:01:28.926670 1500 1448 1447064117
seq 11:01:28.926673 1500 1448 1447065565
ack 11:01:28.956358 52 0 1447032261
seq 11:01:28.956847 1500 1448 1447067013
seq 11:01:28.956857 1500 1448 1447068461
ack 11:01:28.986493 52 0 1447033709
seq 11:01:28.986956 1500 1448 1447069909
seq 11:01:28.986958 1500 1448 1447071357
ack 11:01:29.017627 52 0 1447035157
seq 11:01:29.019375 1500 1448 1447072805
seq 11:01:29.019384 1500 1448 1447074253
ack 11:01:29.047799 52 0 1447036605
seq 11:01:29.048259 1500 1448 1447075701
seq 11:01:29.048279 1500 1448 1447077149
ack 11:01:29.077957 52 0 1447038053
seq 11:01:29.078399 1500 1448 1447078597
seq 11:01:29.078417 1500 1448 1447080045
ack 11:01:29.108071 52 0 1447039501
seq 11:01:29.108561 1500 1448 1447081493
seq 11:01:29.108575 1500 1448 1447082941
ack 11:01:29.137232 52 0 1447040949
seq 11:01:29.137734 1500 1448 1447084389
seq 11:01:29.137748 1500 1448 1447085837
ack 11:01:29.167374 52 0 1447042397
seq 11:01:29.167859 1500 1448 1447087285
ack 11:01:29.197525 52 0 1447043845
seq 11:01:29.198008 1500 1448 1447088733
ack 11:01:29.228669 52 0 1447045293
seq 11:01:29.229116 1500 1448 1447090181
ack 11:01:29.258798 52 0 1447046741
seq 11:01:29.259304 1500 1448 1447091629
ack 11:01:29.288909 52 0 1447048189
seq 11:01:29.289408 1500 1448 1447093077
ack 11:01:29.319058 52 0 1447049637
seq 11:01:29.319554 1500 1448 1447094525
ack 11:01:29.348203 52 0 1447051085
seq 11:01:29.348675 1500 1448 1447095973
ack 11:01:29.378347 52 0 1447052533
seq 11:01:29.378833 1500 1448 1447097421
ack 11:01:29.408493 52 0 1447053981
seq 11:01:29.408966 1500 1448 1447098869
ack 11:01:29.439624 52 0 1447055429
seq 11:01:29.440091 1500 1448 1447100317
ack 11:01:29.469749 52 0 1447056877
seq 11:01:29.470180 1500 1448 1447101765
ack 11:01:29.499897 52 0 1447058325
seq 11:01:29.500375 1500 1448 1447103213
