Type Time Length DataLength Raw_Seq/Ack
ack 06:32:29.893980 60 0 0
seq 06:32:29.894650 60 0 3917189562
ack 06:32:30.186573 52 0 3917189563
ack 06:32:30.186603 208 156 3917189563
seq 06:32:30.187073 52 0 3917189563
seq 06:32:30.187256 1500 1448 3917189563
seq 06:32:30.187269 1500 1448 3917191011
seq 06:32:30.187277 1500 1448 3917192459
seq 06:32:30.187278 1500 1448 3917193907
seq 06:32:30.187291 1500 1448 3917195355
seq 06:32:30.187292 1500 1448 3917196803
seq 06:32:30.187294 1500 1448 3917198251
seq 06:32:30.187295 1500 1448 3917199699
seq 06:32:30.187299 1500 1448 3917201147
seq 06:32:30.187300 1500 1448 3917202595
ack 06:32:30.485567 52 0 3917191011
seq 06:32:30.486029 1500 1448 3917204043
seq 06:32:30.486042 1500 1448 3917205491
ack 06:32:30.516682 52 0 3917192459
seq 06:32:30.517143 1500 1448 3917206939
seq 06:32:30.517155 1500 1448 3917208387
ack 06:32:30.546826 52 0 3917193907
seq 06:32:30.547309 1500 1448 3917209835
seq 06:32:30.547322 1500 1448 3917211283
ack 06:32:30.577001 52 0 3917195355
seq 06:32:30.577490 1500 1448 3917212731
seq 06:32:30.577504 1500 1448 3917214179
ack 06:32:30.606116 52 0 3917196803
seq 06:32:30.606556 1500 1448 3917215627
seq 06:32:30.606570 1500 1448 3917217075
ack 06:32:30.636315 52 0 3917198251
seq 06:32:30.636746 1500 1448 3917218523
seq 06:32:30.636757 1500 1448 3917219971
ack 06:32:30.666461 52 0 3917199699
seq 06:32:30.666873 1500 1448 3917221419
seq 06:32:30.666876 1500 1448 3917222867
ack 06:32:30.697597 52 0 3917201147
seq 06:32:30.698167 1500 1448 3917224315
seq 06:32:30.698179 1500 1448 3917225763
ack 06:32:30.727751 52 0 3917202595
seq 06:32:30.728185 1500 1448 3917227211
seq 06:32:30.728203 1500 1448 3917228659
ack 06:32:30.757877 52 0 3917204043
seq 06:32:30.758328 1500 1448 3917230107
seq 06:32:30.758339 1500 1448 3917231555
ack 06:32:30.788022 52 0 3917205491
seq 06:32:30.788477 1500 1448 3917233003
seq 06:32:30.788496 1500 1448 3917234451
ack 06:32:30.817172 52 0 3917206939
seq 06:32:30.817589 1500 1448 3917235899
seq 06:32:30.817592 1500 1448 3917237347
ack 06:32:30.847306 52 0 3917208387
seq 06:32:30.847752 1500 1448 3917238795
seq 06:32:30.847755 1500 1448 3917240243
ack 06:32:30.877416 52 0 3917209835
seq 06:32:30.877880 1500 1448 3917241691
seq 06:32:30.877889 1500 1448 3917243139
ack 06:32:30.908541 52 0 3917211283
seq 06:32:30.909025 1500 1448 3917244587
seq 06:32:30.909033 1500 1448 3917246035
ack 06:32:30.938664 52 0 3917212731
seq 06:32:30.939115 1500 1448 3917247483
seq 06:32:30.939125 1500 1448 3917248931
ack 06:32:30.968775 52 0 3917214179
seq 06:32:30.969272 1500 1448 3917250379
seq 06:32:30.969281 1500 1448 3917251827
ack 06:32:30.998867 52 0 3917215627
seq 06:32:30.999305 1500 1448 3917253275
seq 06:32:30.999317 1500 1448 3917254723
ack 06:32:31.028998 52 0 3917217075
seq 06:32:31.029433 1500 1448 3917256171
seq 06:32:31.029440 1500 1448 3917257619
ack 06:32:31.058103 52 0 3917218523
seq 06:32:31.058550 1500 1448 3917259067
seq 06:32:31.058556 1500 1448 3917260515
ack 06:32:31.088257 52 0 3917219971
seq 06:32:31.088678 1500 1448 3917261963
seq 06:32:31.088683 1500 1448 3917263411
ack 06:32:31.118380 52 0 3917221419
seq 06:32:31.118809 1500 1448 3917264859
seq 06:32:31.118812 1500 1448 3917266307
ack 06:32:31.148505 52 0 3917222867
seq 06:32:31.148959 1500 1448 3917267755
seq 06:32:31.148969 1500 1448 3917269203
ack 06:32:31.179611 52 0 3917224315
seq 06:32:31.180050 1500 1448 3917270651
seq 06:32:31.180057 1500 1448 3917272099
ack 06:32:31.209742 52 0 3917225763
seq 06:32:31.210184 1500 1448 3917273547
seq 06:32:31.210201 1500 1448 3917274995
ack 06:32:31.239915 52 0 3917227211
seq 06:32:31.240425 1500 1448 3917276443
seq 06:32:31.240434 1500 1448 3917277891
ack 06:32:31.270010 52 0 3917228659
seq 06:32:31.270425 1500 1448 3917279339
seq 06:32:31.270434 1500 1448 3917280787
ack 06:32:31.299113 52 0 3917230107
seq 06:32:31.299479 1500 1448 3917282235
seq 06:32:31.299491 1500 1448 3917283683
ack 06:32:31.329249 52 0 3917231555
seq 06:32:31.329684 1500 1448 3917285131
seq 06:32:31.329718 1500 1448 3917286579
ack 06:32:31.359355 52 0 3917233003
seq 06:32:31.359788 1500 1448 3917288027
seq 06:32:31.359792 1500 1448 3917289475
ack 06:32:31.390471 52 0 3917234451
seq 06:32:31.390919 1500 1448 3917290923
seq 06:32:31.390926 1500 1448 3917292371
ack 06:32:31.420573 52 0 3917235899
seq 06:32:31.421073 1500 1448 3917293819
seq 06:32:31.421087 1500 1448 3917295267
ack 06:32:31.450700 52 0 3917237347
seq 06:32:31.451176 1500 1448 3917296715
seq 06:32:31.451189 1500 1448 3917298163
ack 06:32:31.480831 52 0 3917238795
seq 06:32:31.481229 1500 1448 3917299611
seq 06:32:31.481238 1500 1448 3917301059
ack 06:32:31.510962 52 0 3917240243
seq 06:32:31.511404 1500 1448 3917302507
seq 06:32:31.511413 1500 1448 3917303955
ack 06:32:31.541093 52 0 3917241691
seq 06:32:31.541540 1500 1448 3917305403
seq 06:32:31.541549 1500 1448 3917306851
ack 06:32:31.570203 52 0 3917243139
seq 06:32:31.570706 1500 1448 3917308299
seq 06:32:31.570748 1500 1448 3917309747
ack 06:32:31.600335 52 0 3917244587
seq 06:32:31.600748 1500 1448 3917311195
seq 06:32:31.600756 1500 1448 3917312643
ack 06:32:31.630476 52 0 3917246035
seq 06:32:31.630913 1500 1448 3917314091
seq 06:32:31.630916 1500 1448 3917315539
ack 06:32:31.661590 52 0 3917247483
seq 06:32:31.661995 1500 1448 3917316987
seq 06:32:31.662016 1500 1448 3917318435
ack 06:32:31.691690 52 0 3917248931
seq 06:32:31.692086 1500 1448 3917319883
seq 06:32:31.692094 1500 1448 3917321331
ack 06:32:31.721831 52 0 3917250379
seq 06:32:31.722271 1500 1448 3917322779
seq 06:32:31.722280 1500 1448 3917324227
ack 06:32:31.751930 52 0 3917251827
seq 06:32:31.752335 1500 1448 3917325675
seq 06:32:31.752342 1500 1448 3917327123
