Type Time Length DataLength Raw_Seq/Ack
ack 15:38:41.424034 60 0 0
seq 15:38:41.424606 60 0 3045257363
ack 15:38:41.693502 52 0 3045257364
ack 15:38:41.693533 208 156 3045257364
seq 15:38:41.694025 52 0 3045257364
seq 15:38:41.694131 1500 1448 3045257364
seq 15:38:41.694136 1500 1448 3045258812
seq 15:38:41.694139 1500 1448 3045260260
seq 15:38:41.694140 1500 1448 3045261708
seq 15:38:41.694160 1500 1448 3045263156
seq 15:38:41.694161 1500 1448 3045264604
seq 15:38:41.694163 1500 1448 3045266052
seq 15:38:41.694164 1500 1448 3045267500
seq 15:38:41.694216 1500 1448 3045268948
seq 15:38:41.694218 1500 1448 3045270396
ack 15:38:42.004445 52 0 3045258812
seq 15:38:42.007066 1500 1448 3045271844
seq 15:38:42.007080 1500 1448 3045273292
ack 15:38:42.023281 52 0 3045260260
seq 15:38:42.023763 1500 1448 3045274740
seq 15:38:42.023775 1500 1448 3045276188
ack 15:38:42.053502 52 0 3045261708
seq 15:38:42.053924 1500 1448 3045277636
seq 15:38:42.053937 1500 1448 3045279084
ack 15:38:42.083700 52 0 3045263156
seq 15:38:42.084129 1500 1448 3045280532
seq 15:38:42.084141 1500 1448 3045281980
ack 15:38:42.126835 52 0 3045264604
seq 15:38:42.127314 1500 1448 3045283428
seq 15:38:42.127326 1500 1448 3045284876
ack 15:38:42.156995 52 0 3045266052
seq 15:38:42.157417 1500 1448 3045286324
seq 15:38:42.157428 1500 1448 3045287772
ack 15:38:42.186130 52 0 3045267500
seq 15:38:42.186570 1500 1448 3045289220
seq 15:38:42.186589 1500 1448 3045290668
ack 15:38:42.216285 52 0 3045268948
seq 15:38:42.216731 1500 1448 3045292116
seq 15:38:42.216750 1500 1448 3045293564
ack 15:38:42.246445 52 0 3045270396
seq 15:38:42.246943 1500 1448 3045295012
seq 15:38:42.246960 1500 1448 3045296460
ack 15:38:42.277589 52 0 3045271844
seq 15:38:42.278044 1500 1448 3045297908
seq 15:38:42.278055 1500 1448 3045299356
ack 15:38:42.307731 52 0 3045273292
seq 15:38:42.308162 1500 1448 3045300804
seq 15:38:42.308175 1500 1448 3045302252
ack 15:38:42.337871 52 0 3045274740
seq 15:38:42.338349 1500 1448 3045303700
seq 15:38:42.338361 1500 1448 3045305148
ack 15:38:42.368022 52 0 3045276188
seq 15:38:42.368462 1500 1448 3045306596
seq 15:38:42.368474 1500 1448 3045308044
ack 15:38:42.397171 52 0 3045277636
seq 15:38:42.397639 1500 1448 3045309492
seq 15:38:42.397651 1500 1448 3045310940
ack 15:38:42.427311 52 0 3045279084
seq 15:38:42.427770 1500 1448 3045312388
seq 15:38:42.427788 1500 1448 3045313836
ack 15:38:42.457446 52 0 3045280532
seq 15:38:42.457976 1500 1448 3045315284
seq 15:38:42.457990 1500 1448 3045316732
ack 15:38:42.488640 52 0 3045281980
seq 15:38:42.489113 1500 1448 3045318180
seq 15:38:42.489126 1500 1448 3045319628
ack 15:38:42.518761 52 0 3045283428
seq 15:38:42.519266 1500 1448 3045321076
ack 15:38:42.548900 52 0 3045284876
seq 15:38:42.549416 1500 1448 3045322524
ack 15:38:42.579057 52 0 3045286324
seq 15:38:42.579532 1500 1448 3045323972
ack 15:38:42.608216 52 0 3045287772
seq 15:38:42.608724 1500 1448 3045325420
ack 15:38:42.638363 52 0 3045289220
seq 15:38:42.638878 1500 1448 3045326868
ack 15:38:42.668519 52 0 3045290668
seq 15:38:42.669052 1500 1448 3045328316
ack 15:38:42.699637 52 0 3045292116
seq 15:38:42.700125 1500 1448 3045329764
ack 15:38:42.729799 52 0 3045293564
seq 15:38:42.730323 1500 1448 3045331212
ack 15:38:42.759942 52 0 3045295012
seq 15:38:42.760437 1500 1448 3045332660
ack 15:38:42.789112 52 0 3045296460
seq 15:38:42.789614 1500 1448 3045334108
ack 15:38:42.819368 52 0 3045297908
seq 15:38:42.819871 1500 1448 3045335556
ack 15:38:42.849519 52 0 3045299356
seq 15:38:42.849980 1500 1448 3045337004
ack 15:38:42.880640 52 0 3045300804
seq 15:38:42.881154 1500 1448 3045338452
ack 15:38:42.910778 52 0 3045302252
seq 15:38:42.911253 1500 1448 3045339900
ack 15:38:42.940935 52 0 3045303700
seq 15:38:42.941403 1500 1448 3045341348
ack 15:38:42.971065 52 0 3045305148
seq 15:38:42.971531 1500 1448 3045342796
ack 15:38:43.000232 52 0 3045306596
seq 15:38:43.000698 1500 1448 3045344244
ack 15:38:43.030413 52 0 3045308044
seq 15:38:43.030889 1500 1448 3045345692
ack 15:38:43.060547 52 0 3045309492
seq 15:38:43.061051 1500 1448 3045347140
ack 15:38:43.091661 52 0 3045310940
seq 15:38:43.092068 1500 1448 3045348588
seq 15:38:43.092080 1500 1448 3045350036
ack 15:38:43.121811 52 0 3045312388
seq 15:38:43.122332 1500 1448 3045351484
ack 15:38:43.151938 52 0 3045313836
seq 15:38:43.152359 1500 1448 3045352932
ack 15:38:43.182065 52 0 3045315284
seq 15:38:43.182521 1500 1448 3045354380
ack 15:38:43.211238 52 0 3045316732
seq 15:38:43.211755 1500 1448 3045355828
ack 15:38:43.241382 52 0 3045318180
seq 15:38:43.241844 1500 1448 3045357276
ack 15:38:43.271599 52 0 3045319628
seq 15:38:43.272050 1500 1448 3045358724
ack 15:38:43.302716 52 0 3045321076
seq 15:38:43.303158 1500 1448 3045360172
ack 15:38:43.332844 52 0 3045322524
seq 15:38:43.333375 1500 1448 3045361620
ack 15:38:43.362969 52 0 3045323972
seq 15:38:43.363469 1500 1448 3045363068
ack 15:38:43.392102 52 0 3045325420
seq 15:38:43.392557 1500 1448 3045364516
ack 15:38:43.422277 52 0 3045326868
seq 15:38:43.422769 1500 1448 3045365964
ack 15:38:43.452400 52 0 3045328316
seq 15:38:43.453010 1500 1448 3045367412
ack 15:38:43.483519 52 0 3045329764
seq 15:38:43.484035 1500 1448 3045368860
ack 15:38:43.513671 52 0 3045331212
seq 15:38:43.514161 1500 1448 3045370308
ack 15:38:43.543818 52 0 3045332660
seq 15:38:43.544260 1500 1448 3045371756
ack 15:38:43.573968 52 0 3045334108
seq 15:38:43.574444 1500 1448 3045373204
ack 15:38:43.603109 52 0 3045335556
seq 15:38:43.603562 1500 1448 3045374652
ack 15:38:43.633286 52 0 3045337004
seq 15:38:43.633773 1500 1448 3045376100
ack 15:38:43.663435 52 0 3045338452
seq 15:38:43.663974 1500 1448 3045377548
ack 15:38:43.694595 52 0 3045339900
seq 15:38:43.695019 1500 1448 3045378996
seq 15:38:43.695056 1500 1448 3045380444
ack 15:38:43.724756 52 0 3045341348
seq 15:38:43.725236 1500 1448 3045381892
ack 15:38:43.754879 52 0 3045342796
seq 15:38:43.755294 1500 1448 3045383340
ack 15:38:43.785001 52 0 3045344244
seq 15:38:43.785418 1500 1448 3045384788
ack 15:38:43.814177 52 0 3045345692
seq 15:38:43.814637 1500 1448 3045386236
ack 15:38:43.844323 52 0 3045347140
seq 15:38:43.844761 1500 1448 3045387684
ack 15:38:43.874535 52 0 3045348588
seq 15:38:43.874985 1500 1448 3045389132
ack 15:38:43.905633 52 0 3045350036
seq 15:38:43.906135 1500 1448 3045390580
ack 15:38:43.935777 52 0 3045351484
seq 15:38:43.936204 1500 1448 3045392028
ack 15:38:43.965915 52 0 3045352932
seq 15:38:43.966369 1500 1448 3045393476
ack 15:38:43.996075 52 0 3045354380
seq 15:38:43.996503 1500 1448 3045394924
ack 15:38:44.025243 52 0 3045355828
seq 15:38:44.025734 1500 1448 3045396372
ack 15:38:44.055439 52 0 3045357276
seq 15:38:44.055889 1500 1448 3045397820
ack 15:38:44.085633 52 0 3045358724
seq 15:38:44.086084 1500 1448 3045399268
ack 15:38:44.116807 52 0 3045360172
seq 15:38:44.117296 1500 1448 3045400716
ack 15:38:44.146946 52 0 3045361620
seq 15:38:44.147424 1500 1448 3045402164
ack 15:38:44.176098 52 0 3045363068
seq 15:38:44.176598 1500 1448 3045403612
ack 15:38:44.206239 52 0 3045364516
seq 15:38:44.206715 1500 1448 3045405060
ack 15:38:44.236434 52 0 3045365964
seq 15:38:44.236941 1500 1448 3045406508
ack 15:38:44.267543 52 0 3045367412
seq 15:38:44.268007 1500 1448 3045407956
ack 15:38:44.297732 52 0 3045368860
seq 15:38:44.298233 1500 1448 3045409404
seq 15:38:44.298246 1500 1448 3045410852
ack 15:38:44.327856 52 0 3045370308
seq 15:38:44.328317 1500 1448 3045412300
ack 15:38:44.357999 52 0 3045371756
seq 15:38:44.358509 1500 1448 3045413748
ack 15:38:44.387161 52 0 3045373204
seq 15:38:44.387650 1500 1448 3045415196
ack 15:38:44.417286 52 0 3045374652
seq 15:38:44.417816 1500 1448 3045416644
ack 15:38:44.447426 52 0 3045376100
seq 15:38:44.447904 1500 1448 3045418092
ack 15:38:44.478535 52 0 3045377548
seq 15:38:44.479036 1500 1448 3045419540
ack 15:38:44.508691 52 0 3045378996
seq 15:38:44.509195 1500 1448 3045420988
ack 15:38:44.538820 52 0 3045380444
seq 15:38:44.539324 1500 1448 3045422436
ack 15:38:44.568956 52 0 3045381892
seq 15:38:44.569449 1500 1448 3045423884
ack 15:38:44.598107 52 0 3045383340
seq 15:38:44.598602 1500 1448 3045425332
ack 15:38:44.628232 52 0 3045384788
seq 15:38:44.628713 1500 1448 3045426780
ack 15:38:44.658372 52 0 3045386236
seq 15:38:44.658885 1500 1448 3045428228
ack 15:38:44.689503 52 0 3045387684
seq 15:38:44.689992 1500 1448 3045429676
ack 15:38:44.719619 52 0 3045389132
seq 15:38:44.720073 1500 1448 3045431124
seq 15:38:44.720085 1500 1448 3045432572
ack 15:38:44.749750 52 0 3045390580
seq 15:38:44.750237 1500 1448 3045434020
ack 15:38:44.779881 52 0 3045392028
seq 15:38:44.780327 1500 1448 3045435468
ack 15:38:44.810003 52 0 3045393476
seq 15:38:44.810478 1500 1448 3045436916
ack 15:38:44.839163 52 0 3045394924
seq 15:38:44.839658 1500 1448 3045438364
ack 15:38:44.869312 52 0 3045396372
seq 15:38:44.869773 1500 1448 3045439812
ack 15:38:44.899469 52 0 3045397820
seq 15:38:44.899927 1500 1448 3045441260
ack 15:38:44.930558 52 0 3045399268
seq 15:38:44.930998 1500 1448 3045442708
seq 15:38:44.931008 1500 1448 3045444156
ack 15:38:44.960706 52 0 3045400716
seq 15:38:44.961217 1500 1448 3045445604
ack 15:38:44.990833 52 0 3045402164
seq 15:38:44.991276 1500 1448 3045447052
ack 15:38:45.020977 52 0 3045403612
seq 15:38:45.021419 1500 1448 3045448500
ack 15:38:45.050133 52 0 3045405060
seq 15:38:45.050576 1500 1448 3045449948
ack 15:38:45.080277 52 0 3045406508
seq 15:38:45.080814 1500 1448 3045451396
ack 15:38:45.110412 52 0 3045407956
seq 15:38:45.110857 1500 1448 3045452844
ack 15:38:45.141505 52 0 3045409404
seq 15:38:45.142003 1500 1448 3045454292
seq 15:38:45.142014 1500 1448 3045455740
ack 15:38:45.171692 52 0 3045410852
seq 15:38:45.172150 1500 1448 3045457188
ack 15:38:45.201806 52 0 3045412300
seq 15:38:45.202280 1500 1448 3045458636
ack 15:38:45.231944 52 0 3045413748
seq 15:38:45.232417 1500 1448 3045460084
ack 15:38:45.261132 52 0 3045415196
seq 15:38:45.261621 1500 1448 3045461532
ack 15:38:45.291274 52 0 3045416644
seq 15:38:45.291745 1500 1448 3045462980
ack 15:38:45.321400 52 0 3045418092
seq 15:38:45.321894 1500 1448 3045464428
seq 15:38:45.321906 1500 1448 3045465876
ack 15:38:45.352506 52 0 3045419540
seq 15:38:45.353026 1500 1448 3045467324
ack 15:38:45.382643 52 0 3045420988
seq 15:38:45.383126 1500 1448 3045468772
ack 15:38:45.412772 52 0 3045422436
seq 15:38:45.413255 1500 1448 3045470220
ack 15:38:45.442892 52 0 3045423884
