Type Time Length DataLength Raw_Seq/Ack
ack 02:03:33.453413 60 0 0
seq 02:03:33.454034 60 0 3201447930
ack 02:03:33.722883 52 0 3201447931
ack 02:03:33.722913 208 156 3201447931
seq 02:03:33.723384 52 0 3201447931
seq 02:03:33.723514 1500 1448 3201447931
seq 02:03:33.723518 1500 1448 3201449379
seq 02:03:33.723521 1500 1448 3201450827
seq 02:03:33.723522 1500 1448 3201452275
seq 02:03:33.723525 1500 1448 3201453723
seq 02:03:33.723525 1500 1448 3201455171
seq 02:03:33.723528 1500 1448 3201456619
seq 02:03:33.723529 1500 1448 3201458067
seq 02:03:33.723535 1500 1448 3201459515
seq 02:03:33.723536 1500 1448 3201460963
ack 02:03:34.023765 52 0 3201449379
seq 02:03:34.024266 1500 1448 3201462411
seq 02:03:34.024275 1500 1448 3201463859
ack 02:03:34.053944 52 0 3201450827
seq 02:03:34.054364 1500 1448 3201465307
seq 02:03:34.054367 1500 1448 3201466755
ack 02:03:34.084055 52 0 3201452275
seq 02:03:34.084474 1500 1448 3201468203
seq 02:03:34.084510 1500 1448 3201469651
ack 02:03:34.113192 52 0 3201453723
seq 02:03:34.113671 1500 1448 3201471099
seq 02:03:34.113674 1500 1448 3201472547
ack 02:03:34.143345 52 0 3201455171
seq 02:03:34.143815 1500 1448 3201473995
seq 02:03:34.143817 1500 1448 3201475443
ack 02:03:34.173466 52 0 3201456619
seq 02:03:34.173956 1500 1448 3201476891
seq 02:03:34.173958 1500 1448 3201478339
ack 02:03:34.204157 52 0 3201458067
seq 02:03:34.204615 1500 1448 3201479787
seq 02:03:34.204619 1500 1448 3201481235
ack 02:03:34.234232 52 0 3201459515
seq 02:03:34.234697 1500 1448 3201482683
seq 02:03:34.234700 1500 1448 3201484131
ack 02:03:34.292556 52 0 3201459515
seq 02:03:34.293003 1500 1448 3201485579
ack 02:03:34.323660 52 0 3201459515
seq 02:03:34.324092 1500 1448 3201487027
ack 02:03:34.353798 52 0 3201459515
seq 02:03:34.354188 1500 1448 3201459515
ack 02:03:34.383957 52 0 3201459515
ack 02:03:34.413072 52 0 3201459515
seq 02:03:34.413483 1500 1448 3201488475
ack 02:03:34.443312 52 0 3201459515
ack 02:03:34.473466 52 0 3201459515
seq 02:03:34.473943 1500 1448 3201489923
ack 02:03:34.504626 52 0 3201459515
ack 02:03:34.534739 52 0 3201459515
seq 02:03:34.535147 1500 1448 3201491371
ack 02:03:34.564893 52 0 3201459515
ack 02:03:34.595035 52 0 3201459515
seq 02:03:34.595493 1500 1448 3201492819
ack 02:03:34.624177 52 0 3201459515
ack 02:03:34.654338 52 0 3201459515
seq 02:03:34.654786 1500 1448 3201494267
ack 02:03:34.684485 52 0 3201459515
ack 02:03:34.715611 52 0 3201459515
