Type Time Length DataLength Raw_Seq/Ack
ack 02:04:15.107480 60 0 0
seq 02:04:15.108038 60 0 2951592527
ack 02:04:15.377027 52 0 2951592528
ack 02:04:15.377062 208 156 2951592528
seq 02:04:15.377547 52 0 2951592528
seq 02:04:15.377669 1500 1448 2951592528
seq 02:04:15.377676 1500 1448 2951593976
seq 02:04:15.377686 1500 1448 2951595424
seq 02:04:15.377687 1500 1448 2951596872
seq 02:04:15.377738 1500 1448 2951598320
seq 02:04:15.377744 1500 1448 2951599768
seq 02:04:15.377747 1500 1448 2951601216
seq 02:04:15.377748 1500 1448 2951602664
seq 02:04:15.377750 1500 1448 2951604112
seq 02:04:15.377752 1500 1448 2951605560
ack 02:04:15.675250 52 0 2951593976
seq 02:04:15.675726 1500 1448 2951607008
seq 02:04:15.675745 1500 1448 2951608456
ack 02:04:15.705363 52 0 2951595424
seq 02:04:15.705858 1500 1448 2951609904
seq 02:04:15.705871 1500 1448 2951611352
ack 02:04:15.735519 52 0 2951596872
seq 02:04:15.736011 1500 1448 2951612800
seq 02:04:15.736023 1500 1448 2951614248
ack 02:04:15.766651 52 0 2951598320
seq 02:04:15.767158 1500 1448 2951615696
seq 02:04:15.767171 1500 1448 2951617144
ack 02:04:15.796810 52 0 2951599768
seq 02:04:15.797314 1500 1448 2951618592
seq 02:04:15.797327 1500 1448 2951620040
ack 02:04:15.826141 52 0 2951601216
seq 02:04:15.826630 1500 1448 2951621488
seq 02:04:15.826655 1500 1448 2951622936
ack 02:04:15.856301 52 0 2951602664
seq 02:04:15.856753 1500 1448 2951624384
seq 02:04:15.856770 1500 1448 2951625832
ack 02:04:15.886492 52 0 2951604112
seq 02:04:15.886964 1500 1448 2951627280
seq 02:04:15.886986 1500 1448 2951628728
ack 02:04:15.917586 52 0 2951605560
seq 02:04:15.918103 1500 1448 2951630176
seq 02:04:15.918116 1500 1448 2951631624
ack 02:04:15.947744 52 0 2951607008
seq 02:04:15.948224 1500 1448 2951633072
seq 02:04:15.948235 1500 1448 2951634520
ack 02:04:15.977874 52 0 2951608456
seq 02:04:15.978381 1500 1448 2951635968
seq 02:04:15.978401 1500 1448 2951637416
ack 02:04:16.008020 52 0 2951609904
seq 02:04:16.008513 1500 1448 2951638864
seq 02:04:16.008534 1500 1448 2951640312
ack 02:04:16.037185 52 0 2951611352
seq 02:04:16.037670 1500 1448 2951641760
seq 02:04:16.037680 1500 1448 2951643208
ack 02:04:16.067340 52 0 2951612800
seq 02:04:16.067835 1500 1448 2951644656
seq 02:04:16.067849 1500 1448 2951646104
ack 02:04:16.097492 52 0 2951614248
seq 02:04:16.097957 1500 1448 2951647552
seq 02:04:16.097960 1500 1448 2951649000
ack 02:04:16.128621 52 0 2951615696
seq 02:04:16.129162 1500 1448 2951650448
seq 02:04:16.129177 1500 1448 2951651896
ack 02:04:16.158818 52 0 2951617144
seq 02:04:16.159299 1500 1448 2951653344
seq 02:04:16.159316 1500 1448 2951654792
ack 02:04:16.188917 52 0 2951618592
seq 02:04:16.189472 1500 1448 2951656240
ack 02:04:16.219050 52 0 2951620040
seq 02:04:16.219539 1500 1448 2951657688
ack 02:04:16.248259 52 0 2951621488
seq 02:04:16.248746 1500 1448 2951659136
ack 02:04:16.278394 52 0 2951622936
seq 02:04:16.278898 1500 1448 2951660584
ack 02:04:16.308534 52 0 2951624384
seq 02:04:16.309012 1500 1448 2951662032
ack 02:04:16.339649 52 0 2951625832
seq 02:04:16.340123 1500 1448 2951663480
ack 02:04:16.369819 52 0 2951627280
seq 02:04:16.370300 1500 1448 2951664928
ack 02:04:16.399960 52 0 2951628728
seq 02:04:16.400418 1500 1448 2951666376
ack 02:04:16.429091 52 0 2951630176
seq 02:04:16.429604 1500 1448 2951667824
ack 02:04:16.459343 52 0 2951631624
seq 02:04:16.459784 1500 1448 2951669272
ack 02:04:16.489476 52 0 2951633072
seq 02:04:16.489935 1500 1448 2951670720
ack 02:04:16.520581 52 0 2951634520
seq 02:04:16.521117 1500 1448 2951672168
ack 02:04:16.550720 52 0 2951635968
seq 02:04:16.551208 1500 1448 2951673616
ack 02:04:16.580847 52 0 2951637416
seq 02:04:16.581378 1500 1448 2951675064
ack 02:04:16.610989 52 0 2951638864
seq 02:04:16.611504 1500 1448 2951676512
ack 02:04:16.640161 52 0 2951640312
seq 02:04:16.640663 1500 1448 2951677960
ack 02:04:16.670348 52 0 2951641760
seq 02:04:16.670779 1500 1448 2951679408
ack 02:04:16.700498 52 0 2951643208
seq 02:04:16.700997 1500 1448 2951680856
ack 02:04:16.731622 52 0 2951644656
seq 02:04:16.732150 1500 1448 2951682304
ack 02:04:16.761760 52 0 2951646104
seq 02:04:16.762204 1500 1448 2951683752
ack 02:04:16.791918 52 0 2951647552
seq 02:04:16.792436 1500 1448 2951685200
ack 02:04:16.822069 52 0 2951649000
seq 02:04:16.822581 1500 1448 2951686648
ack 02:04:16.851278 52 0 2951650448
seq 02:04:16.851736 1500 1448 2951688096
ack 02:04:16.881431 52 0 2951651896
seq 02:04:16.881933 1500 1448 2951689544
ack 02:04:16.911593 52 0 2951653344
seq 02:04:16.912092 1500 1448 2951690992
ack 02:04:16.942702 52 0 2951654792
seq 02:04:16.943150 1500 1448 2951692440
ack 02:04:16.972832 52 0 2951656240
seq 02:04:16.973295 1500 1448 2951693888
ack 02:04:17.002994 52 0 2951657688
seq 02:04:17.003486 1500 1448 2951695336
seq 02:04:17.003554 1500 1448 2951696784
ack 02:04:17.032131 52 0 2951659136
seq 02:04:17.032642 1500 1448 2951698232
ack 02:04:17.062312 52 0 2951660584
seq 02:04:17.062751 1500 1448 2951699680
ack 02:04:17.092465 52 0 2951662032
seq 02:04:17.092980 1500 1448 2951701128
seq 02:04:17.092992 1500 1448 2951702576
ack 02:04:17.123615 52 0 2951663480
seq 02:04:17.124148 1500 1448 2951704024
ack 02:04:17.153713 52 0 2951664928
seq 02:04:17.154183 1500 1448 2951705472
ack 02:04:17.183879 52 0 2951666376
seq 02:04:17.184397 1500 1448 2951706920
seq 02:04:17.184410 1500 1448 2951708368
ack 02:04:17.214001 52 0 2951667824
seq 02:04:17.214471 1500 1448 2951709816
ack 02:04:17.243169 52 0 2951669272
seq 02:04:17.243673 1500 1448 2951711264
ack 02:04:17.273333 52 0 2951670720
seq 02:04:17.273824 1500 1448 2951712712
seq 02:04:17.273835 1500 1448 2951714160
ack 02:04:17.303465 52 0 2951672168
seq 02:04:17.303967 1500 1448 2951715608
ack 02:04:17.334575 52 0 2951673616
seq 02:04:17.335126 1500 1448 2951717056
ack 02:04:17.364718 52 0 2951675064
seq 02:04:17.365234 1500 1448 2951718504
seq 02:04:17.365257 1500 1448 2951719952
ack 02:04:17.394861 52 0 2951676512
seq 02:04:17.395323 1500 1448 2951721400
ack 02:04:17.425006 52 0 2951677960
seq 02:04:17.425547 1500 1448 2951722848
ack 02:04:17.454186 52 0 2951679408
seq 02:04:17.454649 1500 1448 2951724296
seq 02:04:17.454656 1500 1448 2951725744
ack 02:04:17.484352 52 0 2951680856
seq 02:04:17.484795 1500 1448 2951727192
ack 02:04:17.514494 52 0 2951682304
seq 02:04:17.514968 1500 1448 2951728640
ack 02:04:17.545607 52 0 2951683752
seq 02:04:17.546139 1500 1448 2951730088
seq 02:04:17.546150 1500 1448 2951731536
ack 02:04:17.575738 52 0 2951685200
seq 02:04:17.576253 1500 1448 2951732984
ack 02:04:17.605877 52 0 2951686648
seq 02:04:17.606352 1500 1448 2951734432
ack 02:04:17.636027 52 0 2951688096
seq 02:04:17.636548 1500 1448 2951735880
seq 02:04:17.636560 1500 1448 2951737328
ack 02:04:17.665188 52 0 2951689544
seq 02:04:17.665708 1500 1448 2951738776
ack 02:04:17.695359 52 0 2951690992
seq 02:04:17.695803 1500 1448 2951740224
ack 02:04:17.725501 52 0 2951692440
seq 02:04:17.725981 1500 1448 2951741672
seq 02:04:17.726001 1500 1448 2951743120
ack 02:04:17.756633 52 0 2951693888
seq 02:04:17.757152 1500 1448 2951744568
ack 02:04:17.786759 52 0 2951695336
seq 02:04:17.787262 1500 1448 2951746016
ack 02:04:17.816918 52 0 2951696784
seq 02:04:17.817385 1500 1448 2951747464
seq 02:04:17.817403 1500 1448 2951748912
ack 02:04:17.847065 52 0 2951698232
seq 02:04:17.847575 1500 1448 2951750360
ack 02:04:17.876258 52 0 2951699680
seq 02:04:17.876723 1500 1448 2951751808
ack 02:04:17.906414 52 0 2951701128
seq 02:04:17.906899 1500 1448 2951753256
seq 02:04:17.906915 1500 1448 2951754704
ack 02:04:17.936602 52 0 2951702576
seq 02:04:17.937079 1500 1448 2951756152
ack 02:04:17.967756 52 0 2951704024
seq 02:04:17.968200 1500 1448 2951757600
ack 02:04:17.997857 52 0 2951705472
seq 02:04:17.998371 1500 1448 2951759048
seq 02:04:17.998384 1500 1448 2951760496
ack 02:04:18.028001 52 0 2951706920
seq 02:04:18.028522 1500 1448 2951761944
ack 02:04:18.057135 52 0 2951708368
seq 02:04:18.057653 1500 1448 2951763392
ack 02:04:18.087314 52 0 2951709816
seq 02:04:18.087795 1500 1448 2951764840
seq 02:04:18.087798 1500 1448 2951766288
ack 02:04:18.117480 52 0 2951711264
seq 02:04:18.117958 1500 1448 2951767736
ack 02:04:18.148621 52 0 2951712712
seq 02:04:18.149121 1500 1448 2951769184
ack 02:04:18.178745 52 0 2951714160
seq 02:04:18.179195 1500 1448 2951770632
seq 02:04:18.179208 1500 1448 2951772080
ack 02:04:18.208888 52 0 2951715608
seq 02:04:18.209370 1500 1448 2951773528
ack 02:04:18.239018 52 0 2951717056
seq 02:04:18.239495 1500 1448 2951774976
ack 02:04:18.268169 52 0 2951718504
seq 02:04:18.268641 1500 1448 2951776424
seq 02:04:18.268659 1500 1448 2951777872
ack 02:04:18.298303 52 0 2951719952
seq 02:04:18.298752 1500 1448 2951779320
ack 02:04:18.328465 52 0 2951721400
seq 02:04:18.328948 1500 1448 2951780768
ack 02:04:18.359674 52 0 2951722848
seq 02:04:18.360155 1500 1448 2951782216
seq 02:04:18.360167 1500 1448 2951783664
ack 02:04:18.389790 52 0 2951724296
seq 02:04:18.390294 1500 1448 2951785112
ack 02:04:18.419972 52 0 2951725744
seq 02:04:18.420423 1500 1448 2951786560
ack 02:04:18.450122 52 0 2951727192
seq 02:04:18.450609 1500 1448 2951788008
seq 02:04:18.450622 1500 1448 2951789456
ack 02:04:18.479264 52 0 2951728640
seq 02:04:18.479764 1500 1448 2951790904
ack 02:04:18.509427 52 0 2951730088
seq 02:04:18.509899 1500 1448 2951792352
seq 02:04:18.509908 1500 1448 2951793800
ack 02:04:18.539592 52 0 2951731536
seq 02:04:18.540046 1500 1448 2951795248
ack 02:04:18.570718 52 0 2951732984
seq 02:04:18.571171 1500 1448 2951796696
seq 02:04:18.571185 1500 1448 2951798144
ack 02:04:18.600830 52 0 2951734432
seq 02:04:18.601293 1500 1448 2951799592
ack 02:04:18.631016 52 0 2951735880
seq 02:04:18.631496 1500 1448 2951801040
seq 02:04:18.631507 1500 1448 2951802488
ack 02:04:18.660149 52 0 2951737328
seq 02:04:18.660671 1500 1448 2951803936
ack 02:04:18.690334 52 0 2951738776
seq 02:04:18.690791 1500 1448 2951805384
seq 02:04:18.690801 1500 1448 2951806832
ack 02:04:18.720476 52 0 2951740224
seq 02:04:18.720972 1500 1448 2951808280
ack 02:04:18.751627 52 0 2951741672
seq 02:04:18.752062 1500 1448 2951809728
seq 02:04:18.752070 1500 1448 2951811176
ack 02:04:18.781765 52 0 2951743120
seq 02:04:18.782175 1500 1448 2951812624
ack 02:04:18.811883 52 0 2951744568
seq 02:04:18.812369 1500 1448 2951814072
seq 02:04:18.812426 1500 1448 2951815520
ack 02:04:18.842052 52 0 2951746016
seq 02:04:18.842502 1500 1448 2951816968
ack 02:04:18.871232 52 0 2951747464
seq 02:04:18.871738 1500 1448 2951818416
seq 02:04:18.871749 1500 1448 2951819864
ack 02:04:18.901394 52 0 2951748912
seq 02:04:18.901872 1500 1448 2951821312
ack 02:04:18.931552 52 0 2951750360
seq 02:04:18.932056 1500 1448 2951822760
seq 02:04:18.932069 1500 1448 2951824208
ack 02:04:18.962678 52 0 2951751808
seq 02:04:18.963147 1500 1448 2951825656
ack 02:04:18.992833 52 0 2951753256
seq 02:04:18.993330 1500 1448 2951827104
ack 02:04:19.022979 52 0 2951754704
seq 02:04:19.023480 1500 1448 2951828552
seq 02:04:19.023494 1500 1448 2951830000
ack 02:04:19.052147 52 0 2951756152
seq 02:04:19.052636 1500 1448 2951831448
seq 02:04:19.052648 1500 1448 2951832896
ack 02:04:19.082315 52 0 2951757600
seq 02:04:19.082777 1500 1448 2951834344
ack 02:04:19.112479 52 0 2951759048
seq 02:04:19.112969 1500 1448 2951835792
seq 02:04:19.112988 1500 1448 2951837240
ack 02:04:19.143610 52 0 2951760496
seq 02:04:19.144128 1500 1448 2951838688
