Type Time Length DataLength Raw_Seq/Ack
ack 13:19:01.182138 60 0 0
seq 13:19:01.182784 60 0 2188299542
ack 13:19:01.451705 52 0 2188299543
ack 13:19:01.451744 208 156 2188299543
seq 13:19:01.452213 52 0 2188299543
seq 13:19:01.452440 1500 1448 2188299543
seq 13:19:01.452449 1500 1448 2188300991
seq 13:19:01.452455 1500 1448 2188302439
seq 13:19:01.452455 1500 1448 2188303887
seq 13:19:01.452472 1500 1448 2188305335
seq 13:19:01.452473 1500 1448 2188306783
seq 13:19:01.452476 1500 1448 2188308231
seq 13:19:01.452478 1500 1448 2188309679
seq 13:19:01.452481 1500 1448 2188311127
seq 13:19:01.452482 1500 1448 2188312575
ack 13:19:01.751779 52 0 2188300991
seq 13:19:01.753448 1500 1448 2188314023
seq 13:19:01.753462 1500 1448 2188315471
ack 13:19:01.781929 52 0 2188302439
seq 13:19:01.782364 1500 1448 2188316919
seq 13:19:01.782397 1500 1448 2188318367
ack 13:19:01.812064 52 0 2188303887
seq 13:19:01.812502 1500 1448 2188319815
seq 13:19:01.812513 1500 1448 2188321263
ack 13:19:01.841173 52 0 2188305335
seq 13:19:01.841687 1500 1448 2188322711
seq 13:19:01.841697 1500 1448 2188324159
ack 13:19:01.871318 52 0 2188306783
seq 13:19:01.871795 1500 1448 2188325607
seq 13:19:01.871807 1500 1448 2188327055
ack 13:19:01.901439 52 0 2188308231
seq 13:19:01.901881 1500 1448 2188328503
seq 13:19:01.901892 1500 1448 2188329951
ack 13:19:01.932534 52 0 2188309679
seq 13:19:01.932969 1500 1448 2188331399
seq 13:19:01.932980 1500 1448 2188332847
ack 13:19:01.962710 52 0 2188311127
seq 13:19:01.963221 1500 1448 2188334295
seq 13:19:01.963259 1500 1448 2188335743
ack 13:19:01.992784 52 0 2188312575
seq 13:19:01.993263 1500 1448 2188337191
seq 13:19:01.993273 1500 1448 2188338639
ack 13:19:02.022909 52 0 2188312575
seq 13:19:02.023334 1500 1448 2188340087
ack 13:19:02.053002 52 0 2188312575
seq 13:19:02.053454 1500 1448 2188341535
ack 13:19:02.082147 52 0 2188312575
seq 13:19:02.082579 1500 1448 2188312575
ack 13:19:02.112295 52 0 2188312575
seq 13:19:02.112721 1500 1448 2188342983
ack 13:19:02.142429 52 0 2188312575
ack 13:19:02.173520 52 0 2188312575
seq 13:19:02.174017 1500 1448 2188344431
ack 13:19:02.203643 52 0 2188312575
ack 13:19:02.233783 52 0 2188312575
seq 13:19:02.234193 1500 1448 2188345879
ack 13:19:02.263910 52 0 2188312575
ack 13:19:02.294025 52 0 2188312575
seq 13:19:02.294456 1500 1448 2188347327
ack 13:19:02.323165 52 0 2188312575
ack 13:19:02.353290 52 0 2188312575
seq 13:19:02.353721 1500 1448 2188348775
ack 13:19:02.383443 52 0 2188312575
ack 13:19:02.414553 52 0 2188312575
seq 13:19:02.414966 1500 1448 2188350223
ack 13:19:02.444677 52 0 2188312575
ack 13:19:02.474822 52 0 2188312575
seq 13:19:02.475319 1500 1448 2188351671
ack 13:19:02.504946 52 0 2188312575
ack 13:19:02.535056 52 0 2188312575
ack 13:19:02.564207 52 0 2188312575
seq 13:19:02.564689 1500 1448 2188353119
ack 13:19:02.594361 52 0 2188312575
seq 13:19:02.594810 1500 1448 2188354567
ack 13:19:02.624446 52 0 2188342983
seq 13:19:02.624934 1500 1448 2188356015
ack 13:19:02.655579 52 0 2188344431
seq 13:19:02.656051 1500 1448 2188357463
ack 13:19:02.685690 52 0 2188345879
seq 13:19:02.686120 1500 1448 2188358911
ack 13:19:02.715791 52 0 2188347327
seq 13:19:02.716251 1500 1448 2188360359
ack 13:19:02.745907 52 0 2188348775
seq 13:19:02.746316 1500 1448 2188361807
ack 13:19:02.776033 52 0 2188350223
seq 13:19:02.776504 1500 1448 2188363255
ack 13:19:02.805150 52 0 2188351671
seq 13:19:02.805600 1500 1448 2188364703
ack 13:19:02.835283 52 0 2188353119
seq 13:19:02.835720 1500 1448 2188366151
ack 13:19:02.865420 52 0 2188354567
seq 13:19:02.865851 1500 1448 2188367599
ack 13:19:02.896485 52 0 2188356015
seq 13:19:02.896881 1500 1448 2188369047
ack 13:19:02.926599 52 0 2188357463
seq 13:19:02.927032 1500 1448 2188370495
seq 13:19:02.927145 1500 1448 2188371943
ack 13:19:02.956689 52 0 2188358911
seq 13:19:02.957134 1500 1448 2188373391
ack 13:19:02.986813 52 0 2188360359
seq 13:19:02.987251 1500 1448 2188374839
ack 13:19:03.016910 52 0 2188361807
seq 13:19:03.017392 1500 1448 2188376287
ack 13:19:03.047034 52 0 2188363255
seq 13:19:03.047462 1500 1448 2188377735
ack 13:19:03.076170 52 0 2188364703
seq 13:19:03.076653 1500 1448 2188379183
ack 13:19:03.106304 52 0 2188366151
seq 13:19:03.106728 1500 1448 2188380631
ack 13:19:03.136405 52 0 2188367599
seq 13:19:03.136860 1500 1448 2188382079
ack 13:19:03.167489 52 0 2188369047
seq 13:19:03.167903 1500 1448 2188383527
ack 13:19:03.197597 52 0 2188370495
seq 13:19:03.198074 1500 1448 2188384975
ack 13:19:03.227712 52 0 2188371943
seq 13:19:03.228623 1500 1448 2188386423
ack 13:19:03.257841 52 0 2188373391
seq 13:19:03.258307 1500 1448 2188387871
seq 13:19:03.258316 1500 1448 2188389319
ack 13:19:03.287922 52 0 2188374839
seq 13:19:03.288328 1500 1448 2188390767
ack 13:19:03.318015 52 0 2188376287
seq 13:19:03.318458 1500 1448 2188392215
ack 13:19:03.347161 52 0 2188377735
seq 13:19:03.347597 1500 1448 2188393663
ack 13:19:03.377308 52 0 2188379183
seq 13:19:03.377791 1500 1448 2188395111
ack 13:19:03.407398 52 0 2188380631
seq 13:19:03.407856 1500 1448 2188396559
ack 13:19:03.438469 52 0 2188382079
seq 13:19:03.438885 1500 1448 2188398007
ack 13:19:03.468577 52 0 2188383527
seq 13:19:03.469074 1500 1448 2188399455
ack 13:19:03.498696 52 0 2188384975
seq 13:19:03.499190 1500 1448 2188400903
ack 13:19:03.528792 52 0 2188386423
seq 13:19:03.529265 1500 1448 2188402351
ack 13:19:03.558895 52 0 2188387871
seq 13:19:03.559330 1500 1448 2188403799
ack 13:19:03.589002 52 0 2188389319
seq 13:19:03.589410 1500 1448 2188405247
ack 13:19:03.618145 52 0 2188390767
seq 13:19:03.618574 1500 1448 2188406695
seq 13:19:03.618591 1500 1448 2188408143
ack 13:19:03.648290 52 0 2188392215
seq 13:19:03.648709 1500 1448 2188409591
ack 13:19:03.678404 52 0 2188393663
seq 13:19:03.678863 1500 1448 2188411039
ack 13:19:03.709477 52 0 2188395111
seq 13:19:03.709905 1500 1448 2188412487
ack 13:19:03.739590 52 0 2188396559
seq 13:19:03.740028 1500 1448 2188413935
ack 13:19:03.769693 52 0 2188398007
seq 13:19:03.770177 1500 1448 2188415383
ack 13:19:03.799820 52 0 2188399455
seq 13:19:03.800286 1500 1448 2188416831
ack 13:19:03.829924 52 0 2188400903
seq 13:19:03.830350 1500 1448 2188418279
ack 13:19:03.860031 52 0 2188402351
seq 13:19:03.860470 1500 1448 2188419727
ack 13:19:03.889179 52 0 2188403799
seq 13:19:03.889613 1500 1448 2188421175
ack 13:19:03.919284 52 0 2188405247
seq 13:19:03.919724 1500 1448 2188422623
ack 13:19:03.949401 52 0 2188406695
seq 13:19:03.949842 1500 1448 2188424071
ack 13:19:03.980492 52 0 2188408143
seq 13:19:03.980927 1500 1448 2188425519
ack 13:19:04.010609 52 0 2188409591
seq 13:19:04.011052 1500 1448 2188426967
seq 13:19:04.011069 1500 1448 2188428415
ack 13:19:04.040748 52 0 2188411039
seq 13:19:04.041189 1500 1448 2188429863
ack 13:19:04.070857 52 0 2188412487
seq 13:19:04.071320 1500 1448 2188431311
ack 13:19:04.100947 52 0 2188413935
seq 13:19:04.101422 1500 1448 2188432759
ack 13:19:04.131054 52 0 2188415383
seq 13:19:04.131484 1500 1448 2188434207
ack 13:19:04.160191 52 0 2188416831
seq 13:19:04.160616 1500 1448 2188435655
ack 13:19:04.190317 52 0 2188418279
seq 13:19:04.190751 1500 1448 2188437103
ack 13:19:04.220423 52 0 2188419727
seq 13:19:04.220850 1500 1448 2188438551
ack 13:19:04.251513 52 0 2188421175
seq 13:19:04.251909 1500 1448 2188439999
ack 13:19:04.281621 52 0 2188422623
seq 13:19:04.282037 1500 1448 2188441447
ack 13:19:04.311727 52 0 2188424071
seq 13:19:04.312170 1500 1448 2188442895
ack 13:19:04.341836 52 0 2188425519
seq 13:19:04.342313 1500 1448 2188444343
ack 13:19:04.371952 52 0 2188426967
seq 13:19:04.372390 1500 1448 2188445791
ack 13:19:04.401121 52 0 2188428415
seq 13:19:04.401603 1500 1448 2188447239
ack 13:19:04.431294 52 0 2188429863
seq 13:19:04.431730 1500 1448 2188448687
seq 13:19:04.431748 1500 1448 2188450135
ack 13:19:04.461379 52 0 2188431311
seq 13:19:04.461796 1500 1448 2188451583
ack 13:19:04.492461 52 0 2188432759
seq 13:19:04.492921 1500 1448 2188453031
ack 13:19:04.522605 52 0 2188434207
seq 13:19:04.523059 1500 1448 2188454479
ack 13:19:04.552681 52 0 2188435655
seq 13:19:04.553098 1500 1448 2188455927
ack 13:19:04.582835 52 0 2188437103
seq 13:19:04.583268 1500 1448 2188457375
ack 13:19:04.612954 52 0 2188438551
seq 13:19:04.613573 1500 1448 2188458823
ack 13:19:04.643030 52 0 2188439999
seq 13:19:04.643478 1500 1448 2188460271
ack 13:19:04.672192 52 0 2188441447
seq 13:19:04.672651 1500 1448 2188461719
ack 13:19:04.702303 52 0 2188442895
seq 13:19:04.702763 1500 1448 2188463167
ack 13:19:04.732448 52 0 2188444343
seq 13:19:04.732926 1500 1448 2188464615
ack 13:19:04.763507 52 0 2188445791
seq 13:19:04.763988 1500 1448 2188466063
ack 13:19:04.793624 52 0 2188447239
seq 13:19:04.794050 1500 1448 2188467511
ack 13:19:04.823732 52 0 2188448687
seq 13:19:04.824198 1500 1448 2188468959
ack 13:19:04.853850 52 0 2188450135
seq 13:19:04.854313 1500 1448 2188470407
ack 13:19:04.883963 52 0 2188451583
seq 13:19:04.884343 1500 1448 2188471855
ack 13:19:04.913149 52 0 2188453031
seq 13:19:04.913604 1500 1448 2188473303
ack 13:19:04.943240 52 0 2188454479
seq 13:19:04.943685 1500 1448 2188474751
ack 13:19:04.973359 52 0 2188455927
seq 13:19:04.973814 1500 1448 2188476199
ack 13:19:05.004461 52 0 2188457375
seq 13:19:05.004889 1500 1448 2188477647
ack 13:19:05.034552 52 0 2188458823
seq 13:19:05.035029 1500 1448 2188479095
ack 13:19:05.064672 52 0 2188460271
seq 13:19:05.065138 1500 1448 2188480543
ack 13:19:05.094828 52 0 2188461719
seq 13:19:05.095357 1500 1448 2188481991
ack 13:19:05.124903 52 0 2188463167
seq 13:19:05.125356 1500 1448 2188483439
ack 13:19:05.155004 52 0 2188464615
seq 13:19:05.155456 1500 1448 2188484887
ack 13:19:05.184130 52 0 2188466063
seq 13:19:05.184573 1500 1448 2188486335
ack 13:19:05.214278 52 0 2188467511
seq 13:19:05.214719 1500 1448 2188487783
ack 13:19:05.244364 52 0 2188468959
seq 13:19:05.244795 1500 1448 2188489231
seq 13:19:05.244802 1500 1448 2188490679
ack 13:19:05.275477 52 0 2188470407
seq 13:19:05.275950 1500 1448 2188492127
ack 13:19:05.305574 52 0 2188471855
seq 13:19:05.306008 1500 1448 2188493575
ack 13:19:05.335706 52 0 2188473303
seq 13:19:05.336185 1500 1448 2188495023
ack 13:19:05.365802 52 0 2188474751
seq 13:19:05.366283 1500 1448 2188496471
ack 13:19:05.395901 52 0 2188476199
seq 13:19:05.396347 1500 1448 2188497919
ack 13:19:05.426003 52 0 2188477647
seq 13:19:05.426459 1500 1448 2188499367
ack 13:19:05.455163 52 0 2188479095
seq 13:19:05.455588 1500 1448 2188500815
ack 13:19:05.485304 52 0 2188480543
seq 13:19:05.485731 1500 1448 2188502263
ack 13:19:05.515441 52 0 2188481991
seq 13:19:05.515903 1500 1448 2188503711
ack 13:19:05.546507 52 0 2188483439
seq 13:19:05.546946 1500 1448 2188505159
ack 13:19:05.576625 52 0 2188484887
seq 13:19:05.577048 1500 1448 2188506607
ack 13:19:05.606737 52 0 2188486335
seq 13:19:05.607189 1500 1448 2188508055
ack 13:19:05.639328 52 0 2188487783
seq 13:19:05.639764 1500 1448 2188509503
ack 13:19:05.666463 52 0 2188489231
seq 13:19:05.666901 1500 1448 2188510951
ack 13:19:05.696130 52 0 2188490679
seq 13:19:05.696596 1500 1448 2188512399
ack 13:19:05.726263 52 0 2188492127
seq 13:19:05.726684 1500 1448 2188513847
ack 13:19:05.758382 52 0 2188493575
seq 13:19:05.758804 1500 1448 2188515295
ack 13:19:05.787510 52 0 2188495023
seq 13:19:05.787959 1500 1448 2188516743
ack 13:19:05.817606 52 0 2188496471
seq 13:19:05.818029 1500 1448 2188518191
ack 13:19:05.847705 52 0 2188497919
seq 13:19:05.848156 1500 1448 2188519639
ack 13:19:05.877827 52 0 2188499367
seq 13:19:05.878259 1500 1448 2188521087
ack 13:19:05.907937 52 0 2188500815
seq 13:19:05.908408 1500 1448 2188522535
ack 13:19:05.938062 52 0 2188502263
seq 13:19:05.938502 1500 1448 2188523983
ack 13:19:05.967353 52 0 2188503711
seq 13:19:05.967804 1500 1448 2188525431
ack 13:19:05.997288 52 0 2188505159
seq 13:19:05.997772 1500 1448 2188526879
ack 13:19:06.027438 52 0 2188506607
seq 13:19:06.027878 1500 1448 2188528327
ack 13:19:06.058562 52 0 2188508055
seq 13:19:06.059035 1500 1448 2188529775
ack 13:19:06.088674 52 0 2188509503
seq 13:19:06.089137 1500 1448 2188531223
ack 13:19:06.118780 52 0 2188510951
seq 13:19:06.119258 1500 1448 2188532671
ack 13:19:06.148880 52 0 2188512399
seq 13:19:06.149289 1500 1448 2188534119
ack 13:19:06.178988 52 0 2188513847
seq 13:19:06.179441 1500 1448 2188535567
ack 13:19:06.208119 52 0 2188515295
seq 13:19:06.208589 1500 1448 2188537015
ack 13:19:06.238281 52 0 2188516743
seq 13:19:06.238731 1500 1448 2188538463
ack 13:19:06.268415 52 0 2188518191
seq 13:19:06.268818 1500 1448 2188539911
ack 13:19:06.299521 52 0 2188519639
seq 13:19:06.299977 1500 1448 2188541359
ack 13:19:06.329627 52 0 2188521087
seq 13:19:06.330069 1500 1448 2188542807
ack 13:19:06.359758 52 0 2188522535
seq 13:19:06.360188 1500 1448 2188544255
ack 13:19:06.389875 52 0 2188523983
seq 13:19:06.390351 1500 1448 2188545703
ack 13:19:06.419996 52 0 2188525431
seq 13:19:06.420459 1500 1448 2188547151
ack 13:19:06.449121 52 0 2188526879
seq 13:19:06.449582 1500 1448 2188548599
ack 13:19:06.479258 52 0 2188528327
seq 13:19:06.479667 1500 1448 2188550047
seq 13:19:06.479708 1500 1448 2188551495
ack 13:19:06.509380 52 0 2188529775
seq 13:19:06.509827 1500 1448 2188552943
ack 13:19:06.540516 52 0 2188531223
seq 13:19:06.541006 1500 1448 2188554391
ack 13:19:06.570639 52 0 2188532671
seq 13:19:06.571094 1500 1448 2188555839
ack 13:19:06.600742 52 0 2188534119
seq 13:19:06.601186 1500 1448 2188557287
ack 13:19:06.630859 52 0 2188535567
seq 13:19:06.631284 1500 1448 2188558735
ack 13:19:06.660955 52 0 2188537015
seq 13:19:06.661410 1500 1448 2188560183
ack 13:19:06.691090 52 0 2188538463
seq 13:19:06.691584 1500 1448 2188561631
ack 13:19:06.720257 52 0 2188539911
seq 13:19:06.720701 1500 1448 2188563079
ack 13:19:06.750364 52 0 2188541359
seq 13:19:06.750791 1500 1448 2188564527
ack 13:19:06.780452 52 0 2188542807
seq 13:19:06.780919 1500 1448 2188565975
ack 13:19:06.811548 52 0 2188544255
seq 13:19:06.811990 1500 1448 2188567423
ack 13:19:06.841677 52 0 2188545703
seq 13:19:06.842164 1500 1448 2188568871
ack 13:19:06.871795 52 0 2188547151
seq 13:19:06.872257 1500 1448 2188570319
ack 13:19:06.901892 52 0 2188548599
seq 13:19:06.902320 1500 1448 2188571767
ack 13:19:06.931997 52 0 2188550047
seq 13:19:06.932441 1500 1448 2188573215
ack 13:19:06.961120 52 0 2188551495
seq 13:19:06.961601 1500 1448 2188574663
ack 13:19:06.991307 52 0 2188552943
seq 13:19:06.991765 1500 1448 2188576111
ack 13:19:07.021426 52 0 2188554391
seq 13:19:07.021852 1500 1448 2188577559
ack 13:19:07.052616 52 0 2188555839
seq 13:19:07.053058 1500 1448 2188579007
ack 13:19:07.082648 52 0 2188557287
seq 13:19:07.083081 1500 1448 2188580455
ack 13:19:07.112846 52 0 2188558735
seq 13:19:07.113304 1500 1448 2188581903
ack 13:19:07.142864 52 0 2188560183
seq 13:19:07.143276 1500 1448 2188583351
ack 13:19:07.173009 52 0 2188561631
seq 13:19:07.173439 1500 1448 2188584799
ack 13:19:07.202142 52 0 2188563079
seq 13:19:07.202608 1500 1448 2188586247
ack 13:19:07.232250 52 0 2188564527
seq 13:19:07.232718 1500 1448 2188587695
ack 13:19:07.262380 52 0 2188565975
seq 13:19:07.262813 1500 1448 2188589143
ack 13:19:07.293475 52 0 2188567423
seq 13:19:07.293929 1500 1448 2188590591
ack 13:19:07.323554 52 0 2188568871
seq 13:19:07.323973 1500 1448 2188592039
ack 13:19:07.353674 52 0 2188570319
seq 13:19:07.354150 1500 1448 2188593487
ack 13:19:07.383794 52 0 2188571767
seq 13:19:07.384268 1500 1448 2188594935
ack 13:19:07.413901 52 0 2188573215
seq 13:19:07.414344 1500 1448 2188596383
ack 13:19:07.444049 52 0 2188574663
seq 13:19:07.444501 1500 1448 2188597831
ack 13:19:07.473177 52 0 2188576111
seq 13:19:07.473658 1500 1448 2188599279
ack 13:19:07.503306 52 0 2188577559
seq 13:19:07.503814 1500 1448 2188600727
ack 13:19:07.533419 52 0 2188579007
seq 13:19:07.533864 1500 1448 2188602175
ack 13:19:07.564497 52 0 2188580455
seq 13:19:07.564965 1500 1448 2188603623
ack 13:19:07.594642 52 0 2188581903
seq 13:19:07.595112 1500 1448 2188605071
ack 13:19:07.624744 52 0 2188583351
seq 13:19:07.625208 1500 1448 2188606519
ack 13:19:07.654852 52 0 2188584799
seq 13:19:07.655329 1500 1448 2188607967
ack 13:19:07.684951 52 0 2188586247
seq 13:19:07.685446 1500 1448 2188609415
ack 13:19:07.715053 52 0 2188587695
seq 13:19:07.715522 1500 1448 2188610863
ack 13:19:07.744211 52 0 2188589143
seq 13:19:07.744743 1500 1448 2188612311
ack 13:19:07.774322 52 0 2188590591
seq 13:19:07.774736 1500 1448 2188613759
ack 13:19:07.804457 52 0 2188592039
seq 13:19:07.804907 1500 1448 2188615207
ack 13:19:07.835547 52 0 2188593487
seq 13:19:07.836003 1500 1448 2188616655
ack 13:19:07.865650 52 0 2188594935
seq 13:19:07.866119 1500 1448 2188618103
ack 13:19:07.895761 52 0 2188596383
seq 13:19:07.896256 1500 1448 2188619551
ack 13:19:07.925879 52 0 2188597831
seq 13:19:07.926338 1500 1448 2188620999
ack 13:19:07.955972 52 0 2188599279
seq 13:19:07.956426 1500 1448 2188622447
ack 13:19:07.986071 52 0 2188600727
seq 13:19:07.986507 1500 1448 2188623895
ack 13:19:08.015215 52 0 2188602175
seq 13:19:08.015735 1500 1448 2188625343
seq 13:19:08.015745 1500 1448 2188626791
ack 13:19:08.045440 52 0 2188603623
seq 13:19:08.045848 1500 1448 2188628239
ack 13:19:08.075586 52 0 2188605071
seq 13:19:08.076047 1500 1448 2188629687
ack 13:19:08.106677 52 0 2188606519
seq 13:19:08.107121 1500 1448 2188631135
ack 13:19:08.136764 52 0 2188607967
seq 13:19:08.137200 1500 1448 2188632583
ack 13:19:08.166878 52 0 2188609415
seq 13:19:08.167321 1500 1448 2188634031
ack 13:19:08.196984 52 0 2188610863
seq 13:19:08.197497 1500 1448 2188635479
ack 13:19:08.227080 52 0 2188612311
seq 13:19:08.227523 1500 1448 2188636927
ack 13:19:08.256221 52 0 2188613759
seq 13:19:08.256727 1500 1448 2188638375
ack 13:19:08.286368 52 0 2188615207
seq 13:19:08.286762 1500 1448 2188639823
ack 13:19:08.316464 52 0 2188616655
seq 13:19:08.316880 1500 1448 2188641271
ack 13:19:08.347538 52 0 2188618103
seq 13:19:08.347974 1500 1448 2188642719
ack 13:19:08.377693 52 0 2188619551
seq 13:19:08.378153 1500 1448 2188644167
ack 13:19:08.407785 52 0 2188620999
seq 13:19:08.408247 1500 1448 2188645615
ack 13:19:08.437882 52 0 2188622447
seq 13:19:08.438335 1500 1448 2188647063
ack 13:19:08.467970 52 0 2188623895
seq 13:19:08.468438 1500 1448 2188648511
ack 13:19:08.497124 52 0 2188625343
seq 13:19:08.497590 1500 1448 2188649959
ack 13:19:08.527263 52 0 2188626791
seq 13:19:08.527676 1500 1448 2188651407
ack 13:19:08.557347 52 0 2188628239
seq 13:19:08.557791 1500 1448 2188652855
ack 13:19:08.588443 52 0 2188629687
seq 13:19:08.588917 1500 1448 2188654303
ack 13:19:08.618570 52 0 2188631135
seq 13:19:08.619027 1500 1448 2188655751
ack 13:19:08.648664 52 0 2188632583
seq 13:19:08.649101 1500 1448 2188657199
ack 13:19:08.678787 52 0 2188634031
seq 13:19:08.679254 1500 1448 2188658647
ack 13:19:08.708898 52 0 2188635479
seq 13:19:08.709450 1500 1448 2188660095
ack 13:19:08.739068 52 0 2188636927
seq 13:19:08.739530 1500 1448 2188661543
ack 13:19:08.768197 52 0 2188638375
seq 13:19:08.768696 1500 1448 2188662991
ack 13:19:08.828274 52 0 2188641271
seq 13:19:08.828769 1500 1448 2188664439
seq 13:19:08.828777 1500 1448 2188665887
ack 13:19:08.889516 52 0 2188644167
seq 13:19:08.889961 1500 1448 2188667335
seq 13:19:08.889969 1500 1448 2188668783
ack 13:19:08.949751 52 0 2188647063
seq 13:19:08.950190 1500 1448 2188670231
seq 13:19:08.950196 1500 1448 2188671679
ack 13:19:09.009986 52 0 2188649959
seq 13:19:09.010384 1500 1448 2188673127
seq 13:19:09.010390 1500 1448 2188674575
ack 13:19:09.069246 52 0 2188652855
seq 13:19:09.069774 1500 1448 2188676023
seq 13:19:09.069781 1500 1448 2188677471
ack 13:19:09.130506 52 0 2188655751
seq 13:19:09.130941 1500 1448 2188678919
seq 13:19:09.130948 1500 1448 2188680367
ack 13:19:09.190744 52 0 2188658647
seq 13:19:09.191186 1500 1448 2188681815
seq 13:19:09.191194 1500 1448 2188683263
ack 13:19:09.250980 52 0 2188661543
seq 13:19:09.251403 1500 1448 2188684711
seq 13:19:09.251432 1500 1448 2188686159
ack 13:19:09.310244 52 0 2188664439
seq 13:19:09.310742 1500 1448 2188687607
seq 13:19:09.310748 1500 1448 2188689055
ack 13:19:09.371511 52 0 2188667335
seq 13:19:09.371958 1500 1448 2188690503
seq 13:19:09.371965 1500 1448 2188691951
ack 13:19:09.431753 52 0 2188670231
seq 13:19:09.432149 1500 1448 2188693399
seq 13:19:09.432176 1500 1448 2188694847
ack 13:19:09.492001 52 0 2188673127
seq 13:19:09.492532 1500 1448 2188696295
seq 13:19:09.492539 1500 1448 2188697743
ack 13:19:09.551302 52 0 2188676023
seq 13:19:09.551764 1500 1448 2188699191
seq 13:19:09.551772 1500 1448 2188700639
ack 13:19:09.612518 52 0 2188678919
seq 13:19:09.612983 1500 1448 2188702087
seq 13:19:09.612989 1500 1448 2188703535
ack 13:19:09.672741 52 0 2188681815
seq 13:19:09.673193 1500 1448 2188704983
seq 13:19:09.673200 1500 1448 2188706431
ack 13:19:09.732982 52 0 2188684711
seq 13:19:09.733491 1500 1448 2188707879
seq 13:19:09.733499 1500 1448 2188709327
ack 13:19:09.792261 52 0 2188687607
seq 13:19:09.792722 1500 1448 2188710775
seq 13:19:09.792730 1500 1448 2188712223
ack 13:19:09.853463 52 0 2188690503
seq 13:19:09.853918 1500 1448 2188713671
seq 13:19:09.853940 1500 1448 2188715119
seq 13:19:09.853980 1500 1448 2188716567
ack 13:19:09.913705 52 0 2188693399
seq 13:19:09.914143 1500 1448 2188718015
seq 13:19:09.914150 1500 1448 2188719463
ack 13:19:09.973944 52 0 2188696295
seq 13:19:09.974398 1500 1448 2188720911
seq 13:19:09.974406 1500 1448 2188722359
ack 13:19:10.033244 52 0 2188699191
seq 13:19:10.033718 1500 1448 2188723807
seq 13:19:10.033727 1500 1448 2188725255
ack 13:19:10.094456 52 0 2188702087
seq 13:19:10.094919 1500 1448 2188726703
seq 13:19:10.094928 1500 1448 2188728151
ack 13:19:10.154706 52 0 2188704983
seq 13:19:10.155193 1500 1448 2188729599
seq 13:19:10.155201 1500 1448 2188731047
ack 13:19:10.214941 52 0 2188707879
seq 13:19:10.215395 1500 1448 2188732495
seq 13:19:10.215406 1500 1448 2188733943
ack 13:19:10.274189 52 0 2188710775
seq 13:19:10.274660 1500 1448 2188735391
seq 13:19:10.274670 1500 1448 2188736839
ack 13:19:10.335420 52 0 2188713671
seq 13:19:10.335864 1500 1448 2188738287
seq 13:19:10.335873 1500 1448 2188739735
ack 13:19:10.395870 52 0 2188716567
seq 13:19:10.396295 1500 1448 2188741183
seq 13:19:10.396348 1500 1448 2188742631
ack 13:19:10.456071 52 0 2188719463
seq 13:19:10.456519 1500 1448 2188744079
seq 13:19:10.456527 1500 1448 2188745527
ack 13:19:10.503065 52 0 2188720911
seq 13:19:10.503595 1500 1448 2188746975
ack 13:19:10.545205 52 0 2188723807
seq 13:19:10.545708 1500 1448 2188748423
seq 13:19:10.545720 1500 1448 2188749871
ack 13:19:10.622197 52 0 2188726703
seq 13:19:10.622692 1500 1448 2188751319
seq 13:19:10.622699 1500 1448 2188752767
ack 13:19:10.679351 52 0 2188729599
seq 13:19:10.679781 1500 1448 2188754215
seq 13:19:10.679789 1500 1448 2188755663
ack 13:19:10.740472 52 0 2188732495
seq 13:19:10.740949 1500 1448 2188757111
seq 13:19:10.740958 1500 1448 2188758559
ack 13:19:10.800774 52 0 2188735391
seq 13:19:10.801266 1500 1448 2188760007
seq 13:19:10.801278 1500 1448 2188761455
ack 13:19:10.861013 52 0 2188738287
seq 13:19:10.861501 1500 1448 2188762903
seq 13:19:10.861508 1500 1448 2188764351
ack 13:19:10.920203 52 0 2188741183
seq 13:19:10.920760 1500 1448 2188765799
seq 13:19:10.920769 1500 1448 2188767247
ack 13:19:10.981506 52 0 2188744079
seq 13:19:10.981980 1500 1448 2188768695
seq 13:19:10.981986 1500 1448 2188770143
ack 13:19:11.041915 52 0 2188746975
seq 13:19:11.042383 1500 1448 2188771591
seq 13:19:11.042392 1500 1448 2188773039
