Type Time Length DataLength Raw_Seq/Ack
ack 16:25:11.650434 60 0 0
seq 16:25:11.650970 60 0 154713064
ack 16:25:11.919820 52 0 154713065
ack 16:25:11.919851 208 156 154713065
seq 16:25:11.920275 52 0 154713065
seq 16:25:11.920441 1500 1448 154713065
seq 16:25:11.920444 1500 1448 154714513
seq 16:25:11.920448 1500 1448 154715961
seq 16:25:11.920449 1500 1448 154717409
seq 16:25:11.920466 1500 1448 154718857
seq 16:25:11.920467 1500 1448 154720305
seq 16:25:11.920469 1500 1448 154721753
seq 16:25:11.920470 1500 1448 154723201
seq 16:25:11.920474 1500 1448 154724649
seq 16:25:11.920475 1500 1448 154726097
seq 16:25:11.926268 1500 1448 154727545
seq 16:25:11.926313 1500 1448 154728993
seq 16:25:11.932099 1500 1448 154730441
seq 16:25:11.932107 1500 1448 154731889
seq 16:25:11.937936 1500 1448 154733337
seq 16:25:11.937945 1500 1448 154734785
seq 16:25:11.943730 1500 1448 154736233
seq 16:25:11.943738 1500 1448 154737681
seq 16:25:11.949530 1500 1448 154739129
seq 16:25:11.949544 1500 1448 154740577
seq 16:25:11.955326 1500 1448 154742025
seq 16:25:11.955333 1500 1448 154743473
seq 16:25:11.961186 1500 1448 154744921
seq 16:25:11.961193 1500 1448 154746369
seq 16:25:11.966969 1500 1448 154747817
seq 16:25:11.966978 1500 1448 154749265
seq 16:25:11.972773 1500 1448 154750713
seq 16:25:11.972782 1500 1448 154752161
seq 16:25:11.978664 1500 1448 154753609
seq 16:25:11.978676 1500 1448 154755057
seq 16:25:11.984431 1500 1448 154756505
seq 16:25:11.984447 1500 1448 154757953
seq 16:25:11.990226 1500 1448 154759401
seq 16:25:11.990244 1500 1448 154760849
seq 16:25:11.996058 1500 1448 154762297
seq 16:25:11.996067 1500 1448 154763745
seq 16:25:12.001933 1500 1448 154765193
seq 16:25:12.001949 1500 1448 154766641
seq 16:25:12.007729 1500 1448 154768089
seq 16:25:12.007737 1500 1448 154769537
seq 16:25:12.013459 1500 1448 154770985
seq 16:25:12.013483 1500 1448 154772433
seq 16:25:12.019318 1500 1448 154773881
seq 16:25:12.019327 1500 1448 154775329
seq 16:25:12.025161 1500 1448 154776777
ack 16:25:12.218241 52 0 154714513
seq 16:25:12.218756 1500 1448 154778225
seq 16:25:12.218763 1500 1448 154779673
ack 16:25:12.248367 52 0 154715961
seq 16:25:12.248805 1500 1448 154781121
seq 16:25:12.248809 1500 1448 154782569
seq 16:25:12.251725 1500 1448 154784017
ack 16:25:12.278527 52 0 154717409
seq 16:25:12.279002 1500 1448 154785465
seq 16:25:12.279010 1500 1448 154786913
seq 16:25:12.281829 1500 1448 154788361
seq 16:25:12.281835 1500 1448 154789809
ack 16:25:12.309643 52 0 154718857
seq 16:25:12.310093 1500 1448 154791257
seq 16:25:12.310099 1500 1448 154792705
ack 16:25:12.339758 52 0 154720305
seq 16:25:12.340184 1500 1448 154794153
seq 16:25:12.340188 1500 1448 154795601
seq 16:25:12.342951 1500 1448 154797049
seq 16:25:12.342958 1500 1448 154798497
ack 16:25:12.369856 52 0 154721753
seq 16:25:12.370321 1500 1448 154799945
seq 16:25:12.370324 1500 1448 154801393
ack 16:25:12.400031 52 0 154723201
seq 16:25:12.400535 1500 1448 154802841
seq 16:25:12.400542 1500 1448 154804289
seq 16:25:12.403260 1500 1448 154805737
seq 16:25:12.403269 1500 1448 154807185
ack 16:25:12.429171 52 0 154724649
seq 16:25:12.429604 1500 1448 154808633
seq 16:25:12.429632 1500 1448 154810081
ack 16:25:12.459300 52 0 154724649
seq 16:25:12.459758 1500 1448 154811529
ack 16:25:12.489429 52 0 154724649
ack 16:25:12.520529 52 0 154724649
seq 16:25:12.520975 1500 1448 154724649
ack 16:25:12.550658 52 0 154724649
ack 16:25:12.580796 52 0 154724649
ack 16:25:12.610962 52 0 154724649
ack 16:25:12.641095 52 0 154724649
ack 16:25:12.670239 52 0 154724649
ack 16:25:12.700369 52 0 154724649
ack 16:25:12.730517 52 0 154724649
ack 16:25:12.761664 52 0 154724649
ack 16:25:12.791774 52 0 154724649
ack 16:25:12.821950 52 0 154724649
ack 16:25:12.852049 52 0 154724649
ack 16:25:12.881164 52 0 154724649
ack 16:25:12.911320 52 0 154724649
ack 16:25:12.941455 52 0 154724649
ack 16:25:12.972563 52 0 154724649
ack 16:25:13.002702 52 0 154724649
ack 16:25:13.032801 52 0 154724649
ack 16:25:13.062965 52 0 154724649
ack 16:25:13.093104 52 0 154724649
ack 16:25:13.122633 52 0 154724649
ack 16:25:13.152344 52 0 154724649
ack 16:25:13.182491 52 0 154724649
ack 16:25:13.213635 52 0 154724649
ack 16:25:13.243775 52 0 154724649
ack 16:25:13.273926 52 0 154724649
ack 16:25:13.304057 52 0 154724649
ack 16:25:13.333150 52 0 154724649
ack 16:25:13.363303 52 0 154724649
ack 16:25:13.393429 52 0 154724649
ack 16:25:13.424539 52 0 154724649
seq 16:25:13.453401 1500 1448 154724649
ack 16:25:13.454670 52 0 154724649
seq 16:25:13.455093 1500 1448 154726097
seq 16:25:13.457473 1500 1448 154727545
seq 16:25:13.457499 1500 1448 154728993
seq 16:25:13.463012 1500 1448 154730441
seq 16:25:13.463020 1500 1448 154731889
seq 16:25:13.468523 1500 1448 154733337
seq 16:25:13.468530 1500 1448 154734785
seq 16:25:13.474064 1500 1448 154736233
seq 16:25:13.474073 1500 1448 154737681
seq 16:25:13.479590 1500 1448 154739129
seq 16:25:13.479599 1500 1448 154740577
ack 16:25:13.484784 52 0 154724649
seq 16:25:13.485110 1500 1448 154742025
seq 16:25:13.485114 1500 1448 154743473
seq 16:25:13.490663 1500 1448 154744921
seq 16:25:13.490671 1500 1448 154746369
seq 16:25:13.496147 1500 1448 154747817
seq 16:25:13.496155 1500 1448 154749265
seq 16:25:13.501724 1500 1448 154750713
seq 16:25:13.501731 1500 1448 154752161
seq 16:25:13.507229 1500 1448 154753609
seq 16:25:13.507247 1500 1448 154755057
seq 16:25:13.512753 1500 1448 154756505
seq 16:25:13.512759 1500 1448 154757953
ack 16:25:13.514924 52 0 154724649
seq 16:25:13.518239 1500 1448 154759401
seq 16:25:13.518244 1500 1448 154760849
seq 16:25:13.523758 1500 1448 154762297
seq 16:25:13.523765 1500 1448 154763745
seq 16:25:13.529323 1500 1448 154765193
seq 16:25:13.529331 1500 1448 154766641
seq 16:25:13.534836 1500 1448 154768089
seq 16:25:13.534845 1500 1448 154769537
seq 16:25:13.540339 1500 1448 154770985
seq 16:25:13.540359 1500 1448 154772433
ack 16:25:13.545042 52 0 154724649
seq 16:25:13.545858 1500 1448 154773881
seq 16:25:13.545905 1500 1448 154775329
seq 16:25:13.551436 1500 1448 154776777
seq 16:25:13.554129 1500 1448 154778225
seq 16:25:13.554134 1500 1448 154779673
seq 16:25:13.559660 1500 1448 154781121
seq 16:25:13.559665 1500 1448 154782569
seq 16:25:13.565189 1500 1448 154784017
seq 16:25:13.567971 1500 1448 154785465
seq 16:25:13.567978 1500 1448 154786913
seq 16:25:13.573507 1500 1448 154788361
seq 16:25:13.573513 1500 1448 154789809
ack 16:25:13.574156 52 0 154724649
seq 16:25:13.579040 1500 1448 154791257
seq 16:25:13.579049 1500 1448 154792705
seq 16:25:13.584552 1500 1448 154794153
seq 16:25:13.584569 1500 1448 154795601
seq 16:25:13.590079 1500 1448 154797049
seq 16:25:13.590086 1500 1448 154798497
seq 16:25:13.595583 1500 1448 154799945
seq 16:25:13.595590 1500 1448 154801393
seq 16:25:13.601138 1500 1448 154802841
seq 16:25:13.601146 1500 1448 154804289
ack 16:25:13.604281 52 0 154724649
seq 16:25:13.606681 1500 1448 154805737
seq 16:25:13.606685 1500 1448 154807185
seq 16:25:13.612138 1500 1448 154808633
seq 16:25:13.612155 1500 1448 154810081
seq 16:25:13.617682 1500 1448 154811529
ack 16:25:13.634407 52 0 154724649
ack 16:25:13.665519 52 0 154724649
ack 16:25:13.695642 52 0 154724649
ack 16:25:13.725754 52 0 154724649
ack 16:25:13.755911 52 0 154724649
