Type Time Length DataLength Raw_Seq/Ack
ack 14:36:31.299429 40 0 0
ack 14:36:42.858208 60 0 0
seq 14:36:42.858796 60 0 4248093593
ack 14:36:43.127675 52 0 4248093594
ack 14:36:43.127707 208 156 4248093594
seq 14:36:43.128208 52 0 4248093594
seq 14:36:43.128349 1500 1448 4248093594
seq 14:36:43.128356 1500 1448 4248095042
seq 14:36:43.128359 1500 1448 4248096490
seq 14:36:43.128360 1500 1448 4248097938
seq 14:36:43.128363 1500 1448 4248099386
seq 14:36:43.128363 1500 1448 4248100834
seq 14:36:43.128366 1500 1448 4248102282
seq 14:36:43.128367 1500 1448 4248103730
seq 14:36:43.128374 1500 1448 4248105178
seq 14:36:43.128375 1500 1448 4248106626
seq 14:36:43.133615 1500 1448 4248108074
seq 14:36:43.133626 1500 1448 4248109522
seq 14:36:43.138902 1500 1448 4248110970
seq 14:36:43.138914 1500 1448 4248112418
seq 14:36:43.144156 1500 1448 4248113866
seq 14:36:43.144173 1500 1448 4248115314
seq 14:36:43.149421 1500 1448 4248116762
seq 14:36:43.149447 1500 1448 4248118210
seq 14:36:43.154698 1500 1448 4248119658
seq 14:36:43.154707 1500 1448 4248121106
seq 14:36:43.159908 1500 1448 4248122554
seq 14:36:43.159920 1500 1448 4248124002
seq 14:36:43.165164 1500 1448 4248125450
seq 14:36:43.165184 1500 1448 4248126898
seq 14:36:43.170467 1500 1448 4248128346
seq 14:36:43.170478 1500 1448 4248129794
seq 14:36:43.175695 1500 1448 4248131242
seq 14:36:43.175709 1500 1448 4248132690
seq 14:36:43.180986 1500 1448 4248134138
seq 14:36:43.180998 1500 1448 4248135586
seq 14:36:43.186240 1500 1448 4248137034
seq 14:36:43.186250 1500 1448 4248138482
seq 14:36:43.191497 1500 1448 4248139930
seq 14:36:43.191508 1500 1448 4248141378
seq 14:36:43.196766 1500 1448 4248142826
seq 14:36:43.196777 1500 1448 4248144274
seq 14:36:43.202003 1500 1448 4248145722
seq 14:36:43.202019 1500 1448 4248147170
seq 14:36:43.207278 1500 1448 4248148618
seq 14:36:43.207288 1500 1448 4248150066
seq 14:36:43.212538 1500 1448 4248151514
seq 14:36:43.212554 1500 1448 4248152962
seq 14:36:43.217820 1500 1448 4248154410
seq 14:36:43.217832 1500 1448 4248155858
seq 14:36:43.223029 1500 1448 4248157306
ack 14:36:43.427816 52 0 4248095042
seq 14:36:43.428321 1500 1448 4248158754
seq 14:36:43.428335 1500 1448 4248160202
ack 14:36:43.457944 52 0 4248096490
seq 14:36:43.458406 1500 1448 4248161650
seq 14:36:43.458419 1500 1448 4248163098
seq 14:36:43.461027 1500 1448 4248164546
ack 14:36:43.488071 52 0 4248097938
seq 14:36:43.488510 1500 1448 4248165994
seq 14:36:43.488525 1500 1448 4248167442
seq 14:36:43.491195 1500 1448 4248168890
seq 14:36:43.491209 1500 1448 4248170338
ack 14:36:43.517219 52 0 4248099386
seq 14:36:43.517716 1500 1448 4248171786
seq 14:36:43.517735 1500 1448 4248173234
ack 14:36:43.547375 52 0 4248100834
seq 14:36:43.547868 1500 1448 4248174682
seq 14:36:43.547881 1500 1448 4248176130
seq 14:36:43.550552 1500 1448 4248177578
seq 14:36:43.550571 1500 1448 4248179026
ack 14:36:43.577525 52 0 4248102282
seq 14:36:43.578026 1500 1448 4248180474
seq 14:36:43.578039 1500 1448 4248181922
ack 14:36:43.608660 52 0 4248103730
seq 14:36:43.609180 1500 1448 4248183370
seq 14:36:43.609196 1500 1448 4248184818
seq 14:36:43.611893 1500 1448 4248186266
seq 14:36:43.611903 1500 1448 4248187714
ack 14:36:43.638804 52 0 4248105178
seq 14:36:43.639238 1500 1448 4248189162
seq 14:36:43.639250 1500 1448 4248190610
ack 14:36:43.668941 52 0 4248105178
seq 14:36:43.669403 1500 1448 4248192058
ack 14:36:43.699052 52 0 4248105178
ack 14:36:43.728233 52 0 4248105178
seq 14:36:43.728718 1500 1448 4248105178
ack 14:36:43.758385 52 0 4248105178
ack 14:36:43.788529 52 0 4248105178
ack 14:36:43.819695 52 0 4248105178
ack 14:36:43.849843 52 0 4248105178
ack 14:36:43.880040 52 0 4248105178
ack 14:36:43.909176 52 0 4248105178
ack 14:36:43.939327 52 0 4248105178
ack 14:36:43.969468 52 0 4248105178
ack 14:36:44.000619 52 0 4248105178
ack 14:36:44.030805 52 0 4248105178
ack 14:36:44.060944 52 0 4248105178
ack 14:36:44.091099 52 0 4248105178
ack 14:36:44.120252 52 0 4248105178
ack 14:36:44.150423 52 0 4248105178
ack 14:36:44.180572 52 0 4248105178
ack 14:36:44.211730 52 0 4248105178
ack 14:36:44.241898 52 0 4248105178
ack 14:36:44.272044 52 0 4248105178
ack 14:36:44.301190 52 0 4248105178
ack 14:36:44.331353 52 0 4248105178
ack 14:36:44.361523 52 0 4248105178
ack 14:36:44.392672 52 0 4248105178
ack 14:36:44.422816 52 0 4248105178
ack 14:36:44.452980 52 0 4248105178
ack 14:36:44.483112 52 0 4248105178
ack 14:36:44.512270 52 0 4248105178
ack 14:36:44.542421 52 0 4248105178
ack 14:36:44.572605 52 0 4248105178
