Type Time Length DataLength Raw_Seq/Ack
ack 15:34:31.211633 60 0 0
seq 15:34:31.212156 60 0 1296442364
ack 15:34:31.481081 52 0 1296442365
ack 15:34:31.481111 208 156 1296442365
seq 15:34:31.481599 52 0 1296442365
seq 15:34:31.481754 1500 1448 1296442365
seq 15:34:31.481757 1500 1448 1296443813
seq 15:34:31.481785 1500 1448 1296445261
seq 15:34:31.481786 1500 1448 1296446709
seq 15:34:31.481788 1500 1448 1296448157
seq 15:34:31.481789 1500 1448 1296449605
seq 15:34:31.481790 1500 1448 1296451053
seq 15:34:31.481791 1500 1448 1296452501
seq 15:34:31.481793 1500 1448 1296453949
seq 15:34:31.481794 1500 1448 1296455397
ack 15:34:31.779161 52 0 1296443813
seq 15:34:31.779670 1500 1448 1296456845
seq 15:34:31.779675 1500 1448 1296458293
ack 15:34:31.809291 52 0 1296445261
seq 15:34:31.809737 1500 1448 1296459741
seq 15:34:31.809743 1500 1448 1296461189
ack 15:34:31.839493 52 0 1296446709
seq 15:34:31.839919 1500 1448 1296462637
seq 15:34:31.839923 1500 1448 1296464085
ack 15:34:31.870612 52 0 1296448157
seq 15:34:31.871087 1500 1448 1296465533
seq 15:34:31.871104 1500 1448 1296466981
ack 15:34:31.900716 52 0 1296449605
seq 15:34:31.901199 1500 1448 1296468429
seq 15:34:31.901203 1500 1448 1296469877
ack 15:34:31.930875 52 0 1296451053
seq 15:34:31.931328 1500 1448 1296471325
seq 15:34:31.931331 1500 1448 1296472773
ack 15:34:31.961026 52 0 1296452501
seq 15:34:31.961470 1500 1448 1296474221
seq 15:34:31.961476 1500 1448 1296475669
ack 15:34:31.990206 52 0 1296453949
seq 15:34:31.990628 1500 1448 1296477117
seq 15:34:31.990644 1500 1448 1296478565
ack 15:34:32.020336 52 0 1296455397
seq 15:34:32.020746 1500 1448 1296480013
seq 15:34:32.020755 1500 1448 1296481461
ack 15:34:32.050503 52 0 1296455397
seq 15:34:32.050958 1500 1448 1296482909
ack 15:34:32.081601 52 0 1296455397
seq 15:34:32.082039 1500 1448 1296484357
ack 15:34:32.111786 52 0 1296455397
seq 15:34:32.112234 1500 1448 1296455397
ack 15:34:32.141922 52 0 1296455397
ack 15:34:32.172076 52 0 1296455397
seq 15:34:32.172534 1500 1448 1296485805
ack 15:34:32.201230 52 0 1296455397
ack 15:34:32.231374 52 0 1296455397
seq 15:34:32.231815 1500 1448 1296487253
ack 15:34:32.261512 52 0 1296455397
ack 15:34:32.292630 52 0 1296455397
seq 15:34:32.293004 1500 1448 1296488701
ack 15:34:32.322832 52 0 1296455397
ack 15:34:32.352937 52 0 1296455397
seq 15:34:32.353399 1500 1448 1296490149
ack 15:34:32.383092 52 0 1296455397
ack 15:34:32.412244 52 0 1296455397
seq 15:34:32.412667 1500 1448 1296491597
ack 15:34:32.442370 52 0 1296455397
ack 15:34:32.472529 52 0 1296455397
seq 15:34:32.473000 1500 1448 1296493045
ack 15:34:32.503666 52 0 1296455397
ack 15:34:32.533821 52 0 1296455397
seq 15:34:32.534315 1500 1448 1296494493
ack 15:34:32.563965 52 0 1296455397
ack 15:34:32.593105 52 0 1296455397
ack 15:34:32.623325 52 0 1296455397
seq 15:34:32.623738 1500 1448 1296495941
ack 15:34:32.653459 52 0 1296485805
seq 15:34:32.653934 1500 1448 1296497389
ack 15:34:32.684608 52 0 1296487253
seq 15:34:32.685078 1500 1448 1296498837
ack 15:34:32.714771 52 0 1296488701
seq 15:34:32.715246 1500 1448 1296500285
ack 15:34:32.744892 52 0 1296490149
seq 15:34:32.745366 1500 1448 1296501733
ack 15:34:32.775037 52 0 1296491597
seq 15:34:32.775457 1500 1448 1296503181
ack 15:34:32.804174 52 0 1296493045
seq 15:34:32.804588 1500 1448 1296504629
ack 15:34:32.834318 52 0 1296494493
seq 15:34:32.834758 1500 1448 1296506077
ack 15:34:32.864467 52 0 1296495941
seq 15:34:32.864891 1500 1448 1296507525
ack 15:34:32.895580 52 0 1296497389
seq 15:34:32.896064 1500 1448 1296508973
ack 15:34:32.925781 52 0 1296498837
seq 15:34:32.926235 1500 1448 1296510421
seq 15:34:32.926241 1500 1448 1296511869
ack 15:34:32.955884 52 0 1296500285
seq 15:34:32.956378 1500 1448 1296513317
ack 15:34:32.986019 52 0 1296501733
seq 15:34:32.986510 1500 1448 1296514765
ack 15:34:33.015201 52 0 1296503181
seq 15:34:33.015658 1500 1448 1296516213
ack 15:34:33.045314 52 0 1296504629
seq 15:34:33.045745 1500 1448 1296517661
ack 15:34:33.075460 52 0 1296506077
seq 15:34:33.075923 1500 1448 1296519109
ack 15:34:33.106551 52 0 1296507525
seq 15:34:33.107088 1500 1448 1296520557
ack 15:34:33.136741 52 0 1296508973
seq 15:34:33.137176 1500 1448 1296522005
ack 15:34:33.166883 52 0 1296510421
seq 15:34:33.167391 1500 1448 1296523453
ack 15:34:33.197021 52 0 1296511869
seq 15:34:33.197504 1500 1448 1296524901
ack 15:34:33.226163 52 0 1296513317
seq 15:34:33.226635 1500 1448 1296526349
seq 15:34:33.226639 1500 1448 1296527797
ack 15:34:33.256303 52 0 1296514765
seq 15:34:33.256805 1500 1448 1296529245
ack 15:34:33.286454 52 0 1296516213
seq 15:34:33.286925 1500 1448 1296530693
ack 15:34:33.317572 52 0 1296517661
seq 15:34:33.318131 1500 1448 1296532141
ack 15:34:33.347759 52 0 1296519109
seq 15:34:33.348212 1500 1448 1296533589
ack 15:34:33.377865 52 0 1296520557
seq 15:34:33.378301 1500 1448 1296535037
ack 15:34:33.408005 52 0 1296522005
seq 15:34:33.408470 1500 1448 1296536485
ack 15:34:33.437154 52 0 1296523453
seq 15:34:33.437583 1500 1448 1296537933
ack 15:34:33.467298 52 0 1296524901
seq 15:34:33.467728 1500 1448 1296539381
ack 15:34:33.497439 52 0 1296526349
seq 15:34:33.497872 1500 1448 1296540829
ack 15:34:33.528541 52 0 1296527797
seq 15:34:33.528992 1500 1448 1296542277
ack 15:34:33.558695 52 0 1296529245
seq 15:34:33.559199 1500 1448 1296543725
seq 15:34:33.559204 1500 1448 1296545173
ack 15:34:33.588823 52 0 1296530693
seq 15:34:33.589272 1500 1448 1296546621
ack 15:34:33.618943 52 0 1296532141
seq 15:34:33.619373 1500 1448 1296548069
ack 15:34:33.649063 52 0 1296533589
seq 15:34:33.649506 1500 1448 1296549517
ack 15:34:33.678231 52 0 1296535037
seq 15:34:33.678709 1500 1448 1296550965
ack 15:34:33.708347 52 0 1296536485
seq 15:34:33.708825 1500 1448 1296552413
ack 15:34:33.738457 52 0 1296537933
seq 15:34:33.738955 1500 1448 1296553861
ack 15:34:33.769632 52 0 1296539381
seq 15:34:33.770084 1500 1448 1296555309
ack 15:34:33.799750 52 0 1296540829
seq 15:34:33.800219 1500 1448 1296556757
ack 15:34:33.829882 52 0 1296542277
seq 15:34:33.830321 1500 1448 1296558205
ack 15:34:33.860007 52 0 1296543725
seq 15:34:33.860456 1500 1448 1296559653
ack 15:34:33.889195 52 0 1296545173
seq 15:34:33.889615 1500 1448 1296561101
ack 15:34:33.919331 52 0 1296546621
seq 15:34:33.919877 1500 1448 1296562549
seq 15:34:33.919881 1500 1448 1296563997
ack 15:34:33.949453 52 0 1296548069
seq 15:34:33.949929 1500 1448 1296565445
ack 15:34:33.980551 52 0 1296549517
seq 15:34:33.980975 1500 1448 1296566893
ack 15:34:34.010700 52 0 1296550965
seq 15:34:34.011150 1500 1448 1296568341
ack 15:34:34.040843 52 0 1296552413
seq 15:34:34.041359 1500 1448 1296569789
ack 15:34:34.070958 52 0 1296553861
seq 15:34:34.071437 1500 1448 1296571237
ack 15:34:34.100111 52 0 1296555309
seq 15:34:34.100598 1500 1448 1296572685
ack 15:34:34.130265 52 0 1296556757
seq 15:34:34.130699 1500 1448 1296574133
ack 15:34:34.160386 52 0 1296558205
seq 15:34:34.160830 1500 1448 1296575581
ack 15:34:34.191484 52 0 1296559653
seq 15:34:34.191949 1500 1448 1296577029
ack 15:34:34.221619 52 0 1296561101
seq 15:34:34.222092 1500 1448 1296578477
ack 15:34:34.251799 52 0 1296562549
seq 15:34:34.252279 1500 1448 1296579925
ack 15:34:34.281950 52 0 1296563997
seq 15:34:34.282443 1500 1448 1296581373
ack 15:34:34.311122 52 0 1296565445
seq 15:34:34.311534 1500 1448 1296582821
seq 15:34:34.311560 1500 1448 1296584269
ack 15:34:34.341290 52 0 1296566893
seq 15:34:34.341673 1500 1448 1296585717
ack 15:34:34.371499 52 0 1296568341
seq 15:34:34.371962 1500 1448 1296587165
ack 15:34:34.402659 52 0 1296569789
seq 15:34:34.403083 1500 1448 1296588613
ack 15:34:34.432791 52 0 1296571237
seq 15:34:34.433277 1500 1448 1296590061
ack 15:34:34.462938 52 0 1296572685
seq 15:34:34.463366 1500 1448 1296591509
ack 15:34:34.493081 52 0 1296574133
seq 15:34:34.493541 1500 1448 1296592957
ack 15:34:34.522241 52 0 1296575581
seq 15:34:34.522724 1500 1448 1296594405
ack 15:34:34.552403 52 0 1296577029
seq 15:34:34.552877 1500 1448 1296595853
ack 15:34:34.582582 52 0 1296578477
seq 15:34:34.583060 1500 1448 1296597301
ack 15:34:34.613673 52 0 1296579925
seq 15:34:34.614118 1500 1448 1296598749
ack 15:34:34.643818 52 0 1296581373
seq 15:34:34.644280 1500 1448 1296600197
ack 15:34:34.673927 52 0 1296582821
seq 15:34:34.674363 1500 1448 1296601645
ack 15:34:34.704086 52 0 1296584269
seq 15:34:34.704580 1500 1448 1296603093
ack 15:34:34.733224 52 0 1296585717
seq 15:34:34.733755 1500 1448 1296604541
seq 15:34:34.733758 1500 1448 1296605989
ack 15:34:34.763392 52 0 1296587165
seq 15:34:34.763866 1500 1448 1296607437
ack 15:34:34.793594 52 0 1296588613
seq 15:34:34.794040 1500 1448 1296608885
ack 15:34:34.824717 52 0 1296590061
seq 15:34:34.825108 1500 1448 1296610333
ack 15:34:34.854853 52 0 1296591509
seq 15:34:34.855308 1500 1448 1296611781
ack 15:34:34.885027 52 0 1296592957
seq 15:34:34.885469 1500 1448 1296613229
ack 15:34:34.914125 52 0 1296594405
seq 15:34:34.914516 1500 1448 1296614677
ack 15:34:34.944356 52 0 1296595853
seq 15:34:34.944814 1500 1448 1296616125
ack 15:34:34.974499 52 0 1296597301
seq 15:34:34.974921 1500 1448 1296617573
ack 15:34:35.005696 52 0 1296598749
seq 15:34:35.006223 1500 1448 1296619021
ack 15:34:35.035787 52 0 1296600197
seq 15:34:35.036177 1500 1448 1296620469
ack 15:34:35.065927 52 0 1296601645
seq 15:34:35.066361 1500 1448 1296621917
ack 15:34:35.096077 52 0 1296603093
seq 15:34:35.096479 1500 1448 1296623365
ack 15:34:35.125239 52 0 1296604541
seq 15:34:35.125697 1500 1448 1296624813
ack 15:34:35.155379 52 0 1296605989
seq 15:34:35.155831 1500 1448 1296626261
ack 15:34:35.185504 52 0 1296607437
seq 15:34:35.185954 1500 1448 1296627709
seq 15:34:35.185963 1500 1448 1296629157
ack 15:34:35.216648 52 0 1296608885
seq 15:34:35.217117 1500 1448 1296630605
ack 15:34:35.246776 52 0 1296610333
seq 15:34:35.247216 1500 1448 1296632053
ack 15:34:35.276916 52 0 1296611781
seq 15:34:35.277376 1500 1448 1296633501
ack 15:34:35.307043 52 0 1296613229
seq 15:34:35.307473 1500 1448 1296634949
ack 15:34:35.336183 52 0 1296614677
seq 15:34:35.336615 1500 1448 1296636397
ack 15:34:35.366337 52 0 1296616125
seq 15:34:35.366830 1500 1448 1296637845
ack 15:34:35.396498 52 0 1296617573
seq 15:34:35.396991 1500 1448 1296639293
ack 15:34:35.427641 52 0 1296619021
seq 15:34:35.428080 1500 1448 1296640741
ack 15:34:35.457771 52 0 1296620469
seq 15:34:35.458273 1500 1448 1296642189
ack 15:34:35.487907 52 0 1296621917
seq 15:34:35.488327 1500 1448 1296643637
ack 15:34:35.518046 52 0 1296623365
seq 15:34:35.518469 1500 1448 1296645085
ack 15:34:35.547192 52 0 1296624813
seq 15:34:35.547650 1500 1448 1296646533
ack 15:34:35.577333 52 0 1296626261
seq 15:34:35.577799 1500 1448 1296647981
ack 15:34:35.607480 52 0 1296627709
seq 15:34:35.607931 1500 1448 1296649429
ack 15:34:35.638626 52 0 1296629157
seq 15:34:35.639049 1500 1448 1296650877
ack 15:34:35.668762 52 0 1296630605
seq 15:34:35.669229 1500 1448 1296652325
seq 15:34:35.669239 1500 1448 1296653773
ack 15:34:35.698924 52 0 1296632053
seq 15:34:35.699313 1500 1448 1296655221
ack 15:34:35.729076 52 0 1296633501
seq 15:34:35.729528 1500 1448 1296656669
ack 15:34:35.758224 52 0 1296634949
seq 15:34:35.758621 1500 1448 1296658117
ack 15:34:35.788349 52 0 1296636397
seq 15:34:35.788807 1500 1448 1296659565
ack 15:34:35.818495 52 0 1296637845
seq 15:34:35.818954 1500 1448 1296661013
ack 15:34:35.849643 52 0 1296639293
seq 15:34:35.850067 1500 1448 1296662461
ack 15:34:35.879775 52 0 1296640741
seq 15:34:35.880211 1500 1448 1296663909
ack 15:34:35.909986 52 0 1296642189
seq 15:34:35.910434 1500 1448 1296665357
ack 15:34:35.940073 52 0 1296643637
seq 15:34:35.940574 1500 1448 1296666805
ack 15:34:35.969188 52 0 1296645085
seq 15:34:35.969665 1500 1448 1296668253
ack 15:34:35.999367 52 0 1296646533
