Type Time Length DataLength Raw_Seq/Ack
ack 19:21:59.784933 60 0 0
seq 19:21:59.785481 60 0 3947967452
ack 19:22:00.054673 52 0 3947967453
ack 19:22:00.054704 208 156 3947967453
seq 19:22:00.055149 52 0 3947967453
seq 19:22:00.055261 1500 1448 3947967453
seq 19:22:00.055268 1500 1448 3947968901
seq 19:22:00.055271 1500 1448 3947970349
seq 19:22:00.055273 1500 1448 3947971797
seq 19:22:00.055294 1500 1448 3947973245
seq 19:22:00.055296 1500 1448 3947974693
seq 19:22:00.055298 1500 1448 3947976141
seq 19:22:00.055299 1500 1448 3947977589
seq 19:22:00.055317 1500 1448 3947979037
seq 19:22:00.055318 1500 1448 3947980485
ack 19:22:00.353554 52 0 3947968901
seq 19:22:00.355236 1500 1448 3947981933
seq 19:22:00.355246 1500 1448 3947983381
ack 19:22:00.384715 52 0 3947970349
seq 19:22:00.385186 1500 1448 3947984829
seq 19:22:00.385207 1500 1448 3947986277
ack 19:22:00.414860 52 0 3947971797
seq 19:22:00.415313 1500 1448 3947987725
seq 19:22:00.415332 1500 1448 3947989173
ack 19:22:00.445004 52 0 3947973245
seq 19:22:00.445522 1500 1448 3947990621
seq 19:22:00.445534 1500 1448 3947992069
ack 19:22:00.474135 52 0 3947974693
seq 19:22:00.474617 1500 1448 3947993517
seq 19:22:00.474631 1500 1448 3947994965
ack 19:22:00.504266 52 0 3947976141
seq 19:22:00.504747 1500 1448 3947996413
seq 19:22:00.504757 1500 1448 3947997861
ack 19:22:00.534411 52 0 3947977589
seq 19:22:00.534841 1500 1448 3947999309
seq 19:22:00.534855 1500 1448 3948000757
ack 19:22:00.565537 52 0 3947979037
seq 19:22:00.565981 1500 1448 3948002205
seq 19:22:00.566013 1500 1448 3948003653
ack 19:22:00.595666 52 0 3947980485
seq 19:22:00.596121 1500 1448 3948005101
seq 19:22:00.596134 1500 1448 3948006549
ack 19:22:00.625813 52 0 3947981933
seq 19:22:00.626303 1500 1448 3948007997
seq 19:22:00.626317 1500 1448 3948009445
ack 19:22:00.655958 52 0 3947983381
seq 19:22:00.656435 1500 1448 3948010893
seq 19:22:00.656449 1500 1448 3948012341
ack 19:22:00.685148 52 0 3947984829
seq 19:22:00.685618 1500 1448 3948013789
seq 19:22:00.685631 1500 1448 3948015237
ack 19:22:00.715280 52 0 3947986277
seq 19:22:00.715792 1500 1448 3948016685
seq 19:22:00.715804 1500 1448 3948018133
ack 19:22:00.745437 52 0 3947987725
seq 19:22:00.745903 1500 1448 3948019581
seq 19:22:00.745910 1500 1448 3948021029
ack 19:22:00.776538 52 0 3947989173
seq 19:22:00.776979 1500 1448 3948022477
seq 19:22:00.776990 1500 1448 3948023925
ack 19:22:00.806694 52 0 3947990621
seq 19:22:00.807205 1500 1448 3948025373
seq 19:22:00.807214 1500 1448 3948026821
ack 19:22:00.836840 52 0 3947992069
seq 19:22:00.837318 1500 1448 3948028269
seq 19:22:00.837340 1500 1448 3948029717
ack 19:22:00.866982 52 0 3947993517
seq 19:22:00.867472 1500 1448 3948031165
ack 19:22:00.896127 52 0 3947994965
seq 19:22:00.896589 1500 1448 3948032613
ack 19:22:00.926285 52 0 3947996413
seq 19:22:00.926767 1500 1448 3948034061
ack 19:22:00.956434 52 0 3947997861
seq 19:22:00.956964 1500 1448 3948035509
ack 19:22:00.987569 52 0 3947999309
seq 19:22:00.988064 1500 1448 3948036957
ack 19:22:01.017716 52 0 3948000757
seq 19:22:01.018169 1500 1448 3948038405
ack 19:22:01.047862 52 0 3948002205
seq 19:22:01.048387 1500 1448 3948039853
ack 19:22:01.078043 52 0 3948003653
seq 19:22:01.078567 1500 1448 3948041301
ack 19:22:01.107200 52 0 3948005101
seq 19:22:01.107640 1500 1448 3948042749
ack 19:22:01.137360 52 0 3948006549
seq 19:22:01.137852 1500 1448 3948044197
ack 19:22:01.167462 52 0 3948007997
seq 19:22:01.167943 1500 1448 3948045645
ack 19:22:01.198594 52 0 3948009445
seq 19:22:01.199043 1500 1448 3948047093
ack 19:22:01.228741 52 0 3948010893
seq 19:22:01.229255 1500 1448 3948048541
ack 19:22:01.258940 52 0 3948012341
seq 19:22:01.259422 1500 1448 3948049989
ack 19:22:01.289100 52 0 3948013789
seq 19:22:01.289598 1500 1448 3948051437
ack 19:22:01.318209 52 0 3948015237
seq 19:22:01.318718 1500 1448 3948052885
ack 19:22:01.348371 52 0 3948016685
seq 19:22:01.348849 1500 1448 3948054333
ack 19:22:01.378521 52 0 3948018133
seq 19:22:01.378963 1500 1448 3948055781
ack 19:22:01.409645 52 0 3948019581
seq 19:22:01.410104 1500 1448 3948057229
ack 19:22:01.439799 52 0 3948021029
seq 19:22:01.440283 1500 1448 3948058677
ack 19:22:01.469918 52 0 3948022477
seq 19:22:01.470408 1500 1448 3948060125
ack 19:22:01.500101 52 0 3948023925
seq 19:22:01.500516 1500 1448 3948061573
ack 19:22:01.529264 52 0 3948025373
seq 19:22:01.529723 1500 1448 3948063021
ack 19:22:01.559449 52 0 3948026821
seq 19:22:01.559916 1500 1448 3948064469
ack 19:22:01.589579 52 0 3948028269
seq 19:22:01.590078 1500 1448 3948065917
ack 19:22:01.620697 52 0 3948029717
seq 19:22:01.621143 1500 1448 3948067365
ack 19:22:01.650837 52 0 3948031165
