Type Time Length DataLength Raw_Seq/Ack
ack 19:22:41.424737 60 0 0
seq 19:22:41.425283 60 0 3262332190
ack 19:22:41.694077 52 0 3262332191
ack 19:22:41.694124 208 156 3262332191
seq 19:22:41.694585 52 0 3262332191
seq 19:22:41.694715 1500 1448 3262332191
seq 19:22:41.694757 1500 1448 3262333639
seq 19:22:41.694761 1500 1448 3262335087
seq 19:22:41.694762 1500 1448 3262336535
seq 19:22:41.694764 1500 1448 3262337983
seq 19:22:41.694765 1500 1448 3262339431
seq 19:22:41.694766 1500 1448 3262340879
seq 19:22:41.694792 1500 1448 3262342327
seq 19:22:41.694795 1500 1448 3262343775
seq 19:22:41.694796 1500 1448 3262345223
ack 19:22:41.993915 52 0 3262333639
seq 19:22:41.995584 1500 1448 3262346671
seq 19:22:41.995589 1500 1448 3262348119
ack 19:22:42.024052 52 0 3262335087
seq 19:22:42.024534 1500 1448 3262349567
seq 19:22:42.024537 1500 1448 3262351015
ack 19:22:42.053163 52 0 3262336535
seq 19:22:42.053598 1500 1448 3262352463
seq 19:22:42.053601 1500 1448 3262353911
ack 19:22:42.083325 52 0 3262337983
seq 19:22:42.083748 1500 1448 3262355359
seq 19:22:42.083751 1500 1448 3262356807
ack 19:22:42.113447 52 0 3262339431
seq 19:22:42.113902 1500 1448 3262358255
seq 19:22:42.113906 1500 1448 3262359703
ack 19:22:42.144554 52 0 3262340879
seq 19:22:42.145020 1500 1448 3262361151
seq 19:22:42.145023 1500 1448 3262362599
ack 19:22:42.174683 52 0 3262342327
seq 19:22:42.175119 1500 1448 3262364047
seq 19:22:42.175129 1500 1448 3262365495
ack 19:22:42.204802 52 0 3262343775
seq 19:22:42.205240 1500 1448 3262366943
seq 19:22:42.205242 1500 1448 3262368391
ack 19:22:42.234932 52 0 3262345223
seq 19:22:42.235389 1500 1448 3262369839
seq 19:22:42.235392 1500 1448 3262371287
ack 19:22:42.265063 52 0 3262346671
seq 19:22:42.265558 1500 1448 3262372735
seq 19:22:42.265561 1500 1448 3262374183
ack 19:22:42.294237 52 0 3262348119
seq 19:22:42.294724 1500 1448 3262375631
seq 19:22:42.294727 1500 1448 3262377079
ack 19:22:42.324366 52 0 3262349567
seq 19:22:42.324822 1500 1448 3262378527
seq 19:22:42.324823 1500 1448 3262379975
ack 19:22:42.354498 52 0 3262351015
seq 19:22:42.354914 1500 1448 3262381423
seq 19:22:42.354934 1500 1448 3262382871
ack 19:22:42.385603 52 0 3262352463
seq 19:22:42.386077 1500 1448 3262384319
seq 19:22:42.386080 1500 1448 3262385767
ack 19:22:42.415739 52 0 3262353911
seq 19:22:42.416198 1500 1448 3262387215
seq 19:22:42.416202 1500 1448 3262388663
ack 19:22:42.445900 52 0 3262355359
seq 19:22:42.446369 1500 1448 3262390111
seq 19:22:42.446394 1500 1448 3262391559
ack 19:22:42.475994 52 0 3262356807
seq 19:22:42.476432 1500 1448 3262393007
seq 19:22:42.476457 1500 1448 3262394455
ack 19:22:42.505144 52 0 3262358255
seq 19:22:42.505664 1500 1448 3262395903
ack 19:22:42.535281 52 0 3262359703
seq 19:22:42.535763 1500 1448 3262397351
ack 19:22:42.565410 52 0 3262361151
seq 19:22:42.565867 1500 1448 3262398799
ack 19:22:42.596527 52 0 3262362599
seq 19:22:42.596965 1500 1448 3262400247
ack 19:22:42.626662 52 0 3262364047
seq 19:22:42.627111 1500 1448 3262401695
ack 19:22:42.656790 52 0 3262365495
seq 19:22:42.657224 1500 1448 3262403143
ack 19:22:42.686924 52 0 3262366943
seq 19:22:42.687344 1500 1448 3262404591
ack 19:22:42.717052 52 0 3262368391
seq 19:22:42.717469 1500 1448 3262406039
ack 19:22:42.746214 52 0 3262369839
seq 19:22:42.746642 1500 1448 3262407487
ack 19:22:42.776347 52 0 3262371287
seq 19:22:42.776883 1500 1448 3262408935
ack 19:22:42.806472 52 0 3262372735
seq 19:22:42.806904 1500 1448 3262410383
ack 19:22:42.837576 52 0 3262374183
seq 19:22:42.838027 1500 1448 3262411831
ack 19:22:42.867695 52 0 3262375631
seq 19:22:42.868163 1500 1448 3262413279
ack 19:22:42.897820 52 0 3262377079
seq 19:22:42.898237 1500 1448 3262414727
ack 19:22:42.927942 52 0 3262378527
seq 19:22:42.928394 1500 1448 3262416175
ack 19:22:42.957122 52 0 3262379975
seq 19:22:42.957589 1500 1448 3262417623
ack 19:22:42.987260 52 0 3262381423
seq 19:22:42.987691 1500 1448 3262419071
ack 19:22:43.017382 52 0 3262382871
seq 19:22:43.017822 1500 1448 3262420519
ack 19:22:43.048503 52 0 3262384319
seq 19:22:43.049002 1500 1448 3262421967
ack 19:22:43.078620 52 0 3262385767
seq 19:22:43.079087 1500 1448 3262423415
ack 19:22:43.108750 52 0 3262387215
seq 19:22:43.109148 1500 1448 3262424863
ack 19:22:43.138873 52 0 3262388663
seq 19:22:43.139271 1500 1448 3262426311
ack 19:22:43.169008 52 0 3262390111
seq 19:22:43.169447 1500 1448 3262427759
ack 19:22:43.198172 52 0 3262391559
seq 19:22:43.198658 1500 1448 3262429207
ack 19:22:43.228313 52 0 3262393007
seq 19:22:43.228798 1500 1448 3262430655
ack 19:22:43.258436 52 0 3262394455
seq 19:22:43.258876 1500 1448 3262432103
ack 19:22:43.289530 52 0 3262395903
seq 19:22:43.289956 1500 1448 3262433551
ack 19:22:43.319669 52 0 3262397351
seq 19:22:43.320146 1500 1448 3262434999
ack 19:22:43.349795 52 0 3262398799
seq 19:22:43.350337 1500 1448 3262436447
ack 19:22:43.379936 52 0 3262400247
seq 19:22:43.380332 1500 1448 3262437895
ack 19:22:43.410063 52 0 3262401695
seq 19:22:43.410481 1500 1448 3262439343
ack 19:22:43.439241 52 0 3262403143
seq 19:22:43.439607 1500 1448 3262440791
ack 19:22:43.469394 52 0 3262404591
seq 19:22:43.469829 1500 1448 3262442239
ack 19:22:43.499552 52 0 3262406039
seq 19:22:43.499992 1500 1448 3262443687
ack 19:22:43.530637 52 0 3262407487
seq 19:22:43.531100 1500 1448 3262445135
ack 19:22:43.560762 52 0 3262408935
seq 19:22:43.561215 1500 1448 3262446583
ack 19:22:43.590879 52 0 3262410383
seq 19:22:43.591380 1500 1448 3262448031
ack 19:22:43.621007 52 0 3262411831
seq 19:22:43.621445 1500 1448 3262449479
ack 19:22:43.650155 52 0 3262413279
seq 19:22:43.650550 1500 1448 3262450927
ack 19:22:43.680284 52 0 3262414727
seq 19:22:43.680720 1500 1448 3262452375
ack 19:22:43.710409 52 0 3262416175
ack 19:22:43.741518 52 0 3262417623
seq 19:22:43.741934 1500 1448 3262453823
ack 19:22:43.771646 52 0 3262419071
seq 19:22:43.772134 1500 1448 3262455271
ack 19:22:43.801782 52 0 3262420519
seq 19:22:43.802251 1500 1448 3262456719
ack 19:22:43.831948 52 0 3262421967
seq 19:22:43.832450 1500 1448 3262458167
ack 19:22:43.862108 52 0 3262423415
seq 19:22:43.862592 1500 1448 3262459615
ack 19:22:43.891231 52 0 3262424863
seq 19:22:43.891728 1500 1448 3262461063
ack 19:22:43.921360 52 0 3262426311
seq 19:22:43.921804 1500 1448 3262462511
ack 19:22:43.951497 52 0 3262427759
seq 19:22:43.951929 1500 1448 3262463959
ack 19:22:43.982603 52 0 3262429207
seq 19:22:43.983100 1500 1448 3262465407
ack 19:22:44.012749 52 0 3262430655
seq 19:22:44.013177 1500 1448 3262466855
ack 19:22:44.042911 52 0 3262432103
seq 19:22:44.043373 1500 1448 3262468303
ack 19:22:44.073044 52 0 3262433551
seq 19:22:44.073500 1500 1448 3262469751
ack 19:22:44.102231 52 0 3262434999
seq 19:22:44.102732 1500 1448 3262471199
ack 19:22:44.132371 52 0 3262436447
seq 19:22:44.132817 1500 1448 3262472647
ack 19:22:44.162519 52 0 3262437895
seq 19:22:44.162976 1500 1448 3262474095
ack 19:22:44.193646 52 0 3262439343
seq 19:22:44.194094 1500 1448 3262475543
ack 19:22:44.223807 52 0 3262440791
seq 19:22:44.224256 1500 1448 3262476991
ack 19:22:44.253913 52 0 3262442239
seq 19:22:44.254331 1500 1448 3262478439
ack 19:22:44.284043 52 0 3262443687
seq 19:22:44.284476 1500 1448 3262479887
ack 19:22:44.313184 52 0 3262445135
seq 19:22:44.313636 1500 1448 3262481335
ack 19:22:44.343320 52 0 3262446583
seq 19:22:44.343793 1500 1448 3262482783
ack 19:22:44.373459 52 0 3262448031
seq 19:22:44.373928 1500 1448 3262484231
ack 19:22:44.404580 52 0 3262449479
seq 19:22:44.405021 1500 1448 3262485679
ack 19:22:44.434728 52 0 3262450927
seq 19:22:44.435150 1500 1448 3262487127
ack 19:22:44.464859 52 0 3262452375
seq 19:22:44.465347 1500 1448 3262488575
ack 19:22:44.494991 52 0 3262453823
seq 19:22:44.495445 1500 1448 3262490023
ack 19:22:44.524237 52 0 3262455271
ack 19:22:44.554298 52 0 3262456719
seq 19:22:44.554767 1500 1448 3262491471
ack 19:22:44.584459 52 0 3262458167
seq 19:22:44.584922 1500 1448 3262492919
ack 19:22:44.615588 52 0 3262459615
seq 19:22:44.616073 1500 1448 3262494367
ack 19:22:44.645726 52 0 3262461063
seq 19:22:44.646155 1500 1448 3262495815
ack 19:22:44.675842 52 0 3262462511
seq 19:22:44.676247 1500 1448 3262497263
ack 19:22:44.705996 52 0 3262463959
seq 19:22:44.706475 1500 1448 3262498711
ack 19:22:44.735143 52 0 3262465407
seq 19:22:44.735593 1500 1448 3262500159
ack 19:22:44.765295 52 0 3262466855
seq 19:22:44.765783 1500 1448 3262501607
ack 19:22:44.795432 52 0 3262468303
seq 19:22:44.795897 1500 1448 3262503055
ack 19:22:44.826592 52 0 3262469751
seq 19:22:44.827078 1500 1448 3262504503
ack 19:22:44.856737 52 0 3262471199
seq 19:22:44.857158 1500 1448 3262505951
ack 19:22:44.886875 52 0 3262472647
seq 19:22:44.887297 1500 1448 3262507399
ack 19:22:44.917015 52 0 3262474095
seq 19:22:44.917448 1500 1448 3262508847
ack 19:22:44.946162 52 0 3262475543
seq 19:22:44.946608 1500 1448 3262510295
ack 19:22:44.976300 52 0 3262476991
seq 19:22:44.976691 1500 1448 3262511743
ack 19:22:45.006463 52 0 3262478439
seq 19:22:45.006977 1500 1448 3262513191
ack 19:22:45.037568 52 0 3262479887
seq 19:22:45.038046 1500 1448 3262514639
ack 19:22:45.067694 52 0 3262481335
seq 19:22:45.068147 1500 1448 3262516087
ack 19:22:45.097814 52 0 3262482783
seq 19:22:45.098270 1500 1448 3262517535
ack 19:22:45.127960 52 0 3262484231
seq 19:22:45.128425 1500 1448 3262518983
ack 19:22:45.157147 52 0 3262485679
seq 19:22:45.157625 1500 1448 3262520431
ack 19:22:45.187281 52 0 3262487127
seq 19:22:45.187736 1500 1448 3262521879
ack 19:22:45.217410 52 0 3262488575
seq 19:22:45.217879 1500 1448 3262523327
ack 19:22:45.248554 52 0 3262490023
seq 19:22:45.249134 1500 1448 3262524775
ack 19:22:45.278698 52 0 3262491471
seq 19:22:45.279112 1500 1448 3262526223
ack 19:22:45.308836 52 0 3262492919
ack 19:22:45.339004 52 0 3262494367
seq 19:22:45.339450 1500 1448 3262527671
ack 19:22:45.368136 52 0 3262495815
seq 19:22:45.368569 1500 1448 3262529119
ack 19:22:45.398281 52 0 3262497263
seq 19:22:45.398697 1500 1448 3262530567
ack 19:22:45.428422 52 0 3262498711
seq 19:22:45.428847 1500 1448 3262532015
ack 19:22:45.459554 52 0 3262500159
seq 19:22:45.459958 1500 1448 3262533463
ack 19:22:45.489693 52 0 3262501607
seq 19:22:45.490098 1500 1448 3262534911
ack 19:22:45.519822 52 0 3262503055
seq 19:22:45.520240 1500 1448 3262536359
ack 19:22:45.549969 52 0 3262504503
seq 19:22:45.550426 1500 1448 3262537807
ack 19:22:45.579157 52 0 3262505951
seq 19:22:45.579631 1500 1448 3262539255
ack 19:22:45.609278 52 0 3262507399
seq 19:22:45.609720 1500 1448 3262540703
ack 19:22:45.639409 52 0 3262508847
seq 19:22:45.639794 1500 1448 3262542151
ack 19:22:45.670544 52 0 3262510295
seq 19:22:45.671069 1500 1448 3262543599
ack 19:22:45.700681 52 0 3262511743
seq 19:22:45.701079 1500 1448 3262545047
ack 19:22:45.730838 52 0 3262513191
seq 19:22:45.731290 1500 1448 3262546495
ack 19:22:45.760991 52 0 3262514639
seq 19:22:45.761431 1500 1448 3262547943
ack 19:22:45.790164 52 0 3262516087
seq 19:22:45.790552 1500 1448 3262549391
ack 19:22:45.820326 52 0 3262517535
seq 19:22:45.820755 1500 1448 3262550839
ack 19:22:45.850475 52 0 3262518983
seq 19:22:45.850965 1500 1448 3262552287
ack 19:22:45.881622 52 0 3262520431
seq 19:22:45.882039 1500 1448 3262553735
ack 19:22:45.911755 52 0 3262521879
seq 19:22:45.912186 1500 1448 3262555183
ack 19:22:45.941881 52 0 3262523327
seq 19:22:45.942337 1500 1448 3262556631
ack 19:22:45.972035 52 0 3262524775
seq 19:22:45.972477 1500 1448 3262558079
ack 19:22:46.001173 52 0 3262526223
seq 19:22:46.001645 1500 1448 3262559527
ack 19:22:46.031332 52 0 3262527671
seq 19:22:46.031745 1500 1448 3262560975
ack 19:22:46.061540 52 0 3262529119
ack 19:22:46.092676 52 0 3262530567
seq 19:22:46.093133 1500 1448 3262562423
ack 19:22:46.122811 52 0 3262532015
seq 19:22:46.123276 1500 1448 3262563871
ack 19:22:46.152937 52 0 3262533463
seq 19:22:46.153405 1500 1448 3262565319
ack 19:22:46.183109 52 0 3262534911
seq 19:22:46.183583 1500 1448 3262566767
ack 19:22:46.212250 52 0 3262536359
seq 19:22:46.212676 1500 1448 3262568215
ack 19:22:46.242401 52 0 3262537807
seq 19:22:46.242841 1500 1448 3262569663
ack 19:22:46.272560 52 0 3262539255
seq 19:22:46.272938 1500 1448 3262571111
ack 19:22:46.303733 52 0 3262540703
seq 19:22:46.304186 1500 1448 3262572559
ack 19:22:46.333888 52 0 3262542151
seq 19:22:46.334370 1500 1448 3262574007
ack 19:22:46.364021 52 0 3262543599
seq 19:22:46.364456 1500 1448 3262575455
ack 19:22:46.393157 52 0 3262545047
seq 19:22:46.393572 1500 1448 3262576903
ack 19:22:46.423365 52 0 3262546495
seq 19:22:46.423841 1500 1448 3262578351
ack 19:22:46.453510 52 0 3262547943
seq 19:22:46.453912 1500 1448 3262579799
ack 19:22:46.484647 52 0 3262549391
seq 19:22:46.485102 1500 1448 3262581247
ack 19:22:46.514775 52 0 3262550839
seq 19:22:46.515241 1500 1448 3262582695
ack 19:22:46.544921 52 0 3262552287
seq 19:22:46.545385 1500 1448 3262584143
ack 19:22:46.575068 52 0 3262553735
seq 19:22:46.575508 1500 1448 3262585591
ack 19:22:46.604289 52 0 3262555183
seq 19:22:46.604810 1500 1448 3262587039
ack 19:22:46.634380 52 0 3262556631
seq 19:22:46.634860 1500 1448 3262588487
ack 19:22:46.664524 52 0 3262558079
seq 19:22:46.665003 1500 1448 3262589935
ack 19:22:46.695651 52 0 3262559527
seq 19:22:46.696112 1500 1448 3262591383
ack 19:22:46.725782 52 0 3262560975
seq 19:22:46.726232 1500 1448 3262592831
ack 19:22:46.755938 52 0 3262562423
seq 19:22:46.756380 1500 1448 3262594279
ack 19:22:46.786070 52 0 3262563871
ack 19:22:46.815244 52 0 3262565319
seq 19:22:46.815668 1500 1448 3262595727
ack 19:22:46.845380 52 0 3262566767
seq 19:22:46.845830 1500 1448 3262597175
ack 19:22:46.875555 52 0 3262568215
seq 19:22:46.875936 1500 1448 3262598623
ack 19:22:46.906700 52 0 3262569663
seq 19:22:46.907101 1500 1448 3262600071
ack 19:22:46.936807 52 0 3262571111
seq 19:22:46.937257 1500 1448 3262601519
ack 19:22:46.966951 52 0 3262572559
seq 19:22:46.967365 1500 1448 3262602967
ack 19:22:46.997077 52 0 3262574007
seq 19:22:46.997472 1500 1448 3262604415
ack 19:22:47.026207 52 0 3262575455
seq 19:22:47.026661 1500 1448 3262605863
ack 19:22:47.056364 52 0 3262576903
seq 19:22:47.056792 1500 1448 3262607311
ack 19:22:47.086496 52 0 3262578351
seq 19:22:47.086994 1500 1448 3262608759
ack 19:22:47.147612 52 0 3262581247
seq 19:22:47.148066 1500 1448 3262610207
seq 19:22:47.148075 1500 1448 3262611655
ack 19:22:47.207864 52 0 3262584143
seq 19:22:47.208558 1500 1448 3262613103
seq 19:22:47.208566 1500 1448 3262614551
ack 19:22:47.267153 52 0 3262587039
seq 19:22:47.267612 1500 1448 3262615999
seq 19:22:47.267622 1500 1448 3262617447
ack 19:22:47.328419 52 0 3262589935
seq 19:22:47.328846 1500 1448 3262618895
seq 19:22:47.328853 1500 1448 3262620343
ack 19:22:47.388682 52 0 3262592831
seq 19:22:47.389105 1500 1448 3262621791
seq 19:22:47.389113 1500 1448 3262623239
ack 19:22:47.448974 52 0 3262595727
seq 19:22:47.449456 1500 1448 3262624687
seq 19:22:47.449463 1500 1448 3262626135
ack 19:22:47.508266 52 0 3262598623
seq 19:22:47.508721 1500 1448 3262627583
ack 19:22:47.569557 52 0 3262601519
seq 19:22:47.570019 1500 1448 3262629031
