Type Time Length DataLength Raw_Seq/Ack
ack 02:07:43.466995 60 0 0
seq 02:07:43.467519 60 0 1486108331
ack 02:07:43.736399 52 0 1486108332
ack 02:07:43.736428 208 156 1486108332
seq 02:07:43.736874 52 0 1486108332
seq 02:07:43.737081 1500 1448 1486108332
seq 02:07:43.737086 1500 1448 1486109780
seq 02:07:43.737089 1500 1448 1486111228
seq 02:07:43.737090 1500 1448 1486112676
seq 02:07:43.737092 1500 1448 1486114124
seq 02:07:43.737093 1500 1448 1486115572
seq 02:07:43.737096 1500 1448 1486117020
seq 02:07:43.737097 1500 1448 1486118468
seq 02:07:43.737125 1500 1448 1486119916
seq 02:07:43.737126 1500 1448 1486121364
ack 02:07:44.034266 52 0 1486109780
seq 02:07:44.034762 1500 1448 1486122812
seq 02:07:44.034776 1500 1448 1486124260
ack 02:07:44.064355 52 0 1486111228
seq 02:07:44.064770 1500 1448 1486125708
seq 02:07:44.064794 1500 1448 1486127156
ack 02:07:44.094467 52 0 1486112676
seq 02:07:44.094963 1500 1448 1486128604
seq 02:07:44.094973 1500 1448 1486130052
ack 02:07:44.125564 52 0 1486114124
seq 02:07:44.125987 1500 1448 1486131500
seq 02:07:44.126000 1500 1448 1486132948
ack 02:07:44.155673 52 0 1486115572
seq 02:07:44.156175 1500 1448 1486134396
seq 02:07:44.156184 1500 1448 1486135844
ack 02:07:44.185775 52 0 1486117020
seq 02:07:44.186192 1500 1448 1486137292
seq 02:07:44.186205 1500 1448 1486138740
ack 02:07:44.215898 52 0 1486118468
seq 02:07:44.216358 1500 1448 1486140188
seq 02:07:44.216370 1500 1448 1486141636
ack 02:07:44.246012 52 0 1486119916
seq 02:07:44.246463 1500 1448 1486143084
seq 02:07:44.246474 1500 1448 1486144532
ack 02:07:44.275166 52 0 1486121364
seq 02:07:44.275641 1500 1448 1486145980
seq 02:07:44.275656 1500 1448 1486147428
ack 02:07:44.305333 52 0 1486122812
seq 02:07:44.305814 1500 1448 1486148876
seq 02:07:44.305822 1500 1448 1486150324
ack 02:07:44.335417 52 0 1486124260
seq 02:07:44.335885 1500 1448 1486151772
seq 02:07:44.335895 1500 1448 1486153220
ack 02:07:44.366544 52 0 1486125708
seq 02:07:44.366999 1500 1448 1486154668
seq 02:07:44.367009 1500 1448 1486156116
ack 02:07:44.396627 52 0 1486127156
seq 02:07:44.397106 1500 1448 1486157564
seq 02:07:44.397117 1500 1448 1486159012
ack 02:07:44.426753 52 0 1486128604
seq 02:07:44.427221 1500 1448 1486160460
seq 02:07:44.427231 1500 1448 1486161908
ack 02:07:44.456879 52 0 1486130052
seq 02:07:44.457334 1500 1448 1486163356
seq 02:07:44.457345 1500 1448 1486164804
ack 02:07:44.486975 52 0 1486131500
seq 02:07:44.487442 1500 1448 1486166252
seq 02:07:44.487451 1500 1448 1486167700
ack 02:07:44.517088 52 0 1486132948
seq 02:07:44.517556 1500 1448 1486169148
seq 02:07:44.517566 1500 1448 1486170596
ack 02:07:44.546309 52 0 1486134396
seq 02:07:44.546735 1500 1448 1486172044
ack 02:07:44.576361 52 0 1486135844
seq 02:07:44.576748 1500 1448 1486173492
ack 02:07:44.606503 52 0 1486137292
seq 02:07:44.606909 1500 1448 1486174940
ack 02:07:44.658953 52 0 1486138740
seq 02:07:44.659536 1500 1448 1486176388
ack 02:07:44.668109 52 0 1486140188
seq 02:07:44.668511 1500 1448 1486177836
ack 02:07:44.697848 52 0 1486141636
seq 02:07:44.698254 1500 1448 1486179284
ack 02:07:44.728018 52 0 1486143084
seq 02:07:44.728486 1500 1448 1486180732
ack 02:07:44.777197 52 0 1486144532
seq 02:07:44.777608 1500 1448 1486182180
ack 02:07:44.807305 52 0 1486145980
seq 02:07:44.807722 1500 1448 1486183628
ack 02:07:44.837426 52 0 1486147428
seq 02:07:44.837897 1500 1448 1486185076
ack 02:07:44.868577 52 0 1486148876
seq 02:07:44.869014 1500 1448 1486186524
ack 02:07:44.898677 52 0 1486150324
seq 02:07:44.899112 1500 1448 1486187972
ack 02:07:44.928794 52 0 1486151772
seq 02:07:44.929221 1500 1448 1486189420
ack 02:07:44.958938 52 0 1486153220
seq 02:07:44.959373 1500 1448 1486190868
ack 02:07:44.989087 52 0 1486154668
seq 02:07:44.989577 1500 1448 1486192316
ack 02:07:45.018232 52 0 1486156116
seq 02:07:45.018701 1500 1448 1486193764
ack 02:07:45.048381 52 0 1486157564
seq 02:07:45.048854 1500 1448 1486195212
ack 02:07:45.078511 52 0 1486159012
seq 02:07:45.078953 1500 1448 1486196660
ack 02:07:45.109645 52 0 1486160460
seq 02:07:45.110077 1500 1448 1486198108
ack 02:07:45.139761 52 0 1486161908
seq 02:07:45.140193 1500 1448 1486199556
ack 02:07:45.169899 52 0 1486163356
seq 02:07:45.170341 1500 1448 1486201004
ack 02:07:45.200012 52 0 1486164804
seq 02:07:45.200423 1500 1448 1486202452
ack 02:07:45.229155 52 0 1486166252
seq 02:07:45.229587 1500 1448 1486203900
ack 02:07:45.259290 52 0 1486167700
seq 02:07:45.259716 1500 1448 1486205348
ack 02:07:45.289453 52 0 1486169148
seq 02:07:45.289897 1500 1448 1486206796
ack 02:07:45.320543 52 0 1486170596
seq 02:07:45.321047 1500 1448 1486208244
ack 02:07:45.350667 52 0 1486172044
seq 02:07:45.351152 1500 1448 1486209692
ack 02:07:45.380801 52 0 1486173492
seq 02:07:45.381287 1500 1448 1486211140
seq 02:07:45.381368 1500 1448 1486212588
ack 02:07:45.410939 52 0 1486174940
seq 02:07:45.411384 1500 1448 1486214036
ack 02:07:45.441080 52 0 1486176388
seq 02:07:45.441536 1500 1448 1486215484
ack 02:07:45.470244 52 0 1486177836
seq 02:07:45.470687 1500 1448 1486216932
ack 02:07:45.500392 52 0 1486179284
seq 02:07:45.500828 1500 1448 1486218380
ack 02:07:45.530560 52 0 1486180732
seq 02:07:45.531011 1500 1448 1486219828
ack 02:07:45.561670 52 0 1486182180
seq 02:07:45.562180 1500 1448 1486221276
ack 02:07:45.591787 52 0 1486183628
seq 02:07:45.592192 1500 1448 1486222724
ack 02:07:45.621916 52 0 1486185076
seq 02:07:45.622371 1500 1448 1486224172
ack 02:07:45.652059 52 0 1486186524
seq 02:07:45.652463 1500 1448 1486225620
ack 02:07:45.681191 52 0 1486187972
seq 02:07:45.681653 1500 1448 1486227068
ack 02:07:45.711350 52 0 1486189420
seq 02:07:45.711788 1500 1448 1486228516
ack 02:07:45.741493 52 0 1486190868
seq 02:07:45.741923 1500 1448 1486229964
ack 02:07:45.772622 52 0 1486192316
seq 02:07:45.773103 1500 1448 1486231412
ack 02:07:45.802755 52 0 1486193764
seq 02:07:45.803199 1500 1448 1486232860
ack 02:07:45.832890 52 0 1486195212
seq 02:07:45.833330 1500 1448 1486234308
ack 02:07:45.863026 52 0 1486196660
seq 02:07:45.863494 1500 1448 1486235756
ack 02:07:45.892206 52 0 1486198108
seq 02:07:45.892647 1500 1448 1486237204
ack 02:07:45.922345 52 0 1486199556
seq 02:07:45.922774 1500 1448 1486238652
ack 02:07:45.952494 52 0 1486201004
seq 02:07:45.952929 1500 1448 1486240100
ack 02:07:45.983625 52 0 1486202452
seq 02:07:45.984079 1500 1448 1486241548
ack 02:07:46.013749 52 0 1486203900
seq 02:07:46.014194 1500 1448 1486242996
ack 02:07:46.043858 52 0 1486205348
seq 02:07:46.044285 1500 1448 1486244444
ack 02:07:46.074003 52 0 1486206796
seq 02:07:46.074455 1500 1448 1486245892
ack 02:07:46.103138 52 0 1486208244
seq 02:07:46.103594 1500 1448 1486247340
ack 02:07:46.133282 52 0 1486209692
seq 02:07:46.133727 1500 1448 1486248788
ack 02:07:46.163421 52 0 1486211140
seq 02:07:46.163877 1500 1448 1486250236
ack 02:07:46.194552 52 0 1486212588
seq 02:07:46.194992 1500 1448 1486251684
ack 02:07:46.224679 52 0 1486214036
seq 02:07:46.225140 1500 1448 1486253132
ack 02:07:46.254816 52 0 1486215484
seq 02:07:46.255231 1500 1448 1486254580
ack 02:07:46.284931 52 0 1486216932
seq 02:07:46.285451 1500 1448 1486256028
ack 02:07:46.315066 52 0 1486218380
seq 02:07:46.315499 1500 1448 1486257476
ack 02:07:46.344185 52 0 1486219828
seq 02:07:46.344629 1500 1448 1486258924
ack 02:07:46.374326 52 0 1486221276
seq 02:07:46.374826 1500 1448 1486260372
ack 02:07:46.404461 52 0 1486222724
seq 02:07:46.404905 1500 1448 1486261820
ack 02:07:46.435617 52 0 1486224172
seq 02:07:46.436081 1500 1448 1486263268
ack 02:07:46.465721 52 0 1486225620
seq 02:07:46.466182 1500 1448 1486264716
ack 02:07:46.495840 52 0 1486227068
seq 02:07:46.496303 1500 1448 1486266164
ack 02:07:46.525990 52 0 1486228516
seq 02:07:46.526432 1500 1448 1486267612
ack 02:07:46.555099 52 0 1486229964
seq 02:07:46.555507 1500 1448 1486269060
ack 02:07:46.585236 52 0 1486231412
seq 02:07:46.585949 1500 1448 1486270508
ack 02:07:46.615364 52 0 1486232860
seq 02:07:46.615809 1500 1448 1486271956
ack 02:07:46.645498 52 0 1486234308
seq 02:07:46.645969 1500 1448 1486273404
ack 02:07:46.676629 52 0 1486235756
seq 02:07:46.677101 1500 1448 1486274852
ack 02:07:46.706786 52 0 1486237204
seq 02:07:46.707217 1500 1448 1486276300
ack 02:07:46.736890 52 0 1486238652
