Type Time Length DataLength Raw_Seq/Ack
ack 19:24:04.670443 60 0 0
seq 19:24:04.670984 60 0 2871564351
ack 19:24:04.939829 52 0 2871564352
ack 19:24:04.939860 208 156 2871564352
seq 19:24:04.940395 52 0 2871564352
seq 19:24:04.940480 1500 1448 2871564352
seq 19:24:04.940482 1500 1448 2871565800
seq 19:24:04.940487 1500 1448 2871567248
seq 19:24:04.940488 1500 1448 2871568696
seq 19:24:04.940500 1500 1448 2871570144
seq 19:24:04.940501 1500 1448 2871571592
seq 19:24:04.940502 1500 1448 2871573040
seq 19:24:04.940527 1500 1448 2871574488
seq 19:24:04.940529 1500 1448 2871575936
seq 19:24:04.940530 1500 1448 2871577384
ack 19:24:05.239790 52 0 2871565800
seq 19:24:05.240259 1500 1448 2871578832
seq 19:24:05.240265 1500 1448 2871580280
ack 19:24:05.269968 52 0 2871567248
seq 19:24:05.270451 1500 1448 2871581728
seq 19:24:05.270460 1500 1448 2871583176
ack 19:24:05.300056 52 0 2871568696
seq 19:24:05.300535 1500 1448 2871584624
seq 19:24:05.300556 1500 1448 2871586072
ack 19:24:05.329216 52 0 2871570144
seq 19:24:05.329679 1500 1448 2871587520
seq 19:24:05.329699 1500 1448 2871588968
ack 19:24:05.359343 52 0 2871571592
seq 19:24:05.359780 1500 1448 2871590416
seq 19:24:05.359806 1500 1448 2871591864
ack 19:24:05.389469 52 0 2871573040
seq 19:24:05.389909 1500 1448 2871593312
seq 19:24:05.389920 1500 1448 2871594760
ack 19:24:05.420588 52 0 2871574488
seq 19:24:05.421149 1500 1448 2871596208
seq 19:24:05.421154 1500 1448 2871597656
ack 19:24:05.450718 52 0 2871575936
seq 19:24:05.451196 1500 1448 2871599104
seq 19:24:05.451200 1500 1448 2871600552
ack 19:24:05.480867 52 0 2871577384
seq 19:24:05.481367 1500 1448 2871602000
seq 19:24:05.481373 1500 1448 2871603448
ack 19:24:05.511011 52 0 2871578832
seq 19:24:05.511473 1500 1448 2871604896
seq 19:24:05.511479 1500 1448 2871606344
ack 19:24:05.540168 52 0 2871580280
seq 19:24:05.540663 1500 1448 2871607792
seq 19:24:05.540666 1500 1448 2871609240
ack 19:24:05.570314 52 0 2871581728
seq 19:24:05.570801 1500 1448 2871610688
seq 19:24:05.570833 1500 1448 2871612136
ack 19:24:05.600438 52 0 2871583176
seq 19:24:05.600992 1500 1448 2871613584
seq 19:24:05.600996 1500 1448 2871615032
ack 19:24:05.631540 52 0 2871584624
seq 19:24:05.632040 1500 1448 2871616480
seq 19:24:05.632060 1500 1448 2871617928
ack 19:24:05.661675 52 0 2871586072
seq 19:24:05.662162 1500 1448 2871619376
seq 19:24:05.662167 1500 1448 2871620824
ack 19:24:05.691819 52 0 2871587520
seq 19:24:05.692274 1500 1448 2871622272
seq 19:24:05.692281 1500 1448 2871623720
ack 19:24:05.721974 52 0 2871588968
seq 19:24:05.722449 1500 1448 2871625168
seq 19:24:05.722456 1500 1448 2871626616
ack 19:24:05.752054 52 0 2871590416
seq 19:24:05.752499 1500 1448 2871628064
ack 19:24:05.781217 52 0 2871591864
seq 19:24:05.781690 1500 1448 2871629512
ack 19:24:05.811377 52 0 2871593312
seq 19:24:05.811868 1500 1448 2871630960
ack 19:24:05.841476 52 0 2871594760
seq 19:24:05.841979 1500 1448 2871632408
ack 19:24:05.872594 52 0 2871596208
seq 19:24:05.873072 1500 1448 2871633856
ack 19:24:05.902713 52 0 2871597656
seq 19:24:05.903177 1500 1448 2871635304
ack 19:24:05.932874 52 0 2871599104
seq 19:24:05.933349 1500 1448 2871636752
ack 19:24:05.962993 52 0 2871600552
seq 19:24:05.963427 1500 1448 2871638200
ack 19:24:05.992146 52 0 2871602000
seq 19:24:05.992559 1500 1448 2871639648
ack 19:24:06.022284 52 0 2871603448
seq 19:24:06.022753 1500 1448 2871641096
ack 19:24:06.052444 52 0 2871604896
seq 19:24:06.052918 1500 1448 2871642544
ack 19:24:06.083531 52 0 2871606344
seq 19:24:06.083988 1500 1448 2871643992
ack 19:24:06.113644 52 0 2871607792
seq 19:24:06.114085 1500 1448 2871645440
ack 19:24:06.143790 52 0 2871609240
seq 19:24:06.144237 1500 1448 2871646888
ack 19:24:06.173919 52 0 2871610688
seq 19:24:06.174409 1500 1448 2871648336
ack 19:24:06.204026 52 0 2871612136
seq 19:24:06.204473 1500 1448 2871649784
ack 19:24:06.233164 52 0 2871613584
seq 19:24:06.233603 1500 1448 2871651232
ack 19:24:06.263311 52 0 2871615032
seq 19:24:06.263796 1500 1448 2871652680
ack 19:24:06.293430 52 0 2871616480
seq 19:24:06.293906 1500 1448 2871654128
ack 19:24:06.324567 52 0 2871617928
seq 19:24:06.325087 1500 1448 2871655576
ack 19:24:06.354677 52 0 2871619376
seq 19:24:06.355132 1500 1448 2871657024
ack 19:24:06.384827 52 0 2871620824
seq 19:24:06.385328 1500 1448 2871658472
ack 19:24:06.414951 52 0 2871622272
seq 19:24:06.415407 1500 1448 2871659920
ack 19:24:06.445089 52 0 2871623720
seq 19:24:06.445576 1500 1448 2871661368
ack 19:24:06.474265 52 0 2871625168
seq 19:24:06.474780 1500 1448 2871662816
ack 19:24:06.504405 52 0 2871626616
seq 19:24:06.504909 1500 1448 2871664264
ack 19:24:06.534560 52 0 2871628064
seq 19:24:06.535031 1500 1448 2871665712
seq 19:24:06.535047 1500 1448 2871667160
ack 19:24:06.565644 52 0 2871629512
seq 19:24:06.566208 1500 1448 2871668608
ack 19:24:06.595783 52 0 2871630960
seq 19:24:06.596214 1500 1448 2871670056
ack 19:24:06.625930 52 0 2871632408
seq 19:24:06.626412 1500 1448 2871671504
ack 19:24:06.656053 52 0 2871633856
seq 19:24:06.656513 1500 1448 2871672952
ack 19:24:06.685196 52 0 2871635304
seq 19:24:06.685643 1500 1448 2871674400
ack 19:24:06.715343 52 0 2871636752
seq 19:24:06.715772 1500 1448 2871675848
ack 19:24:06.745468 52 0 2871638200
seq 19:24:06.745942 1500 1448 2871677296
ack 19:24:06.776569 52 0 2871639648
seq 19:24:06.777003 1500 1448 2871678744
ack 19:24:06.806707 52 0 2871641096
seq 19:24:06.807165 1500 1448 2871680192
ack 19:24:06.836837 52 0 2871642544
seq 19:24:06.837343 1500 1448 2871681640
ack 19:24:06.866973 52 0 2871643992
seq 19:24:06.867438 1500 1448 2871683088
ack 19:24:06.897077 52 0 2871645440
seq 19:24:06.897517 1500 1448 2871684536
ack 19:24:06.926254 52 0 2871646888
