Type Time Length DataLength Raw_Seq/Ack
ack 19:24:46.328907 60 0 0
seq 19:24:46.329464 60 0 1869480559
ack 19:24:46.598288 52 0 1869480560
ack 19:24:46.598316 208 156 1869480560
seq 19:24:46.598744 52 0 1869480560
seq 19:24:46.598956 1500 1448 1869480560
seq 19:24:46.598962 1500 1448 1869482008
seq 19:24:46.598965 1500 1448 1869483456
seq 19:24:46.598966 1500 1448 1869484904
seq 19:24:46.598967 1500 1448 1869486352
seq 19:24:46.598976 1500 1448 1869487800
seq 19:24:46.598980 1500 1448 1869489248
seq 19:24:46.598980 1500 1448 1869490696
seq 19:24:46.598981 1500 1448 1869492144
seq 19:24:46.598996 1500 1448 1869493592
ack 19:24:46.896203 52 0 1869482008
seq 19:24:46.896693 1500 1448 1869495040
seq 19:24:46.896704 1500 1448 1869496488
ack 19:24:46.926296 52 0 1869483456
seq 19:24:46.926838 1500 1448 1869497936
seq 19:24:46.926850 1500 1448 1869499384
ack 19:24:46.956410 52 0 1869484904
seq 19:24:46.956928 1500 1448 1869500832
seq 19:24:46.956938 1500 1448 1869502280
ack 19:24:46.987558 52 0 1869486352
seq 19:24:46.987990 1500 1448 1869503728
seq 19:24:46.988004 1500 1448 1869505176
ack 19:24:47.017650 52 0 1869487800
seq 19:24:47.018167 1500 1448 1869506624
seq 19:24:47.018178 1500 1448 1869508072
ack 19:24:47.047775 52 0 1869489248
seq 19:24:47.048226 1500 1448 1869509520
seq 19:24:47.048238 1500 1448 1869510968
ack 19:24:47.077908 52 0 1869490696
seq 19:24:47.078370 1500 1448 1869512416
seq 19:24:47.078381 1500 1448 1869513864
ack 19:24:47.108040 52 0 1869492144
seq 19:24:47.108490 1500 1448 1869515312
seq 19:24:47.108506 1500 1448 1869516760
ack 19:24:47.137201 52 0 1869493592
seq 19:24:47.137691 1500 1448 1869518208
seq 19:24:47.137702 1500 1448 1869519656
ack 19:24:47.167335 52 0 1869495040
seq 19:24:47.167763 1500 1448 1869521104
seq 19:24:47.167780 1500 1448 1869522552
ack 19:24:47.197468 52 0 1869496488
seq 19:24:47.197974 1500 1448 1869524000
seq 19:24:47.197985 1500 1448 1869525448
ack 19:24:47.228575 52 0 1869497936
seq 19:24:47.229046 1500 1448 1869526896
seq 19:24:47.229060 1500 1448 1869528344
ack 19:24:47.258707 52 0 1869499384
seq 19:24:47.259160 1500 1448 1869529792
seq 19:24:47.259173 1500 1448 1869531240
ack 19:24:47.288813 52 0 1869500832
seq 19:24:47.289257 1500 1448 1869532688
seq 19:24:47.289269 1500 1448 1869534136
ack 19:24:47.318940 52 0 1869502280
seq 19:24:47.319426 1500 1448 1869535584
seq 19:24:47.319437 1500 1448 1869537032
ack 19:24:47.348116 52 0 1869503728
seq 19:24:47.348649 1500 1448 1869538480
seq 19:24:47.348658 1500 1448 1869539928
ack 19:24:47.378240 52 0 1869505176
seq 19:24:47.378678 1500 1448 1869541376
seq 19:24:47.378689 1500 1448 1869542824
ack 19:24:47.408376 52 0 1869506624
seq 19:24:47.408809 1500 1448 1869544272
ack 19:24:47.439487 52 0 1869508072
seq 19:24:47.439969 1500 1448 1869545720
ack 19:24:47.469611 52 0 1869509520
seq 19:24:47.470032 1500 1448 1869547168
ack 19:24:47.499737 52 0 1869510968
seq 19:24:47.500205 1500 1448 1869548616
ack 19:24:47.529859 52 0 1869512416
seq 19:24:47.530289 1500 1448 1869550064
ack 19:24:47.559975 52 0 1869513864
seq 19:24:47.560420 1500 1448 1869551512
ack 19:24:47.589116 52 0 1869515312
seq 19:24:47.589538 1500 1448 1869552960
ack 19:24:47.619268 52 0 1869516760
seq 19:24:47.619687 1500 1448 1869554408
ack 19:24:47.649391 52 0 1869518208
