Type Time Length DataLength Raw_Seq/Ack
ack 08:07:44.840424 60 0 0
seq 08:07:44.840943 60 0 742835337
ack 08:07:44.974930 52 0 742835338
ack 08:07:44.974968 208 156 742835338
seq 08:07:44.975460 52 0 742835338
seq 08:07:44.975646 1500 1448 742835338
seq 08:07:44.975648 1500 1448 742836786
seq 08:07:44.975651 1500 1448 742838234
seq 08:07:44.975652 1500 1448 742839682
seq 08:07:44.975655 1500 1448 742841130
seq 08:07:44.975656 1500 1448 742842578
seq 08:07:44.975659 1500 1448 742844026
seq 08:07:44.975660 1500 1448 742845474
seq 08:07:44.975666 1500 1448 742846922
seq 08:07:44.975667 1500 1448 742848370
ack 08:07:45.106501 52 0 742836786
seq 08:07:45.106955 1500 1448 742849818
seq 08:07:45.106961 1500 1448 742851266
ack 08:07:45.107615 52 0 742838234
ack 08:07:45.109722 52 0 742839682
ack 08:07:45.110816 52 0 742841130
seq 08:07:45.111662 1500 1448 742852714
seq 08:07:45.111667 1500 1448 742854162
ack 08:07:45.111898 52 0 742842578
ack 08:07:45.113992 52 0 742844026
ack 08:07:45.114005 52 0 742845474
ack 08:07:45.115087 52 0 742846922
ack 08:07:45.117174 52 0 742848370
ack 08:07:45.118265 52 0 742849818
seq 08:07:45.121026 1500 1448 742855610
seq 08:07:45.121067 1500 1448 742857058
seq 08:07:45.130549 1500 1448 742858506
seq 08:07:45.130563 1500 1448 742859954
seq 08:07:45.139913 1500 1448 742861402
seq 08:07:45.139926 1500 1448 742862850
seq 08:07:45.149405 1500 1448 742864298
seq 08:07:45.149416 1500 1448 742865746
seq 08:07:45.158762 1500 1448 742867194
seq 08:07:45.158769 1500 1448 742868642
seq 08:07:45.168235 1500 1448 742870090
seq 08:07:45.168243 1500 1448 742871538
seq 08:07:45.177577 1500 1448 742872986
seq 08:07:45.177590 1500 1448 742874434
seq 08:07:45.187025 1500 1448 742875882
seq 08:07:45.187033 1500 1448 742877330
ack 08:07:45.235087 52 0 742851266
seq 08:07:45.235579 1500 1448 742878778
seq 08:07:45.235583 1500 1448 742880226
ack 08:07:45.237357 52 0 742852714
seq 08:07:45.240176 1500 1448 742881674
seq 08:07:45.240183 1500 1448 742883122
ack 08:07:45.240446 52 0 742854162
ack 08:07:45.242534 52 0 742855610
seq 08:07:45.248538 1500 1448 742884570
seq 08:07:45.248545 1500 1448 742886018
ack 08:07:45.252005 52 0 742857058
ack 08:07:45.252017 52 0 742858506
seq 08:07:45.256916 1500 1448 742887466
seq 08:07:45.256925 1500 1448 742888914
ack 08:07:45.259403 52 0 742859954
ack 08:07:45.260487 52 0 742861402
