Type Time Length DataLength Raw_Seq/Ack
ack 13:18:18.145571 60 0 0
seq 13:18:18.146511 60 0 816786664
ack 13:18:18.276509 52 0 816786665
ack 13:18:18.276541 208 156 816786665
seq 13:18:18.277069 52 0 816786665
seq 13:18:18.277269 1500 1448 816786665
seq 13:18:18.277277 1500 1448 816788113
seq 13:18:18.277280 1500 1448 816789561
seq 13:18:18.277281 1500 1448 816791009
seq 13:18:18.277284 1500 1448 816792457
seq 13:18:18.277284 1500 1448 816793905
seq 13:18:18.277288 1500 1448 816795353
seq 13:18:18.277289 1500 1448 816796801
seq 13:18:18.277294 1500 1448 816798249
seq 13:18:18.277323 1500 1448 816799697
ack 13:18:18.408135 52 0 816788113
seq 13:18:18.408678 1500 1448 816801145
seq 13:18:18.408689 1500 1448 816802593
ack 13:18:18.409261 52 0 816789561
seq 13:18:18.409634 1500 1448 816804041
seq 13:18:18.409666 1500 1448 816805489
ack 13:18:18.410348 52 0 816791009
seq 13:18:18.410720 1500 1448 816806937
seq 13:18:18.410725 1500 1448 816808385
ack 13:18:18.412434 52 0 816792457
seq 13:18:18.412848 1500 1448 816809833
seq 13:18:18.412866 1500 1448 816811281
ack 13:18:18.413518 52 0 816793905
seq 13:18:18.413955 1500 1448 816812729
seq 13:18:18.413965 1500 1448 816814177
ack 13:18:18.414596 52 0 816795353
seq 13:18:18.415034 1500 1448 816815625
seq 13:18:18.415050 1500 1448 816817073
ack 13:18:18.416686 52 0 816796801
seq 13:18:18.417137 1500 1448 816818521
seq 13:18:18.417147 1500 1448 816819969
ack 13:18:18.417770 52 0 816798249
seq 13:18:18.418178 1500 1448 816821417
seq 13:18:18.418193 1500 1448 816822865
ack 13:18:18.418860 52 0 816799697
seq 13:18:18.419216 1500 1448 816824313
seq 13:18:18.419251 1500 1448 816825761
ack 13:18:18.420946 52 0 816801145
seq 13:18:18.421350 1500 1448 816827209
seq 13:18:18.421359 1500 1448 816828657
ack 13:18:18.537871 52 0 816802593
seq 13:18:18.538355 1500 1448 816830105
seq 13:18:18.538367 1500 1448 816831553
ack 13:18:18.539995 52 0 816804041
ack 13:18:18.540011 52 0 816805489
seq 13:18:18.540452 1500 1448 816833001
seq 13:18:18.540458 1500 1448 816834449
seq 13:18:18.540460 1500 1448 816835897
seq 13:18:18.540461 1500 1448 816837345
ack 13:18:18.541083 52 0 816806937
seq 13:18:18.541467 1500 1448 816838793
seq 13:18:18.541509 1500 1448 816840241
ack 13:18:18.543192 52 0 816808385
seq 13:18:18.543587 1500 1448 816841689
seq 13:18:18.543592 1500 1448 816843137
ack 13:18:18.544277 52 0 816809833
seq 13:18:18.544665 1500 1448 816844585
seq 13:18:18.544670 1500 1448 816846033
ack 13:18:18.545385 52 0 816811281
seq 13:18:18.545841 1500 1448 816847481
seq 13:18:18.545877 1500 1448 816848929
ack 13:18:18.547491 52 0 816812729
seq 13:18:18.547885 1500 1448 816850377
seq 13:18:18.547892 1500 1448 816851825
ack 13:18:18.548585 52 0 816814177
seq 13:18:18.548971 1500 1448 816853273
seq 13:18:18.548977 1500 1448 816854721
ack 13:18:18.549668 52 0 816815625
seq 13:18:18.550086 1500 1448 816856169
seq 13:18:18.550094 1500 1448 816857617
ack 13:18:18.550745 52 0 816817073
seq 13:18:18.551170 1500 1448 816859065
seq 13:18:18.551179 1500 1448 816860513
ack 13:18:18.552825 52 0 816818521
seq 13:18:18.553290 1500 1448 816861961
seq 13:18:18.553312 1500 1448 816863409
ack 13:18:18.553901 52 0 816819969
seq 13:18:18.554337 1500 1448 816864857
seq 13:18:18.554346 1500 1448 816866305
ack 13:18:18.554973 52 0 816821417
seq 13:18:18.555376 1500 1448 816867753
seq 13:18:18.555384 1500 1448 816869201
ack 13:18:18.557054 52 0 816822865
ack 13:18:18.557064 52 0 816824313
seq 13:18:18.557474 1500 1448 816870649
seq 13:18:18.557484 1500 1448 816872097
seq 13:18:18.557512 1500 1448 816873545
seq 13:18:18.557518 1500 1448 816874993
ack 13:18:18.558134 52 0 816825761
seq 13:18:18.558549 1500 1448 816876441
seq 13:18:18.558558 1500 1448 816877889
ack 13:18:18.560216 52 0 816827209
seq 13:18:18.560660 1500 1448 816879337
seq 13:18:18.560671 1500 1448 816880785
ack 13:18:18.561292 52 0 816828657
seq 13:18:18.561709 1500 1448 816882233
seq 13:18:18.561722 1500 1448 816883681
ack 13:18:18.562394 52 0 816830105
seq 13:18:18.562805 1500 1448 816885129
seq 13:18:18.562815 1500 1448 816886577
ack 13:18:18.668582 52 0 816831553
seq 13:18:18.669041 1500 1448 816888025
seq 13:18:18.669052 1500 1448 816889473
ack 13:18:18.669678 52 0 816833001
seq 13:18:18.670162 1500 1448 816890921
seq 13:18:18.670173 1500 1448 816892369
ack 13:18:18.670755 52 0 816834449
seq 13:18:18.671161 1500 1448 816893817
seq 13:18:18.671168 1500 1448 816895265
ack 13:18:18.672833 52 0 816835897
seq 13:18:18.673223 1500 1448 816896713
seq 13:18:18.673236 1500 1448 816898161
ack 13:18:18.673913 52 0 816837345
seq 13:18:18.674317 1500 1448 816899609
