Type Time Length DataLength Raw_Seq/Ack
ack 14:42:57.017231 60 0 0
seq 14:42:57.017802 60 0 3444240458
ack 14:42:57.147806 52 0 3444240459
ack 14:42:57.147836 208 156 3444240459
seq 14:42:57.148293 52 0 3444240459
seq 14:42:57.148485 1500 1448 3444240459
seq 14:42:57.148492 1500 1448 3444241907
seq 14:42:57.148494 1500 1448 3444243355
seq 14:42:57.148495 1500 1448 3444244803
seq 14:42:57.148498 1500 1448 3444246251
seq 14:42:57.148498 1500 1448 3444247699
seq 14:42:57.148501 1500 1448 3444249147
seq 14:42:57.148502 1500 1448 3444250595
seq 14:42:57.148530 1500 1448 3444252043
seq 14:42:57.148531 1500 1448 3444253491
ack 14:42:57.278507 52 0 3444241907
seq 14:42:57.278987 1500 1448 3444254939
seq 14:42:57.279006 1500 1448 3444256387
ack 14:42:57.280646 52 0 3444243355
seq 14:42:57.281092 1500 1448 3444257835
seq 14:42:57.281101 1500 1448 3444259283
ack 14:42:57.281783 52 0 3444244803
seq 14:42:57.282227 1500 1448 3444260731
seq 14:42:57.282236 1500 1448 3444262179
ack 14:42:57.282897 52 0 3444246251
seq 14:42:57.283302 1500 1448 3444263627
seq 14:42:57.283308 1500 1448 3444265075
ack 14:42:57.283987 52 0 3444247699
seq 14:42:57.284408 1500 1448 3444266523
seq 14:42:57.284414 1500 1448 3444267971
ack 14:42:57.286089 52 0 3444249147
ack 14:42:57.286105 52 0 3444250595
seq 14:42:57.286470 1500 1448 3444269419
seq 14:42:57.286476 1500 1448 3444270867
seq 14:42:57.286477 1500 1448 3444272315
seq 14:42:57.286506 1500 1448 3444273763
ack 14:42:57.287193 52 0 3444252043
seq 14:42:57.287588 1500 1448 3444275211
seq 14:42:57.287594 1500 1448 3444276659
ack 14:42:57.289342 52 0 3444253491
seq 14:42:57.289762 1500 1448 3444278107
seq 14:42:57.289767 1500 1448 3444279555
ack 14:42:57.290432 52 0 3444254939
seq 14:42:57.290831 1500 1448 3444281003
seq 14:42:57.290836 1500 1448 3444282451
ack 14:42:57.409910 52 0 3444256387
seq 14:42:57.410346 1500 1448 3444283899
seq 14:42:57.410368 1500 1448 3444285347
ack 14:42:57.411031 52 0 3444257835
ack 14:42:57.411044 52 0 3444259283
seq 14:42:57.411423 1500 1448 3444286795
seq 14:42:57.411426 1500 1448 3444288243
seq 14:42:57.411476 1500 1448 3444289691
seq 14:42:57.411478 1500 1448 3444291139
ack 14:42:57.413140 52 0 3444260731
seq 14:42:57.413557 1500 1448 3444292587
seq 14:42:57.413560 1500 1448 3444294035
ack 14:42:57.414241 52 0 3444262179
seq 14:42:57.414651 1500 1448 3444295483
seq 14:42:57.414654 1500 1448 3444296931
ack 14:42:57.415344 52 0 3444263627
seq 14:42:57.415756 1500 1448 3444298379
seq 14:42:57.415789 1500 1448 3444299827
ack 14:42:57.417446 52 0 3444265075
seq 14:42:57.417922 1500 1448 3444301275
seq 14:42:57.417924 1500 1448 3444302723
ack 14:42:57.418546 52 0 3444266523
seq 14:42:57.418931 1500 1448 3444304171
seq 14:42:57.418959 1500 1448 3444305619
ack 14:42:57.419660 52 0 3444267971
seq 14:42:57.420056 1500 1448 3444307067
seq 14:42:57.420058 1500 1448 3444308515
ack 14:42:57.420758 52 0 3444269419
seq 14:42:57.421134 1500 1448 3444309963
seq 14:42:57.421136 1500 1448 3444311411
ack 14:42:57.422849 52 0 3444270867
seq 14:42:57.423229 1500 1448 3444312859
seq 14:42:57.423231 1500 1448 3444314307
ack 14:42:57.423939 52 0 3444272315
seq 14:42:57.424317 1500 1448 3444315755
seq 14:42:57.424320 1500 1448 3444317203
ack 14:42:57.425003 52 0 3444273763
seq 14:42:57.425395 1500 1448 3444318651
seq 14:42:57.425398 1500 1448 3444320099
ack 14:42:57.426098 52 0 3444275211
seq 14:42:57.426491 1500 1448 3444321547
seq 14:42:57.426510 1500 1448 3444322995
ack 14:42:57.427187 52 0 3444276659
seq 14:42:57.427548 1500 1448 3444324443
seq 14:42:57.427551 1500 1448 3444325891
ack 14:42:57.428276 52 0 3444278107
seq 14:42:57.428718 1500 1448 3444327339
seq 14:42:57.428759 1500 1448 3444328787
ack 14:42:57.429375 52 0 3444279555
seq 14:42:57.429771 1500 1448 3444330235
seq 14:42:57.429774 1500 1448 3444331683
ack 14:42:57.431471 52 0 3444281003
seq 14:42:57.431905 1500 1448 3444333131
seq 14:42:57.431908 1500 1448 3444334579
ack 14:42:57.432572 52 0 3444282451
seq 14:42:57.432963 1500 1448 3444336027
seq 14:42:57.432966 1500 1448 3444337475
ack 14:42:57.433666 52 0 3444283899
seq 14:42:57.434082 1500 1448 3444338923
seq 14:42:57.434084 1500 1448 3444340371
ack 14:42:57.539591 52 0 3444285347
seq 14:42:57.540064 1500 1448 3444341819
seq 14:42:57.540067 1500 1448 3444343267
ack 14:42:57.540685 52 0 3444286795
seq 14:42:57.541138 1500 1448 3444344715
seq 14:42:57.541140 1500 1448 3444346163
ack 14:42:57.542759 52 0 3444288243
seq 14:42:57.543153 1500 1448 3444347611
seq 14:42:57.543155 1500 1448 3444349059
ack 14:42:57.543838 52 0 3444289691
seq 14:42:57.544260 1500 1448 3444350507
seq 14:42:57.544263 1500 1448 3444351955
ack 14:42:57.544912 52 0 3444291139
seq 14:42:57.545319 1500 1448 3444353403
seq 14:42:57.545321 1500 1448 3444354851
ack 14:42:57.546985 52 0 3444292587
seq 14:42:57.547391 1500 1448 3444356299
ack 14:42:57.548055 52 0 3444294035
ack 14:42:57.548059 52 0 3444295483
seq 14:42:57.548451 1500 1448 3444357747
ack 14:42:57.550126 52 0 3444296931
seq 14:42:57.550517 1500 1448 3444359195
seq 14:42:57.550519 1500 1448 3444360643
ack 14:42:57.551202 52 0 3444298379
seq 14:42:57.551582 1500 1448 3444362091
ack 14:42:57.552276 52 0 3444299827
seq 14:42:57.552649 1500 1448 3444363539
ack 14:42:57.554360 52 0 3444301275
seq 14:42:57.554751 1500 1448 3444364987
ack 14:42:57.555437 52 0 3444302723
seq 14:42:57.555832 1500 1448 3444366435
ack 14:42:57.556511 52 0 3444304171
seq 14:42:57.556901 1500 1448 3444367883
ack 14:42:57.557583 52 0 3444305619
seq 14:42:57.557981 1500 1448 3444369331
ack 14:42:57.559654 52 0 3444307067
seq 14:42:57.560040 1500 1448 3444370779
ack 14:42:57.560729 52 0 3444308515
seq 14:42:57.561115 1500 1448 3444372227
ack 14:42:57.561799 52 0 3444309963
seq 14:42:57.562163 1500 1448 3444373675
ack 14:42:57.563873 52 0 3444311411
seq 14:42:57.564269 1500 1448 3444375123
ack 14:42:57.564945 52 0 3444312859
seq 14:42:57.565341 1500 1448 3444376571
ack 14:42:57.566019 52 0 3444314307
seq 14:42:57.566424 1500 1448 3444378019
ack 14:42:57.567092 52 0 3444315755
seq 14:42:57.567470 1500 1448 3444379467
ack 14:42:57.568164 52 0 3444317203
seq 14:42:57.568538 1500 1448 3444380915
ack 14:42:57.569234 52 0 3444318651
seq 14:42:57.569669 1500 1448 3444382363
ack 14:42:57.570305 52 0 3444320099
seq 14:42:57.570669 1500 1448 3444383811
seq 14:42:57.570700 1500 1448 3444385259
ack 14:42:57.572384 52 0 3444321547
seq 14:42:57.572794 1500 1448 3444386707
ack 14:42:57.573458 52 0 3444322995
seq 14:42:57.573850 1500 1448 3444388155
ack 14:42:57.574530 52 0 3444324443
seq 14:42:57.574953 1500 1448 3444389603
ack 14:42:57.576605 52 0 3444325891
seq 14:42:57.576956 1500 1448 3444391051
ack 14:42:57.577679 52 0 3444327339
seq 14:42:57.578088 1500 1448 3444392499
ack 14:42:57.578751 52 0 3444328787
seq 14:42:57.579112 1500 1448 3444393947
ack 14:42:57.580822 52 0 3444330235
seq 14:42:57.581212 1500 1448 3444395395
ack 14:42:57.581894 52 0 3444331683
seq 14:42:57.582305 1500 1448 3444396843
ack 14:42:57.582966 52 0 3444333131
seq 14:42:57.583334 1500 1448 3444398291
ack 14:42:57.584039 52 0 3444334579
seq 14:42:57.584423 1500 1448 3444399739
ack 14:42:57.585111 52 0 3444336027
seq 14:42:57.585528 1500 1448 3444401187
ack 14:42:57.586181 52 0 3444337475
seq 14:42:57.586593 1500 1448 3444402635
ack 14:42:57.587251 52 0 3444338923
seq 14:42:57.587668 1500 1448 3444404083
ack 14:42:57.589324 52 0 3444340371
seq 14:42:57.589719 1500 1448 3444405531
ack 14:42:57.590395 52 0 3444341819
seq 14:42:57.590748 1500 1448 3444406979
ack 14:42:57.670177 52 0 3444343267
seq 14:42:57.670659 1500 1448 3444408427
ack 14:42:57.671285 52 0 3444344715
seq 14:42:57.671654 1500 1448 3444409875
ack 14:42:57.672385 52 0 3444346163
seq 14:42:57.672784 1500 1448 3444411323
ack 14:42:57.674474 52 0 3444347611
seq 14:42:57.674935 1500 1448 3444412771
ack 14:42:57.675571 52 0 3444349059
seq 14:42:57.676025 1500 1448 3444414219
seq 14:42:57.676027 1500 1448 3444415667
ack 14:42:57.676665 52 0 3444350507
seq 14:42:57.677088 1500 1448 3444417115
ack 14:42:57.678760 52 0 3444351955
seq 14:42:57.679169 1500 1448 3444418563
ack 14:42:57.679866 52 0 3444353403
seq 14:42:57.680240 1500 1448 3444420011
ack 14:42:57.680977 52 0 3444354851
seq 14:42:57.681368 1500 1448 3444421459
ack 14:42:57.683076 52 0 3444356299
ack 14:42:57.683092 52 0 3444357747
seq 14:42:57.683500 1500 1448 3444422907
ack 14:42:57.684185 52 0 3444359195
seq 14:42:57.684595 1500 1448 3444424355
seq 14:42:57.684598 1500 1448 3444425803
ack 14:42:57.686278 52 0 3444360643
seq 14:42:57.686656 1500 1448 3444427251
ack 14:42:57.687372 52 0 3444362091
seq 14:42:57.687807 1500 1448 3444428699
ack 14:42:57.688464 52 0 3444363539
seq 14:42:57.688863 1500 1448 3444430147
ack 14:42:57.690555 52 0 3444364987
seq 14:42:57.690941 1500 1448 3444431595
ack 14:42:57.691665 52 0 3444366435
seq 14:42:57.692067 1500 1448 3444433043
ack 14:42:57.692756 52 0 3444367883
seq 14:42:57.693179 1500 1448 3444434491
ack 14:42:57.693843 52 0 3444369331
seq 14:42:57.694229 1500 1448 3444435939
ack 14:42:57.695936 52 0 3444370779
seq 14:42:57.696290 1500 1448 3444437387
ack 14:42:57.696994 52 0 3444372227
ack 14:42:57.697008 52 0 3444373675
seq 14:42:57.697414 1500 1448 3444438835
ack 14:42:57.699096 52 0 3444375123
seq 14:42:57.699522 1500 1448 3444440283
seq 14:42:57.699525 1500 1448 3444441731
ack 14:42:57.700182 52 0 3444376571
seq 14:42:57.700534 1500 1448 3444443179
ack 14:42:57.701266 52 0 3444378019
seq 14:42:57.701669 1500 1448 3444444627
seq 14:42:57.701672 1500 1448 3444446075
ack 14:42:57.703354 52 0 3444379467
seq 14:42:57.703774 1500 1448 3444447523
ack 14:42:57.704447 52 0 3444380915
seq 14:42:57.704866 1500 1448 3444448971
ack 14:42:57.705540 52 0 3444382363
seq 14:42:57.705950 1500 1448 3444450419
ack 14:42:57.707671 52 0 3444383811
seq 14:42:57.708050 1500 1448 3444451867
ack 14:42:57.708770 52 0 3444385259
seq 14:42:57.709170 1500 1448 3444453315
ack 14:42:57.709859 52 0 3444386707
seq 14:42:57.710209 1500 1448 3444454763
ack 14:42:57.710953 52 0 3444388155
seq 14:42:57.711335 1500 1448 3444456211
ack 14:42:57.713047 52 0 3444389603
ack 14:42:57.713058 52 0 3444391051
seq 14:42:57.713456 1500 1448 3444457659
ack 14:42:57.714139 52 0 3444392499
seq 14:42:57.714570 1500 1448 3444459107
seq 14:42:57.714575 1500 1448 3444460555
ack 14:42:57.716224 52 0 3444393947
seq 14:42:57.716660 1500 1448 3444462003
ack 14:42:57.717313 52 0 3444395395
seq 14:42:57.717786 1500 1448 3444463451
ack 14:42:57.718401 52 0 3444396843
seq 14:42:57.718813 1500 1448 3444464899
ack 14:42:57.720496 52 0 3444398291
seq 14:42:57.720915 1500 1448 3444466347
ack 14:42:57.721587 52 0 3444399739
seq 14:42:57.721996 1500 1448 3444467795
ack 14:42:57.722676 52 0 3444401187
seq 14:42:57.723077 1500 1448 3444469243
ack 14:42:57.724773 52 0 3444402635
seq 14:42:57.725136 1500 1448 3444470691
ack 14:42:57.725866 52 0 3444404083
seq 14:42:57.726282 1500 1448 3444472139
ack 14:42:57.726963 52 0 3444405531
seq 14:42:57.727342 1500 1448 3444473587
ack 14:42:57.729064 52 0 3444406979
ack 14:42:57.729077 52 0 3444408427
seq 14:42:57.729454 1500 1448 3444475035
seq 14:42:57.729457 1500 1448 3444476483
seq 14:42:57.729532 1500 1448 3444477931
ack 14:42:57.800661 52 0 3444409875
seq 14:42:57.801108 1500 1448 3444479379
ack 14:42:57.801759 52 0 3444411323
seq 14:42:57.802177 1500 1448 3444480827
ack 14:42:57.802856 52 0 3444412771
seq 14:42:57.803252 1500 1448 3444482275
ack 14:42:57.804978 52 0 3444414219
seq 14:42:57.805368 1500 1448 3444483723
ack 14:42:57.806087 52 0 3444415667
seq 14:42:57.806532 1500 1448 3444485171
ack 14:42:57.807190 52 0 3444417115
seq 14:42:57.807558 1500 1448 3444486619
ack 14:42:57.808280 52 0 3444418563
seq 14:42:57.808709 1500 1448 3444488067
ack 14:42:57.810378 52 0 3444420011
seq 14:42:57.810817 1500 1448 3444489515
ack 14:42:57.811469 52 0 3444421459
seq 14:42:57.811878 1500 1448 3444490963
ack 14:42:57.812559 52 0 3444422907
seq 14:42:57.812971 1500 1448 3444492411
