Type Time Length DataLength Raw_Seq/Ack
ack 10:43:55.123292 60 0 0
seq 10:43:55.123910 60 0 1340180375
ack 10:43:55.253851 52 0 1340180376
ack 10:43:55.253882 208 156 1340180376
seq 10:43:55.254419 52 0 1340180376
seq 10:43:55.254493 1500 1448 1340180376
seq 10:43:55.254495 1500 1448 1340181824
seq 10:43:55.254497 1500 1448 1340183272
seq 10:43:55.254550 1500 1448 1340184720
seq 10:43:55.254553 1500 1448 1340186168
seq 10:43:55.254554 1500 1448 1340187616
seq 10:43:55.254556 1500 1448 1340189064
seq 10:43:55.254564 1500 1448 1340190512
seq 10:43:55.254567 1500 1448 1340191960
seq 10:43:55.254569 1500 1448 1340193408
ack 10:43:55.385214 52 0 1340181824
ack 10:43:55.386335 52 0 1340183272
seq 10:43:55.386712 1500 1448 1340194856
seq 10:43:55.386717 1500 1448 1340196304
seq 10:43:55.386721 1500 1448 1340197752
seq 10:43:55.386730 1500 1448 1340199200
ack 10:43:55.388435 52 0 1340184720
seq 10:43:55.388822 1500 1448 1340200648
seq 10:43:55.388825 1500 1448 1340202096
ack 10:43:55.389518 52 0 1340186168
seq 10:43:55.389865 1500 1448 1340203544
seq 10:43:55.389867 1500 1448 1340204992
ack 10:43:55.390597 52 0 1340187616
seq 10:43:55.390973 1500 1448 1340206440
seq 10:43:55.390976 1500 1448 1340207888
ack 10:43:55.391677 52 0 1340189064
seq 10:43:55.392054 1500 1448 1340209336
seq 10:43:55.392070 1500 1448 1340210784
ack 10:43:55.393773 52 0 1340190512
seq 10:43:55.394205 1500 1448 1340212232
seq 10:43:55.394209 1500 1448 1340213680
ack 10:43:55.394865 52 0 1340191960
seq 10:43:55.395268 1500 1448 1340215128
seq 10:43:55.395272 1500 1448 1340216576
ack 10:43:55.395945 52 0 1340193408
seq 10:43:55.396437 1500 1448 1340218024
seq 10:43:55.396441 1500 1448 1340219472
ack 10:43:55.398032 52 0 1340194856
seq 10:43:55.398436 1500 1448 1340220920
seq 10:43:55.398440 1500 1448 1340222368
ack 10:43:55.516533 52 0 1340196304
seq 10:43:55.516974 1500 1448 1340223816
seq 10:43:55.516981 1500 1448 1340225264
ack 10:43:55.517655 52 0 1340197752
seq 10:43:55.518127 1500 1448 1340226712
seq 10:43:55.518134 1500 1448 1340228160
ack 10:43:55.518772 52 0 1340199200
seq 10:43:55.519163 1500 1448 1340229608
seq 10:43:55.519169 1500 1448 1340231056
ack 10:43:55.519869 52 0 1340200648
