Type Time Length DataLength Raw_Seq/Ack
ack 12:02:13.125974 60 0 0
seq 12:02:13.126503 60 0 275316523
ack 12:02:13.256522 52 0 275316524
ack 12:02:13.256562 208 156 275316524
seq 12:02:13.257031 52 0 275316524
seq 12:02:13.257201 1500 1448 275316524
seq 12:02:13.257209 1500 1448 275317972
seq 12:02:13.257213 1500 1448 275319420
seq 12:02:13.257214 1500 1448 275320868
seq 12:02:13.257216 1500 1448 275322316
seq 12:02:13.257217 1500 1448 275323764
seq 12:02:13.257219 1500 1448 275325212
seq 12:02:13.257220 1500 1448 275326660
seq 12:02:13.257248 1500 1448 275328108
seq 12:02:13.257248 1500 1448 275329556
ack 12:02:13.389088 52 0 275317972
ack 12:02:13.389128 52 0 275319420
seq 12:02:13.389632 1500 1448 275331004
seq 12:02:13.389644 1500 1448 275332452
seq 12:02:13.389807 1500 1448 275333900
seq 12:02:13.389815 1500 1448 275335348
ack 12:02:13.390241 52 0 275320868
seq 12:02:13.390622 1500 1448 275336796
seq 12:02:13.390629 1500 1448 275338244
ack 12:02:13.392380 52 0 275322316
seq 12:02:13.392788 1500 1448 275339692
seq 12:02:13.392804 1500 1448 275341140
ack 12:02:13.393535 52 0 275323764
seq 12:02:13.393958 1500 1448 275342588
seq 12:02:13.393969 1500 1448 275344036
ack 12:02:13.394643 52 0 275325212
seq 12:02:13.395020 1500 1448 275345484
seq 12:02:13.395034 1500 1448 275346932
ack 12:02:13.396747 52 0 275326660
seq 12:02:13.397163 1500 1448 275348380
seq 12:02:13.397174 1500 1448 275349828
ack 12:02:13.397859 52 0 275328108
seq 12:02:13.398264 1500 1448 275351276
seq 12:02:13.398275 1500 1448 275352724
ack 12:02:13.398964 52 0 275329556
seq 12:02:13.399320 1500 1448 275354172
seq 12:02:13.399327 1500 1448 275355620
ack 12:02:13.400057 52 0 275331004
seq 12:02:13.400392 1500 1448 275357068
seq 12:02:13.400399 1500 1448 275358516
ack 12:02:13.541782 52 0 275332452
seq 12:02:13.542315 1500 1448 275359964
seq 12:02:13.542329 1500 1448 275361412
ack 12:02:13.543908 52 0 275333900
seq 12:02:13.544327 1500 1448 275362860
seq 12:02:13.544345 1500 1448 275364308
ack 12:02:13.545002 52 0 275335348
ack 12:02:13.545015 52 0 275336796
seq 12:02:13.545415 1500 1448 275365756
seq 12:02:13.545424 1500 1448 275367204
seq 12:02:13.545430 1500 1448 275368652
seq 12:02:13.545431 1500 1448 275370100
ack 12:02:13.547099 52 0 275338244
seq 12:02:13.547582 1500 1448 275371548
