Type Time Length DataLength Raw_Seq/Ack
ack 09:27:47.891886 60 0 0
seq 09:27:47.892414 60 0 4213618361
ack 09:27:48.022194 52 0 4213618362
ack 09:27:48.022224 208 156 4213618362
seq 09:27:48.022672 52 0 4213618362
seq 09:27:48.022770 1500 1448 4213618362
seq 09:27:48.022772 1500 1448 4213619810
seq 09:27:48.022816 1500 1448 4213621258
seq 09:27:48.022818 1500 1448 4213622706
seq 09:27:48.022821 1500 1448 4213624154
seq 09:27:48.022822 1500 1448 4213625602
seq 09:27:48.022838 1500 1448 4213627050
seq 09:27:48.022838 1500 1448 4213628498
seq 09:27:48.022841 1500 1448 4213629946
seq 09:27:48.022847 1500 1448 4213631394
ack 09:27:48.153727 52 0 4213619810
seq 09:27:48.155350 1500 1448 4213632842
seq 09:27:48.155354 1500 1448 4213634290
ack 09:27:48.155831 52 0 4213621258
seq 09:27:48.156441 1500 1448 4213635738
seq 09:27:48.156444 1500 1448 4213637186
ack 09:27:48.156909 52 0 4213622706
seq 09:27:48.157305 1500 1448 4213638634
seq 09:27:48.157307 1500 1448 4213640082
ack 09:27:48.157984 52 0 4213624154
seq 09:27:48.158373 1500 1448 4213641530
seq 09:27:48.158376 1500 1448 4213642978
ack 09:27:48.160063 52 0 4213625602
ack 09:27:48.160073 52 0 4213627050
seq 09:27:48.160466 1500 1448 4213644426
seq 09:27:48.160468 1500 1448 4213645874
seq 09:27:48.160471 1500 1448 4213647322
seq 09:27:48.160472 1500 1448 4213648770
ack 09:27:48.161158 52 0 4213628498
seq 09:27:48.161589 1500 1448 4213650218
seq 09:27:48.161592 1500 1448 4213651666
ack 09:27:48.163246 52 0 4213629946
seq 09:27:48.163635 1500 1448 4213653114
seq 09:27:48.163637 1500 1448 4213654562
ack 09:27:48.164330 52 0 4213631394
seq 09:27:48.164725 1500 1448 4213656010
seq 09:27:48.164777 1500 1448 4213657458
ack 09:27:48.165408 52 0 4213632842
seq 09:27:48.165771 1500 1448 4213658906
seq 09:27:48.165786 1500 1448 4213660354
ack 09:27:48.285223 52 0 4213634290
seq 09:27:48.285610 1500 1448 4213661802
seq 09:27:48.285623 1500 1448 4213663250
ack 09:27:48.286331 52 0 4213635738
seq 09:27:48.286704 1500 1448 4213664698
seq 09:27:48.286719 1500 1448 4213666146
ack 09:27:48.287427 52 0 4213637186
seq 09:27:48.287800 1500 1448 4213667594
seq 09:27:48.287837 1500 1448 4213669042
ack 09:27:48.289527 52 0 4213638634
seq 09:27:48.289963 1500 1448 4213670490
seq 09:27:48.289969 1500 1448 4213671938
ack 09:27:48.290628 52 0 4213640082
seq 09:27:48.291003 1500 1448 4213673386
seq 09:27:48.291008 1500 1448 4213674834
ack 09:27:48.291718 52 0 4213641530
seq 09:27:48.292150 1500 1448 4213676282
seq 09:27:48.292154 1500 1448 4213677730
ack 09:27:48.293839 52 0 4213642978
seq 09:27:48.294225 1500 1448 4213679178
seq 09:27:48.294263 1500 1448 4213680626
ack 09:27:48.294939 52 0 4213644426
seq 09:27:48.295304 1500 1448 4213682074
seq 09:27:48.295309 1500 1448 4213683522
ack 09:27:48.296059 52 0 4213645874
seq 09:27:48.296469 1500 1448 4213684970
seq 09:27:48.296488 1500 1448 4213686418
ack 09:27:48.297166 52 0 4213647322
seq 09:27:48.297591 1500 1448 4213687866
seq 09:27:48.297596 1500 1448 4213689314
ack 09:27:48.298269 52 0 4213648770
seq 09:27:48.298636 1500 1448 4213690762
seq 09:27:48.298640 1500 1448 4213692210
ack 09:27:48.299367 52 0 4213650218
seq 09:27:48.299755 1500 1448 4213693658
seq 09:27:48.299760 1500 1448 4213695106
ack 09:27:48.300471 52 0 4213651666
seq 09:27:48.300853 1500 1448 4213696554
seq 09:27:48.300857 1500 1448 4213698002
ack 09:27:48.302576 52 0 4213653114
seq 09:27:48.302970 1500 1448 4213699450
seq 09:27:48.302983 1500 1448 4213700898
ack 09:27:48.303670 52 0 4213654562
seq 09:27:48.304054 1500 1448 4213702346
seq 09:27:48.304059 1500 1448 4213703794
ack 09:27:48.304762 52 0 4213656010
seq 09:27:48.305184 1500 1448 4213705242
seq 09:27:48.305188 1500 1448 4213706690
ack 09:27:48.306860 52 0 4213657458
seq 09:27:48.307203 1500 1448 4213708138
seq 09:27:48.307206 1500 1448 4213709586
ack 09:27:48.307941 52 0 4213658906
seq 09:27:48.308373 1500 1448 4213711034
seq 09:27:48.308376 1500 1448 4213712482
ack 09:27:48.309019 52 0 4213660354
seq 09:27:48.309399 1500 1448 4213713930
seq 09:27:48.309402 1500 1448 4213715378
ack 09:27:48.310116 52 0 4213661802
seq 09:27:48.310505 1500 1448 4213716826
seq 09:27:48.310509 1500 1448 4213718274
ack 09:27:48.415152 52 0 4213663250
seq 09:27:48.415580 1500 1448 4213719722
seq 09:27:48.415606 1500 1448 4213721170
ack 09:27:48.416284 52 0 4213664698
seq 09:27:48.416745 1500 1448 4213722618
seq 09:27:48.416750 1500 1448 4213724066
ack 09:27:48.417375 52 0 4213666146
seq 09:27:48.417745 1500 1448 4213725514
seq 09:27:48.417751 1500 1448 4213726962
ack 09:27:48.419474 52 0 4213667594
seq 09:27:48.419882 1500 1448 4213728410
seq 09:27:48.419887 1500 1448 4213729858
ack 09:27:48.420575 52 0 4213669042
seq 09:27:48.420916 1500 1448 4213731306
seq 09:27:48.420922 1500 1448 4213732754
ack 09:27:48.421679 52 0 4213670490
seq 09:27:48.422076 1500 1448 4213734202
ack 09:27:48.422790 52 0 4213671938
seq 09:27:48.423200 1500 1448 4213735650
ack 09:27:48.424887 52 0 4213673386
seq 09:27:48.425268 1500 1448 4213737098
ack 09:27:48.425978 52 0 4213674834
seq 09:27:48.426405 1500 1448 4213738546
ack 09:27:48.427068 52 0 4213676282
seq 09:27:48.427431 1500 1448 4213739994
ack 09:27:48.428164 52 0 4213677730
seq 09:27:48.428550 1500 1448 4213741442
ack 09:27:48.429262 52 0 4213679178
seq 09:27:48.429629 1500 1448 4213742890
ack 09:27:48.430346 52 0 4213680626
seq 09:27:48.430740 1500 1448 4213744338
ack 09:27:48.432433 52 0 4213682074
seq 09:27:48.432774 1500 1448 4213745786
ack 09:27:48.433523 52 0 4213683522
seq 09:27:48.433922 1500 1448 4213747234
ack 09:27:48.434617 52 0 4213684970
seq 09:27:48.435019 1500 1448 4213748682
ack 09:27:48.435703 52 0 4213686418
seq 09:27:48.436094 1500 1448 4213750130
ack 09:27:48.437804 52 0 4213687866
seq 09:27:48.438238 1500 1448 4213751578
ack 09:27:48.438887 52 0 4213689314
seq 09:27:48.439317 1500 1448 4213753026
ack 09:27:48.439980 52 0 4213690762
seq 09:27:48.440378 1500 1448 4213754474
ack 09:27:48.442075 52 0 4213692210
ack 09:27:48.442088 52 0 4213693658
seq 09:27:48.442428 1500 1448 4213755922
ack 09:27:48.443178 52 0 4213695106
seq 09:27:48.443546 1500 1448 4213757370
seq 09:27:48.443550 1500 1448 4213758818
ack 09:27:48.445279 52 0 4213696554
seq 09:27:48.445693 1500 1448 4213760266
ack 09:27:48.446363 52 0 4213698002
seq 09:27:48.446734 1500 1448 4213761714
ack 09:27:48.447445 52 0 4213699450
seq 09:27:48.447822 1500 1448 4213763162
ack 09:27:48.449532 52 0 4213700898
seq 09:27:48.449924 1500 1448 4213764610
ack 09:27:48.450612 52 0 4213702346
seq 09:27:48.450959 1500 1448 4213766058
ack 09:27:48.451684 52 0 4213703794
seq 09:27:48.452062 1500 1448 4213767506
ack 09:27:48.452755 52 0 4213705242
seq 09:27:48.453104 1500 1448 4213768954
ack 09:27:48.454842 52 0 4213706690
seq 09:27:48.455256 1500 1448 4213770402
ack 09:27:48.455950 52 0 4213708138
seq 09:27:48.456343 1500 1448 4213771850
ack 09:27:48.457048 52 0 4213709586
seq 09:27:48.457506 1500 1448 4213773298
ack 09:27:48.458138 52 0 4213711034
seq 09:27:48.458534 1500 1448 4213774746
ack 09:27:48.459236 52 0 4213712482
seq 09:27:48.459620 1500 1448 4213776194
ack 09:27:48.460331 52 0 4213713930
seq 09:27:48.460716 1500 1448 4213777642
ack 09:27:48.462433 52 0 4213715378
