Type Time Length DataLength Raw_Seq/Ack
ack 10:45:59.820759 60 0 0
seq 10:45:59.821306 60 0 132439004
ack 10:45:59.951323 52 0 132439005
ack 10:45:59.951355 208 156 132439005
seq 10:45:59.951847 52 0 132439005
seq 10:45:59.951962 1500 1448 132439005
seq 10:45:59.951973 1500 1448 132440453
seq 10:45:59.952012 1500 1448 132441901
seq 10:45:59.952013 1500 1448 132443349
seq 10:45:59.952016 1500 1448 132444797
seq 10:45:59.952016 1500 1448 132446245
seq 10:45:59.952019 1500 1448 132447693
seq 10:45:59.952020 1500 1448 132449141
seq 10:45:59.952025 1500 1448 132450589
seq 10:45:59.952026 1500 1448 132452037
ack 10:46:00.081860 52 0 132440453
seq 10:46:00.082345 1500 1448 132453485
seq 10:46:00.082357 1500 1448 132454933
ack 10:46:00.083962 52 0 132441901
seq 10:46:00.084380 1500 1448 132456381
seq 10:46:00.084396 1500 1448 132457829
ack 10:46:00.085040 52 0 132443349
ack 10:46:00.085068 52 0 132444797
seq 10:46:00.085426 1500 1448 132459277
seq 10:46:00.085436 1500 1448 132460725
seq 10:46:00.085477 1500 1448 132462173
seq 10:46:00.085487 1500 1448 132463621
ack 10:46:00.087140 52 0 132446245
seq 10:46:00.087576 1500 1448 132465069
seq 10:46:00.087587 1500 1448 132466517
ack 10:46:00.088215 52 0 132447693
seq 10:46:00.088548 1500 1448 132467965
seq 10:46:00.088555 1500 1448 132469413
ack 10:46:00.089286 52 0 132449141
seq 10:46:00.089647 1500 1448 132470861
seq 10:46:00.089703 1500 1448 132472309
ack 10:46:00.091365 52 0 132450589
seq 10:46:00.091744 1500 1448 132473757
seq 10:46:00.091753 1500 1448 132475205
ack 10:46:00.092443 52 0 132452037
seq 10:46:00.092824 1500 1448 132476653
seq 10:46:00.092834 1500 1448 132478101
ack 10:46:00.093552 52 0 132453485
seq 10:46:00.094013 1500 1448 132479549
seq 10:46:00.094025 1500 1448 132480997
ack 10:46:00.211564 52 0 132454933
seq 10:46:00.212010 1500 1448 132482445
seq 10:46:00.212022 1500 1448 132483893
ack 10:46:00.212706 52 0 132456381
seq 10:46:00.214353 1500 1448 132485341
seq 10:46:00.214363 1500 1448 132486789
ack 10:46:00.214803 52 0 132457829
seq 10:46:00.215221 1500 1448 132488237
seq 10:46:00.215230 1500 1448 132489685
ack 10:46:00.215894 52 0 132459277
seq 10:46:00.216301 1500 1448 132491133
seq 10:46:00.216308 1500 1448 132492581
ack 10:46:00.216986 52 0 132460725
seq 10:46:00.217376 1500 1448 132494029
seq 10:46:00.217384 1500 1448 132495477
ack 10:46:00.219080 52 0 132462173
ack 10:46:00.219093 52 0 132463621
seq 10:46:00.219497 1500 1448 132496925
seq 10:46:00.219512 1500 1448 132498373
seq 10:46:00.219516 1500 1448 132499821
seq 10:46:00.219517 1500 1448 132501269
ack 10:46:00.220200 52 0 132465069
seq 10:46:00.220567 1500 1448 132502717
seq 10:46:00.220574 1500 1448 132504165
ack 10:46:00.222301 52 0 132466517
seq 10:46:00.222739 1500 1448 132505613
seq 10:46:00.222777 1500 1448 132507061
ack 10:46:00.223390 52 0 132467965
seq 10:46:00.223742 1500 1448 132508509
seq 10:46:00.223750 1500 1448 132509957
ack 10:46:00.224481 52 0 132469413
seq 10:46:00.224881 1500 1448 132511405
seq 10:46:00.224888 1500 1448 132512853
ack 10:46:00.226580 52 0 132470861
seq 10:46:00.226927 1500 1448 132514301
seq 10:46:00.226935 1500 1448 132515749
ack 10:46:00.227705 52 0 132472309
seq 10:46:00.228166 1500 1448 132517197
seq 10:46:00.228175 1500 1448 132518645
ack 10:46:00.228809 52 0 132473757
seq 10:46:00.229190 1500 1448 132520093
seq 10:46:00.229288 1500 1448 132521541
ack 10:46:00.229905 52 0 132475205
seq 10:46:00.230334 1500 1448 132522989
seq 10:46:00.230341 1500 1448 132524437
ack 10:46:00.232001 52 0 132476653
ack 10:46:00.232016 52 0 132478101
seq 10:46:00.232392 1500 1448 132525885
seq 10:46:00.232402 1500 1448 132527333
seq 10:46:00.232465 1500 1448 132528781
seq 10:46:00.232472 1500 1448 132530229
ack 10:46:00.233143 52 0 132479549
seq 10:46:00.233529 1500 1448 132531677
seq 10:46:00.233539 1500 1448 132533125
ack 10:46:00.235234 52 0 132480997
seq 10:46:00.235637 1500 1448 132534573
seq 10:46:00.235644 1500 1448 132536021
ack 10:46:00.236333 52 0 132482445
seq 10:46:00.236719 1500 1448 132537469
seq 10:46:00.236726 1500 1448 132538917
ack 10:46:00.342238 52 0 132483893
seq 10:46:00.342726 1500 1448 132540365
seq 10:46:00.342737 1500 1448 132541813
ack 10:46:00.343360 52 0 132485341
seq 10:46:00.343828 1500 1448 132543261
