Type Time Length DataLength Raw_Seq/Ack
ack 09:29:21.748643 60 0 0
seq 09:29:21.749201 60 0 901601011
ack 09:29:21.879102 52 0 901601012
ack 09:29:21.879132 208 156 901601012
seq 09:29:21.879596 52 0 901601012
seq 09:29:21.879782 1500 1448 901601012
seq 09:29:21.879785 1500 1448 901602460
seq 09:29:21.879787 1500 1448 901603908
seq 09:29:21.879788 1500 1448 901605356
seq 09:29:21.879813 1500 1448 901606804
seq 09:29:21.879813 1500 1448 901608252
seq 09:29:21.879821 1500 1448 901609700
seq 09:29:21.879822 1500 1448 901611148
seq 09:29:21.879827 1500 1448 901612596
seq 09:29:21.879828 1500 1448 901614044
ack 09:29:22.010547 52 0 901602460
seq 09:29:22.010995 1500 1448 901615492
seq 09:29:22.011014 1500 1448 901616940
ack 09:29:22.012661 52 0 901603908
seq 09:29:22.013114 1500 1448 901618388
seq 09:29:22.013119 1500 1448 901619836
ack 09:29:22.013754 52 0 901605356
seq 09:29:22.014149 1500 1448 901621284
seq 09:29:22.014154 1500 1448 901622732
ack 09:29:22.014856 52 0 901606804
seq 09:29:22.015239 1500 1448 901624180
seq 09:29:22.015266 1500 1448 901625628
ack 09:29:22.015946 52 0 901608252
seq 09:29:22.016396 1500 1448 901627076
seq 09:29:22.016401 1500 1448 901628524
ack 09:29:22.018051 52 0 901609700
ack 09:29:22.018066 52 0 901611148
seq 09:29:22.018491 1500 1448 901629972
seq 09:29:22.018494 1500 1448 901631420
seq 09:29:22.018497 1500 1448 901632868
seq 09:29:22.018498 1500 1448 901634316
ack 09:29:22.019143 52 0 901612596
seq 09:29:22.019515 1500 1448 901635764
seq 09:29:22.019519 1500 1448 901637212
ack 09:29:22.021236 52 0 901614044
seq 09:29:22.021617 1500 1448 901638660
seq 09:29:22.021621 1500 1448 901640108
ack 09:29:22.022329 52 0 901615492
seq 09:29:22.022787 1500 1448 901641556
seq 09:29:22.022792 1500 1448 901643004
ack 09:29:22.141870 52 0 901616940
seq 09:29:22.142358 1500 1448 901644452
seq 09:29:22.142374 1500 1448 901645900
ack 09:29:22.142971 52 0 901618388
seq 09:29:22.143404 1500 1448 901647348
seq 09:29:22.143409 1500 1448 901648796
ack 09:29:22.144052 52 0 901619836
seq 09:29:22.144464 1500 1448 901650244
seq 09:29:22.144467 1500 1448 901651692
ack 09:29:22.145139 52 0 901621284
seq 09:29:22.145517 1500 1448 901653140
seq 09:29:22.145521 1500 1448 901654588
ack 09:29:22.146223 52 0 901622732
seq 09:29:22.146600 1500 1448 901656036
seq 09:29:22.146606 1500 1448 901657484
ack 09:29:22.147314 52 0 901624180
seq 09:29:22.147728 1500 1448 901658932
seq 09:29:22.147735 1500 1448 901660380
ack 09:29:22.149426 52 0 901625628
seq 09:29:22.149864 1500 1448 901661828
seq 09:29:22.149869 1500 1448 901663276
ack 09:29:22.150519 52 0 901627076
seq 09:29:22.150905 1500 1448 901664724
seq 09:29:22.150910 1500 1448 901666172
ack 09:29:22.151599 52 0 901628524
seq 09:29:22.151995 1500 1448 901667620
seq 09:29:22.152003 1500 1448 901669068
ack 09:29:22.153684 52 0 901629972
seq 09:29:22.154092 1500 1448 901670516
seq 09:29:22.154099 1500 1448 901671964
ack 09:29:22.154770 52 0 901631420
seq 09:29:22.155169 1500 1448 901673412
seq 09:29:22.155185 1500 1448 901674860
ack 09:29:22.155856 52 0 901632868
seq 09:29:22.156252 1500 1448 901676308
seq 09:29:22.156276 1500 1448 901677756
ack 09:29:22.156940 52 0 901634316
seq 09:29:22.157339 1500 1448 901679204
seq 09:29:22.157346 1500 1448 901680652
ack 09:29:22.159038 52 0 901635764
ack 09:29:22.159051 52 0 901637212
seq 09:29:22.159454 1500 1448 901682100
seq 09:29:22.159464 1500 1448 901683548
seq 09:29:22.159471 1500 1448 901684996
seq 09:29:22.159473 1500 1448 901686444
ack 09:29:22.160134 52 0 901638660
seq 09:29:22.160522 1500 1448 901687892
seq 09:29:22.160537 1500 1448 901689340
ack 09:29:22.161224 52 0 901640108
seq 09:29:22.161630 1500 1448 901690788
seq 09:29:22.161637 1500 1448 901692236
ack 09:29:22.163311 52 0 901641556
seq 09:29:22.163693 1500 1448 901693684
seq 09:29:22.163699 1500 1448 901695132
ack 09:29:22.164403 52 0 901643004
seq 09:29:22.164775 1500 1448 901696580
seq 09:29:22.164781 1500 1448 901698028
ack 09:29:22.165490 52 0 901644452
seq 09:29:22.165902 1500 1448 901699476
seq 09:29:22.165911 1500 1448 901700924
ack 09:29:22.272615 52 0 901645900
seq 09:29:22.273152 1500 1448 901702372
seq 09:29:22.273165 1500 1448 901703820
ack 09:29:22.273712 52 0 901647348
seq 09:29:22.274295 1500 1448 901705268
seq 09:29:22.274305 1500 1448 901706716
ack 09:29:22.275786 52 0 901648796
seq 09:29:22.276219 1500 1448 901708164
seq 09:29:22.276227 1500 1448 901709612
ack 09:29:22.276860 52 0 901650244
seq 09:29:22.277287 1500 1448 901711060
seq 09:29:22.277301 1500 1448 901712508
ack 09:29:22.277930 52 0 901651692
seq 09:29:22.278304 1500 1448 901713956
seq 09:29:22.278338 1500 1448 901715404
ack 09:29:22.280001 52 0 901653140
ack 09:29:22.280005 52 0 901654588
seq 09:29:22.280422 1500 1448 901716852
ack 09:29:22.281074 52 0 901656036
seq 09:29:22.281450 1500 1448 901718300
seq 09:29:22.281479 1500 1448 901719748
ack 09:29:22.282143 52 0 901657484
seq 09:29:22.282576 1500 1448 901721196
