Type Time Length DataLength Raw_Seq/Ack
ack 15:57:07.230093 60 0 0
seq 15:57:07.230671 60 0 2188203170
ack 15:57:07.360538 52 0 2188203171
ack 15:57:07.360567 208 156 2188203171
seq 15:57:07.360986 52 0 2188203171
seq 15:57:07.361165 1500 1448 2188203171
seq 15:57:07.361171 1500 1448 2188204619
seq 15:57:07.361173 1500 1448 2188206067
seq 15:57:07.361187 1500 1448 2188207515
seq 15:57:07.361233 1500 1448 2188208963
seq 15:57:07.361238 1500 1448 2188210411
seq 15:57:07.361241 1500 1448 2188211859
seq 15:57:07.361242 1500 1448 2188213307
seq 15:57:07.361244 1500 1448 2188214755
seq 15:57:07.361278 1500 1448 2188216203
ack 15:57:07.492807 52 0 2188204619
seq 15:57:07.493260 1500 1448 2188217651
seq 15:57:07.493273 1500 1448 2188219099
ack 15:57:07.493913 52 0 2188206067
seq 15:57:07.494318 1500 1448 2188220547
seq 15:57:07.494323 1500 1448 2188221995
ack 15:57:07.495005 52 0 2188207515
ack 15:57:07.495015 52 0 2188208963
seq 15:57:07.495393 1500 1448 2188223443
seq 15:57:07.495398 1500 1448 2188224891
seq 15:57:07.495441 1500 1448 2188226339
seq 15:57:07.495448 1500 1448 2188227787
ack 15:57:07.497107 52 0 2188210411
seq 15:57:07.497522 1500 1448 2188229235
seq 15:57:07.497545 1500 1448 2188230683
ack 15:57:07.498205 52 0 2188211859
seq 15:57:07.498600 1500 1448 2188232131
seq 15:57:07.498605 1500 1448 2188233579
ack 15:57:07.499298 52 0 2188213307
seq 15:57:07.499718 1500 1448 2188235027
seq 15:57:07.499722 1500 1448 2188236475
ack 15:57:07.501390 52 0 2188214755
seq 15:57:07.501769 1500 1448 2188237923
seq 15:57:07.501774 1500 1448 2188239371
ack 15:57:07.502474 52 0 2188216203
seq 15:57:07.502892 1500 1448 2188240819
seq 15:57:07.502897 1500 1448 2188242267
ack 15:57:07.503555 52 0 2188217651
seq 15:57:07.503948 1500 1448 2188243715
seq 15:57:07.503953 1500 1448 2188245163
ack 15:57:07.623932 52 0 2188219099
seq 15:57:07.624418 1500 1448 2188246611
seq 15:57:07.624426 1500 1448 2188248059
ack 15:57:07.625057 52 0 2188220547
seq 15:57:07.625463 1500 1448 2188249507
seq 15:57:07.625491 1500 1448 2188250955
ack 15:57:07.626170 52 0 2188221995
seq 15:57:07.626572 1500 1448 2188252403
seq 15:57:07.626575 1500 1448 2188253851
ack 15:57:07.627264 52 0 2188223443
seq 15:57:07.627663 1500 1448 2188255299
seq 15:57:07.627665 1500 1448 2188256747
ack 15:57:07.628355 52 0 2188224891
seq 15:57:07.628769 1500 1448 2188258195
seq 15:57:07.628771 1500 1448 2188259643
ack 15:57:07.629441 52 0 2188226339
seq 15:57:07.629791 1500 1448 2188261091
seq 15:57:07.629821 1500 1448 2188262539
ack 15:57:07.631531 52 0 2188227787
seq 15:57:07.631946 1500 1448 2188263987
seq 15:57:07.631949 1500 1448 2188265435
ack 15:57:07.632653 52 0 2188229235
seq 15:57:07.633032 1500 1448 2188266883
seq 15:57:07.633034 1500 1448 2188268331
ack 15:57:07.633744 52 0 2188230683
seq 15:57:07.634137 1500 1448 2188269779
seq 15:57:07.634168 1500 1448 2188271227
ack 15:57:07.634832 52 0 2188232131
seq 15:57:07.635235 1500 1448 2188272675
seq 15:57:07.635237 1500 1448 2188274123
ack 15:57:07.636921 52 0 2188233579
seq 15:57:07.637278 1500 1448 2188275571
seq 15:57:07.637312 1500 1448 2188277019
ack 15:57:07.638009 52 0 2188235027
ack 15:57:07.638020 52 0 2188236475
seq 15:57:07.638447 1500 1448 2188278467
seq 15:57:07.638449 1500 1448 2188279915
seq 15:57:07.638451 1500 1448 2188281363
seq 15:57:07.638468 1500 1448 2188282811
ack 15:57:07.640099 52 0 2188237923
seq 15:57:07.640524 1500 1448 2188284259
seq 15:57:07.640526 1500 1448 2188285707
ack 15:57:07.641189 52 0 2188239371
seq 15:57:07.641622 1500 1448 2188287155
seq 15:57:07.641624 1500 1448 2188288603
ack 15:57:07.642275 52 0 2188240819
seq 15:57:07.642797 1500 1448 2188290051
seq 15:57:07.642800 1500 1448 2188291499
ack 15:57:07.643373 52 0 2188242267
seq 15:57:07.643734 1500 1448 2188292947
seq 15:57:07.643736 1500 1448 2188294395
ack 15:57:07.645470 52 0 2188243715
seq 15:57:07.645859 1500 1448 2188295843
seq 15:57:07.645897 1500 1448 2188297291
ack 15:57:07.646580 52 0 2188245163
seq 15:57:07.646987 1500 1448 2188298739
seq 15:57:07.646990 1500 1448 2188300187
ack 15:57:07.647668 52 0 2188246611
seq 15:57:07.648048 1500 1448 2188301635
seq 15:57:07.670344 1500 1448 2188303083
ack 15:57:07.753563 52 0 2188248059
seq 15:57:07.754019 1500 1448 2188304531
seq 15:57:07.754039 1500 1448 2188305979
ack 15:57:07.755654 52 0 2188249507
seq 15:57:07.756101 1500 1448 2188307427
seq 15:57:07.756103 1500 1448 2188308875
ack 15:57:07.756725 52 0 2188250955
seq 15:57:07.757133 1500 1448 2188310323
seq 15:57:07.757135 1500 1448 2188311771
ack 15:57:07.757794 52 0 2188252403
seq 15:57:07.758177 1500 1448 2188313219
seq 15:57:07.758179 1500 1448 2188314667
ack 15:57:07.759864 52 0 2188253851
seq 15:57:07.760252 1500 1448 2188316115
seq 15:57:07.760254 1500 1448 2188317563
ack 15:57:07.760931 52 0 2188255299
seq 15:57:07.761318 1500 1448 2188319011
ack 15:57:07.762007 52 0 2188256747
ack 15:57:07.762012 52 0 2188258195
seq 15:57:07.762379 1500 1448 2188320459
ack 15:57:07.764080 52 0 2188259643
seq 15:57:07.764472 1500 1448 2188321907
seq 15:57:07.764474 1500 1448 2188323355
ack 15:57:07.765148 52 0 2188261091
seq 15:57:07.765487 1500 1448 2188324803
ack 15:57:07.766215 52 0 2188262539
seq 15:57:07.766609 1500 1448 2188326251
ack 15:57:07.768287 52 0 2188263987
seq 15:57:07.768678 1500 1448 2188327699
ack 15:57:07.769356 52 0 2188265435
seq 15:57:07.769765 1500 1448 2188329147
ack 15:57:07.770425 52 0 2188266883
seq 15:57:07.770834 1500 1448 2188330595
ack 15:57:07.772502 52 0 2188268331
seq 15:57:07.772896 1500 1448 2188332043
ack 15:57:07.773575 52 0 2188269779
seq 15:57:07.774005 1500 1448 2188333491
ack 15:57:07.774646 52 0 2188271227
seq 15:57:07.775040 1500 1448 2188334939
ack 15:57:07.775713 52 0 2188272675
seq 15:57:07.776145 1500 1448 2188336387
ack 15:57:07.777784 52 0 2188274123
seq 15:57:07.778170 1500 1448 2188337835
ack 15:57:07.778852 52 0 2188275571
seq 15:57:07.779239 1500 1448 2188339283
ack 15:57:07.779918 52 0 2188277019
seq 15:57:07.780290 1500 1448 2188340731
ack 15:57:07.781994 52 0 2188278467
seq 15:57:07.782405 1500 1448 2188342179
ack 15:57:07.783063 52 0 2188279915
ack 15:57:07.783068 52 0 2188281363
seq 15:57:07.783426 1500 1448 2188343627
ack 15:57:07.785134 52 0 2188282811
seq 15:57:07.785503 1500 1448 2188345075
seq 15:57:07.785504 1500 1448 2188346523
ack 15:57:07.786201 52 0 2188284259
seq 15:57:07.786620 1500 1448 2188347971
ack 15:57:07.787270 52 0 2188285707
seq 15:57:07.787694 1500 1448 2188349419
ack 15:57:07.788338 52 0 2188287155
ack 15:57:07.790404 52 0 2188288603
seq 15:57:07.790792 1500 1448 2188350867
seq 15:57:07.790794 1500 1448 2188352315
ack 15:57:07.791474 52 0 2188290051
seq 15:57:07.791852 1500 1448 2188353763
ack 15:57:07.792544 52 0 2188291499
seq 15:57:07.792932 1500 1448 2188355211
ack 15:57:07.794613 52 0 2188292947
seq 15:57:07.795007 1500 1448 2188356659
ack 15:57:07.795680 52 0 2188294395
seq 15:57:07.796078 1500 1448 2188358107
ack 15:57:07.796747 52 0 2188295843
seq 15:57:07.797163 1500 1448 2188359555
ack 15:57:07.798815 52 0 2188297291
seq 15:57:07.799238 1500 1448 2188361003
ack 15:57:07.799881 52 0 2188298739
seq 15:57:07.800261 1500 1448 2188362451
ack 15:57:07.800949 52 0 2188300187
seq 15:57:07.801356 1500 1448 2188363899
ack 15:57:07.802017 52 0 2188301635
seq 15:57:07.802392 1500 1448 2188365347
ack 15:57:07.803084 52 0 2188303083
seq 15:57:07.803486 1500 1448 2188366795
ack 15:57:07.804151 52 0 2188304531
seq 15:57:07.804546 1500 1448 2188368243
ack 15:57:07.884459 52 0 2188305979
seq 15:57:07.884912 1500 1448 2188369691
seq 15:57:07.884915 1500 1448 2188371139
ack 15:57:07.885545 52 0 2188307427
seq 15:57:07.885953 1500 1448 2188372587
ack 15:57:07.886613 52 0 2188308875
seq 15:57:07.887003 1500 1448 2188374035
ack 15:57:07.888684 52 0 2188310323
seq 15:57:07.889106 1500 1448 2188375483
ack 15:57:07.889753 52 0 2188311771
