Type Time Length DataLength Raw_Seq/Ack
ack 10:48:20.460971 60 0 0
seq 10:48:20.461550 60 0 1960359216
ack 10:48:20.591453 52 0 1960359217
ack 10:48:20.591481 208 156 1960359217
seq 10:48:20.591963 52 0 1960359217
seq 10:48:20.592124 1500 1448 1960359217
seq 10:48:20.592129 1500 1448 1960360665
seq 10:48:20.592133 1500 1448 1960362113
seq 10:48:20.592134 1500 1448 1960363561
seq 10:48:20.592136 1500 1448 1960365009
seq 10:48:20.592137 1500 1448 1960366457
seq 10:48:20.592139 1500 1448 1960367905
seq 10:48:20.592140 1500 1448 1960369353
seq 10:48:20.592147 1500 1448 1960370801
seq 10:48:20.592148 1500 1448 1960372249
ack 10:48:20.723796 52 0 1960360665
seq 10:48:20.724260 1500 1448 1960373697
seq 10:48:20.724264 1500 1448 1960375145
ack 10:48:20.724896 52 0 1960362113
seq 10:48:20.725300 1500 1448 1960376593
seq 10:48:20.725303 1500 1448 1960378041
ack 10:48:20.725981 52 0 1960363561
seq 10:48:20.726417 1500 1448 1960379489
seq 10:48:20.726420 1500 1448 1960380937
ack 10:48:20.727077 52 0 1960365009
seq 10:48:20.727478 1500 1448 1960382385
seq 10:48:20.727480 1500 1448 1960383833
ack 10:48:20.728149 52 0 1960366457
seq 10:48:20.728541 1500 1448 1960385281
seq 10:48:20.728542 1500 1448 1960386729
ack 10:48:20.729229 52 0 1960367905
seq 10:48:20.729614 1500 1448 1960388177
seq 10:48:20.729617 1500 1448 1960389625
ack 10:48:20.730319 52 0 1960369353
seq 10:48:20.730691 1500 1448 1960391073
seq 10:48:20.730694 1500 1448 1960392521
ack 10:48:20.732401 52 0 1960370801
seq 10:48:20.733072 1500 1448 1960393969
seq 10:48:20.733074 1500 1448 1960395417
ack 10:48:20.733476 52 0 1960372249
seq 10:48:20.733872 1500 1448 1960396865
seq 10:48:20.733879 1500 1448 1960398313
ack 10:48:20.734552 52 0 1960373697
seq 10:48:20.734941 1500 1448 1960399761
seq 10:48:20.734945 1500 1448 1960401209
ack 10:48:20.854973 52 0 1960375145
ack 10:48:20.855003 52 0 1960376593
seq 10:48:20.855428 1500 1448 1960402657
seq 10:48:20.855447 1500 1448 1960404105
seq 10:48:20.855451 1500 1448 1960405553
seq 10:48:20.855452 1500 1448 1960407001
ack 10:48:20.857110 52 0 1960378041
seq 10:48:20.857486 1500 1448 1960408449
seq 10:48:20.857492 1500 1448 1960409897
ack 10:48:20.858209 52 0 1960379489
seq 10:48:20.858624 1500 1448 1960411345
seq 10:48:20.858626 1500 1448 1960412793
ack 10:48:20.859291 52 0 1960380937
seq 10:48:20.859704 1500 1448 1960414241
seq 10:48:20.859706 1500 1448 1960415689
ack 10:48:20.860369 52 0 1960382385
seq 10:48:20.860757 1500 1448 1960417137
seq 10:48:20.860761 1500 1448 1960418585
ack 10:48:20.862472 52 0 1960383833
