Type Time Length DataLength Raw_Seq/Ack
ack 14:41:23.623545 60 0 0
seq 14:41:23.624102 60 0 2441036754
ack 14:41:23.754080 52 0 2441036755
ack 14:41:23.754110 208 156 2441036755
seq 14:41:23.754559 52 0 2441036755
seq 14:41:23.754727 1500 1448 2441036755
seq 14:41:23.754747 1500 1448 2441038203
seq 14:41:23.754752 1500 1448 2441039651
seq 14:41:23.754752 1500 1448 2441041099
seq 14:41:23.754755 1500 1448 2441042547
seq 14:41:23.754756 1500 1448 2441043995
seq 14:41:23.754758 1500 1448 2441045443
seq 14:41:23.754758 1500 1448 2441046891
seq 14:41:23.754781 1500 1448 2441048339
seq 14:41:23.754782 1500 1448 2441049787
ack 14:41:23.885566 52 0 2441038203
seq 14:41:23.886040 1500 1448 2441051235
seq 14:41:23.886052 1500 1448 2441052683
ack 14:41:23.886673 52 0 2441039651
seq 14:41:23.887083 1500 1448 2441054131
seq 14:41:23.887090 1500 1448 2441055579
ack 14:41:23.888751 52 0 2441041099
seq 14:41:23.889165 1500 1448 2441057027
seq 14:41:23.889174 1500 1448 2441058475
ack 14:41:23.889832 52 0 2441042547
seq 14:41:23.890244 1500 1448 2441059923
seq 14:41:23.890252 1500 1448 2441061371
ack 14:41:23.890906 52 0 2441043995
seq 14:41:23.891298 1500 1448 2441062819
seq 14:41:23.891306 1500 1448 2441064267
ack 14:41:23.892991 52 0 2441045443
ack 14:41:23.893001 52 0 2441046891
seq 14:41:23.893411 1500 1448 2441065715
seq 14:41:23.893421 1500 1448 2441067163
seq 14:41:23.893423 1500 1448 2441068611
seq 14:41:23.893427 1500 1448 2441070059
ack 14:41:23.894075 52 0 2441048339
seq 14:41:23.894445 1500 1448 2441071507
seq 14:41:23.894454 1500 1448 2441072955
ack 14:41:23.896160 52 0 2441049787
seq 14:41:23.896606 1500 1448 2441074403
seq 14:41:23.896616 1500 1448 2441075851
ack 14:41:23.897236 52 0 2441051235
seq 14:41:23.897676 1500 1448 2441077299
seq 14:41:23.897683 1500 1448 2441078747
ack 14:41:24.017005 52 0 2441052683
ack 14:41:24.017033 52 0 2441054131
seq 14:41:24.017493 1500 1448 2441080195
seq 14:41:24.017507 1500 1448 2441081643
seq 14:41:24.017542 1500 1448 2441083091
seq 14:41:24.017543 1500 1448 2441084539
ack 14:41:24.018110 52 0 2441055579
seq 14:41:24.018450 1500 1448 2441085987
seq 14:41:24.018465 1500 1448 2441087435
ack 14:41:24.020184 52 0 2441057027
seq 14:41:24.020543 1500 1448 2441088883
seq 14:41:24.020552 1500 1448 2441090331
ack 14:41:24.021257 52 0 2441058475
seq 14:41:24.021671 1500 1448 2441091779
seq 14:41:24.021685 1500 1448 2441093227
ack 14:41:24.022328 52 0 2441059923
seq 14:41:24.022742 1500 1448 2441094675
seq 14:41:24.022751 1500 1448 2441096123
ack 14:41:24.024400 52 0 2441061371
seq 14:41:24.024819 1500 1448 2441097571
seq 14:41:24.024828 1500 1448 2441099019
ack 14:41:24.025470 52 0 2441062819
seq 14:41:24.025836 1500 1448 2441100467
seq 14:41:24.025842 1500 1448 2441101915
ack 14:41:24.026538 52 0 2441064267
seq 14:41:24.026910 1500 1448 2441103363
seq 14:41:24.026939 1500 1448 2441104811
ack 14:41:24.027605 52 0 2441065715
seq 14:41:24.028024 1500 1448 2441106259
seq 14:41:24.028031 1500 1448 2441107707
ack 14:41:24.029677 52 0 2441067163
seq 14:41:24.030038 1500 1448 2441109155
seq 14:41:24.030045 1500 1448 2441110603
ack 14:41:24.030748 52 0 2441068611
seq 14:41:24.031129 1500 1448 2441112051
seq 14:41:24.031153 1500 1448 2441113499
ack 14:41:24.031834 52 0 2441070059
seq 14:41:24.032212 1500 1448 2441114947
seq 14:41:24.032227 1500 1448 2441116395
ack 14:41:24.033915 52 0 2441071507
seq 14:41:24.034309 1500 1448 2441117843
seq 14:41:24.034319 1500 1448 2441119291
ack 14:41:24.034989 52 0 2441072955
seq 14:41:24.035408 1500 1448 2441120739
seq 14:41:24.035417 1500 1448 2441122187
ack 14:41:24.036060 52 0 2441074403
seq 14:41:24.036449 1500 1448 2441123635
seq 14:41:24.036457 1500 1448 2441125083
ack 14:41:24.037131 52 0 2441075851
seq 14:41:24.037537 1500 1448 2441126531
seq 14:41:24.037546 1500 1448 2441127979
ack 14:41:24.038200 52 0 2441077299
seq 14:41:24.038623 1500 1448 2441129427
seq 14:41:24.038631 1500 1448 2441130875
ack 14:41:24.039268 52 0 2441078747
seq 14:41:24.039674 1500 1448 2441132323
seq 14:41:24.039681 1500 1448 2441133771
ack 14:41:24.040338 52 0 2441080195
seq 14:41:24.040714 1500 1448 2441135219
seq 14:41:24.040723 1500 1448 2441136667
ack 14:41:24.148103 52 0 2441081643
ack 14:41:24.148130 52 0 2441083091
seq 14:41:24.148545 1500 1448 2441138115
seq 14:41:24.148557 1500 1448 2441139563
seq 14:41:24.148566 1500 1448 2441141011
seq 14:41:24.148642 1500 1448 2441142459
ack 14:41:24.149210 52 0 2441084539
seq 14:41:24.149712 1500 1448 2441143907
seq 14:41:24.149720 1500 1448 2441145355
ack 14:41:24.151285 52 0 2441085987
seq 14:41:24.151676 1500 1448 2441146803
seq 14:41:24.151686 1500 1448 2441148251
ack 14:41:24.152360 52 0 2441087435
seq 14:41:24.152757 1500 1448 2441149699
seq 14:41:24.152763 1500 1448 2441151147
ack 14:41:24.153433 52 0 2441088883
seq 14:41:24.153816 1500 1448 2441152595
ack 14:41:24.155512 52 0 2441090331
seq 14:41:24.155902 1500 1448 2441154043
ack 14:41:24.156585 52 0 2441091779
seq 14:41:24.156942 1500 1448 2441155491
ack 14:41:24.157675 52 0 2441093227
seq 14:41:24.158082 1500 1448 2441156939
ack 14:41:24.159743 52 0 2441094675
seq 14:41:24.160120 1500 1448 2441158387
ack 14:41:24.160812 52 0 2441096123
seq 14:41:24.161204 1500 1448 2441159835
ack 14:41:24.161881 52 0 2441097571
seq 14:41:24.162262 1500 1448 2441161283
ack 14:41:24.162949 52 0 2441099019
seq 14:41:24.163361 1500 1448 2441162731
ack 14:41:24.165023 52 0 2441100467
ack 14:41:24.165030 52 0 2441101915
seq 14:41:24.165396 1500 1448 2441164179
ack 14:41:24.166097 52 0 2441103363
seq 14:41:24.166605 1500 1448 2441165627
seq 14:41:24.166612 1500 1448 2441167075
ack 14:41:24.168168 52 0 2441104811
seq 14:41:24.168560 1500 1448 2441168523
ack 14:41:24.169239 52 0 2441106259
seq 14:41:24.169571 1500 1448 2441169971
ack 14:41:24.170309 52 0 2441107707
seq 14:41:24.170674 1500 1448 2441171419
ack 14:41:24.172381 52 0 2441109155
seq 14:41:24.172778 1500 1448 2441172867
ack 14:41:24.173451 52 0 2441110603
seq 14:41:24.173847 1500 1448 2441174315
ack 14:41:24.174520 52 0 2441112051
seq 14:41:24.174906 1500 1448 2441175763
ack 14:41:24.175591 52 0 2441113499
seq 14:41:24.175984 1500 1448 2441177211
ack 14:41:24.177666 52 0 2441114947
seq 14:41:24.178063 1500 1448 2441178659
ack 14:41:24.178741 52 0 2441116395
seq 14:41:24.179079 1500 1448 2441180107
ack 14:41:24.179817 52 0 2441117843
seq 14:41:24.180196 1500 1448 2441181555
ack 14:41:24.181897 52 0 2441119291
seq 14:41:24.182311 1500 1448 2441183003
ack 14:41:24.182971 52 0 2441120739
seq 14:41:24.183383 1500 1448 2441184451
ack 14:41:24.184041 52 0 2441122187
seq 14:41:24.184411 1500 1448 2441185899
ack 14:41:24.185112 52 0 2441123635
seq 14:41:24.185500 1500 1448 2441187347
ack 14:41:24.186182 52 0 2441125083
seq 14:41:24.186540 1500 1448 2441188795
ack 14:41:24.187254 52 0 2441126531
seq 14:41:24.187629 1500 1448 2441190243
ack 14:41:24.188325 52 0 2441127979
seq 14:41:24.188682 1500 1448 2441191691
ack 14:41:24.190404 52 0 2441129427
seq 14:41:24.190790 1500 1448 2441193139
ack 14:41:24.191478 52 0 2441130875
seq 14:41:24.191841 1500 1448 2441194587
ack 14:41:24.192548 52 0 2441132323
seq 14:41:24.192974 1500 1448 2441196035
ack 14:41:24.194619 52 0 2441133771
seq 14:41:24.195032 1500 1448 2441197483
ack 14:41:24.195688 52 0 2441135219
seq 14:41:24.196072 1500 1448 2441198931
ack 14:41:24.196758 52 0 2441136667
seq 14:41:24.197117 1500 1448 2441200379
ack 14:41:24.197829 52 0 2441138115
seq 14:41:24.198202 1500 1448 2441201827
ack 14:41:24.277140 52 0 2441139563
seq 14:41:24.277593 1500 1448 2441203275
ack 14:41:24.279232 52 0 2441141011
seq 14:41:24.279604 1500 1448 2441204723
ack 14:41:24.280306 52 0 2441142459
seq 14:41:24.280672 1500 1448 2441206171
ack 14:41:24.281378 52 0 2441143907
seq 14:41:24.281765 1500 1448 2441207619
ack 14:41:24.282449 52 0 2441145355
seq 14:41:24.282846 1500 1448 2441209067
ack 14:41:24.284528 52 0 2441146803
seq 14:41:24.284932 1500 1448 2441210515
ack 14:41:24.285602 52 0 2441148251
seq 14:41:24.285976 1500 1448 2441211963
ack 14:41:24.286677 52 0 2441149699
seq 14:41:24.287078 1500 1448 2441213411
ack 14:41:24.288763 52 0 2441151147
seq 14:41:24.289134 1500 1448 2441214859
ack 14:41:24.289838 52 0 2441152595
seq 14:41:24.290211 1500 1448 2441216307
seq 14:41:24.290219 1500 1448 2441217755
ack 14:41:24.290917 52 0 2441154043
seq 14:41:24.291293 1500 1448 2441219203
ack 14:41:24.291999 52 0 2441155491
seq 14:41:24.292431 1500 1448 2441220651
ack 14:41:24.293075 52 0 2441156939
seq 14:41:24.293496 1500 1448 2441222099
ack 14:41:24.294150 52 0 2441158387
seq 14:41:24.294528 1500 1448 2441223547
ack 14:41:24.295224 52 0 2441159835
seq 14:41:24.295627 1500 1448 2441224995
ack 14:41:24.297301 52 0 2441161283
seq 14:41:24.297675 1500 1448 2441226443
ack 14:41:24.298380 52 0 2441162731
seq 14:41:24.298740 1500 1448 2441227891
ack 14:41:24.299453 52 0 2441164179
seq 14:41:24.299827 1500 1448 2441229339
ack 14:41:24.301539 52 0 2441165627
seq 14:41:24.301925 1500 1448 2441230787
ack 14:41:24.302618 52 0 2441167075
seq 14:41:24.303006 1500 1448 2441232235
ack 14:41:24.303695 52 0 2441168523
seq 14:41:24.304072 1500 1448 2441233683
ack 14:41:24.305769 52 0 2441169971
seq 14:41:24.306134 1500 1448 2441235131
ack 14:41:24.306839 52 0 2441171419
seq 14:41:24.307242 1500 1448 2441236579
ack 14:41:24.307908 52 0 2441172867
seq 14:41:24.308260 1500 1448 2441238027
ack 14:41:24.308978 52 0 2441174315
seq 14:41:24.309343 1500 1448 2441239475
ack 14:41:24.311048 52 0 2441175763
ack 14:41:24.311054 52 0 2441177211
seq 14:41:24.311444 1500 1448 2441240923
ack 14:41:24.312121 52 0 2441178659
seq 14:41:24.312553 1500 1448 2441242371
seq 14:41:24.312559 1500 1448 2441243819
ack 14:41:24.314190 52 0 2441180107
seq 14:41:24.314529 1500 1448 2441245267
ack 14:41:24.315264 52 0 2441181555
seq 14:41:24.315631 1500 1448 2441246715
ack 14:41:24.316338 52 0 2441183003
seq 14:41:24.316766 1500 1448 2441248163
ack 14:41:24.318409 52 0 2441184451
seq 14:41:24.318817 1500 1448 2441249611
ack 14:41:24.319484 52 0 2441185899
seq 14:41:24.319800 1500 1448 2441251059
ack 14:41:24.320556 52 0 2441187347
seq 14:41:24.320947 1500 1448 2441252507
ack 14:41:24.322630 52 0 2441188795
seq 14:41:24.323055 1500 1448 2441253955
ack 14:41:24.323705 52 0 2441190243
seq 14:41:24.324130 1500 1448 2441255403
ack 14:41:24.324777 52 0 2441191691
seq 14:41:24.325203 1500 1448 2441256851
ack 14:41:24.325847 52 0 2441193139
seq 14:41:24.326239 1500 1448 2441258299
ack 14:41:24.327919 52 0 2441194587
seq 14:41:24.328313 1500 1448 2441259747
ack 14:41:24.328989 52 0 2441196035
seq 14:41:24.329404 1500 1448 2441261195
ack 14:41:24.330057 52 0 2441197483
seq 14:41:24.330486 1500 1448 2441262643
ack 14:41:24.331128 52 0 2441198931
seq 14:41:24.331495 1500 1448 2441264091
ack 14:41:24.332200 52 0 2441200379
seq 14:41:24.332596 1500 1448 2441265539
ack 14:41:24.333272 52 0 2441201827
seq 14:41:24.333631 1500 1448 2441266987
ack 14:41:24.335349 52 0 2441203275
seq 14:41:24.335737 1500 1448 2441268435
ack 14:41:24.407196 52 0 2441204723
seq 14:41:24.407681 1500 1448 2441269883
ack 14:41:24.409285 52 0 2441206171
seq 14:41:24.409669 1500 1448 2441271331
ack 14:41:24.410358 52 0 2441207619
seq 14:41:24.410772 1500 1448 2441272779
ack 14:41:24.411428 52 0 2441209067
seq 14:41:24.411840 1500 1448 2441274227
ack 14:41:24.413501 52 0 2441210515
seq 14:41:24.413883 1500 1448 2441275675
ack 14:41:24.414570 52 0 2441211963
seq 14:41:24.414973 1500 1448 2441277123
ack 14:41:24.415642 52 0 2441213411
seq 14:41:24.416026 1500 1448 2441278571
ack 14:41:24.417719 52 0 2441214859
seq 14:41:24.418099 1500 1448 2441280019
ack 14:41:24.418788 52 0 2441216307
seq 14:41:24.419210 1500 1448 2441281467
ack 14:41:24.420858 52 0 2441217755
seq 14:41:24.421234 1500 1448 2441282915
ack 14:41:24.421927 52 0 2441219203
seq 14:41:24.422330 1500 1448 2441284363
seq 14:41:24.422352 1500 1448 2441285811
ack 14:41:24.423000 52 0 2441220651
ack 14:41:24.423007 52 0 2441222099
seq 14:41:24.423407 1500 1448 2441287259
ack 14:41:24.425076 52 0 2441223547
seq 14:41:24.425453 1500 1448 2441288707
seq 14:41:24.425476 1500 1448 2441290155
ack 14:41:24.426144 52 0 2441224995
seq 14:41:24.426520 1500 1448 2441291603
ack 14:41:24.427212 52 0 2441226443
seq 14:41:24.427638 1500 1448 2441293051
ack 14:41:24.429287 52 0 2441227891
seq 14:41:24.429681 1500 1448 2441294499
ack 14:41:24.430360 52 0 2441229339
seq 14:41:24.430708 1500 1448 2441295947
ack 14:41:24.431429 52 0 2441230787
seq 14:41:24.431807 1500 1448 2441297395
ack 14:41:24.433506 52 0 2441232235
seq 14:41:24.433898 1500 1448 2441298843
ack 14:41:24.434580 52 0 2441233683
seq 14:41:24.434987 1500 1448 2441300291
ack 14:41:24.435659 52 0 2441235131
seq 14:41:24.436033 1500 1448 2441301739
ack 14:41:24.437733 52 0 2441236579
seq 14:41:24.438088 1500 1448 2441303187
ack 14:41:24.438804 52 0 2441238027
seq 14:41:24.439145 1500 1448 2441304635
ack 14:41:24.439873 52 0 2441239475
seq 14:41:24.440247 1500 1448 2441306083
ack 14:41:24.440940 52 0 2441240923
seq 14:41:24.441330 1500 1448 2441307531
ack 14:41:24.443009 52 0 2441242371
ack 14:41:24.443014 52 0 2441243819
seq 14:41:24.443358 1500 1448 2441308979
ack 14:41:24.444081 52 0 2441245267
seq 14:41:24.444468 1500 1448 2441310427
seq 14:41:24.444472 1500 1448 2441311875
ack 14:41:24.446151 52 0 2441246715
seq 14:41:24.446522 1500 1448 2441313323
ack 14:41:24.447221 52 0 2441248163
seq 14:41:24.447642 1500 1448 2441314771
ack 14:41:24.448296 52 0 2441249611
seq 14:41:24.448668 1500 1448 2441316219
ack 14:41:24.450370 52 0 2441251059
seq 14:41:24.450782 1500 1448 2441317667
ack 14:41:24.451439 52 0 2441252507
seq 14:41:24.451861 1500 1448 2441319115
ack 14:41:24.452507 52 0 2441253955
seq 14:41:24.452887 1500 1448 2441320563
ack 14:41:24.453576 52 0 2441255403
seq 14:41:24.453963 1500 1448 2441322011
ack 14:41:24.455651 52 0 2441256851
seq 14:41:24.455991 1500 1448 2441323459
ack 14:41:24.456719 52 0 2441258299
seq 14:41:24.457110 1500 1448 2441324907
ack 14:41:24.457785 52 0 2441259747
seq 14:41:24.458209 1500 1448 2441326355
ack 14:41:24.459854 52 0 2441261195
seq 14:41:24.460265 1500 1448 2441327803
ack 14:41:24.460922 52 0 2441262643
