Type Time Length DataLength Raw_Seq/Ack
ack 13:24:50.538629 60 0 0
seq 13:24:50.539156 60 0 2259060458
ack 13:24:50.669113 52 0 2259060459
ack 13:24:50.669153 208 156 2259060459
seq 13:24:50.669608 52 0 2259060459
seq 13:24:50.669760 1500 1448 2259060459
seq 13:24:50.669763 1500 1448 2259061907
seq 13:24:50.669766 1500 1448 2259063355
seq 13:24:50.669767 1500 1448 2259064803
seq 13:24:50.669769 1500 1448 2259066251
seq 13:24:50.669770 1500 1448 2259067699
seq 13:24:50.669792 1500 1448 2259069147
seq 13:24:50.669793 1500 1448 2259070595
seq 13:24:50.669795 1500 1448 2259072043
seq 13:24:50.669796 1500 1448 2259073491
ack 13:24:50.800494 52 0 2259061907
seq 13:24:50.800998 1500 1448 2259074939
seq 13:24:50.801005 1500 1448 2259076387
ack 13:24:50.802659 52 0 2259063355
seq 13:24:50.803088 1500 1448 2259077835
seq 13:24:50.803092 1500 1448 2259079283
ack 13:24:50.803781 52 0 2259064803
seq 13:24:50.804121 1500 1448 2259080731
seq 13:24:50.804141 1500 1448 2259082179
ack 13:24:50.804879 52 0 2259066251
seq 13:24:50.805241 1500 1448 2259083627
seq 13:24:50.805245 1500 1448 2259085075
ack 13:24:50.805963 52 0 2259067699
seq 13:24:50.806296 1500 1448 2259086523
seq 13:24:50.806318 1500 1448 2259087971
ack 13:24:50.808050 52 0 2259069147
ack 13:24:50.808062 52 0 2259070595
seq 13:24:50.808486 1500 1448 2259089419
seq 13:24:50.808489 1500 1448 2259090867
seq 13:24:50.808502 1500 1448 2259092315
seq 13:24:50.808503 1500 1448 2259093763
ack 13:24:50.809131 52 0 2259072043
seq 13:24:50.809497 1500 1448 2259095211
seq 13:24:50.809499 1500 1448 2259096659
ack 13:24:50.811214 52 0 2259073491
seq 13:24:50.811594 1500 1448 2259098107
seq 13:24:50.811605 1500 1448 2259099555
ack 13:24:50.812300 52 0 2259074939
seq 13:24:50.812708 1500 1448 2259101003
seq 13:24:50.812712 1500 1448 2259102451
ack 13:24:50.932010 52 0 2259076387
ack 13:24:50.932038 52 0 2259077835
seq 13:24:50.932505 1500 1448 2259103899
seq 13:24:50.932510 1500 1448 2259105347
seq 13:24:50.932514 1500 1448 2259106795
seq 13:24:50.932514 1500 1448 2259108243
ack 13:24:50.933152 52 0 2259079283
seq 13:24:50.933568 1500 1448 2259109691
seq 13:24:50.933572 1500 1448 2259111139
ack 13:24:50.935246 52 0 2259080731
seq 13:24:50.935676 1500 1448 2259112587
seq 13:24:50.935681 1500 1448 2259114035
ack 13:24:50.936328 52 0 2259082179
seq 13:24:50.936801 1500 1448 2259115483
seq 13:24:50.936806 1500 1448 2259116931
