_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"22:56:57.678218","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"22:56:57.681313","0.003095000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"22:56:57.865028","0.186810000",,"3","69","100.64.0.2",,"100.64.0.1",,,,
"22:56:57.868136","0.189918000",,"4","153","100.64.0.1",,"100.64.0.2",,,,
"22:56:58.052657","0.374439000",,"5","69","100.64.0.2",,"100.64.0.1",,,,
"22:56:58.055847","0.377629000",,"6","101","100.64.0.1",,"100.64.0.2",,,,
"22:56:58.150132","0.471914000",,"7","76",,,,,,,
"22:56:58.240462","0.562244000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"22:56:58.243622","0.565404000",,"9","153","100.64.0.1",,"100.64.0.2",,,,
"22:56:58.372993","0.694775000",,"10","76",,,,,,,
"22:56:58.406129","0.727911000",,"11","76",,,,,,,
"22:56:58.426783","0.748565000","0.000000000","12","60","100.64.0.2","55732","47.76.60.27","80","0","0","0"
"22:56:58.429562","0.751344000","0.002779000","13","60","47.76.60.27","80","100.64.0.2","55732","0","0","1"
"22:56:58.614377","0.936159000","0.187594000","14","52","100.64.0.2","55732","47.76.60.27","80","0","1","1"
"22:56:58.614396","0.936178000","0.187613000","15","100","100.64.0.2","55732","47.76.60.27","80","48","1","1"
"22:56:58.614400","0.936182000","0.187617000","16","100","100.64.0.2","55732","47.76.60.27","80","48","49","1"
"22:56:58.614403","0.936185000","0.187620000","17","78","100.64.0.2","55732","47.76.60.27","80","26","97","1"
"22:56:58.617478","0.939260000","0.190695000","18","52","47.76.60.27","80","100.64.0.2","55732","0","1","97"
"22:56:58.617504","0.939286000","0.190721000","19","52","47.76.60.27","80","100.64.0.2","55732","0","1","123"
"22:56:58.617509","0.939291000","0.190726000","20","296","47.76.60.27","80","100.64.0.2","55732","244","1","123"
"22:56:58.617513","0.939295000","0.190730000","21","296","47.76.60.27","80","100.64.0.2","55732","244","245","123"
"22:56:58.617518","0.939300000","0.190735000","22","296","47.76.60.27","80","100.64.0.2","55732","244","489","123"
"22:56:58.617523","0.939305000","0.190740000","23","296","47.76.60.27","80","100.64.0.2","55732","244","733","123"
"22:56:58.617526","0.939308000","0.190743000","24","296","47.76.60.27","80","100.64.0.2","55732","244","977","123"
"22:56:58.617529","0.939311000","0.190746000","25","296","47.76.60.27","80","100.64.0.2","55732","244","1221","123"
"22:56:58.617532","0.939314000","0.190749000","26","296","47.76.60.27","80","100.64.0.2","55732","244","1465","123"
