_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"04:35:14.598112","0.000000000",,"1","76",,,,,,,
"04:35:14.634115","0.036003000",,"2","69","100.64.0.2",,"100.64.0.1",,,,
"04:35:14.637120","0.039008000",,"3","101","100.64.0.1",,"100.64.0.2",,,,
"04:35:14.730160","0.132048000",,"4","76",,,,,,,
"04:35:14.788981","0.190869000",,"5","76",,,,,,,
"04:35:14.821389","0.223277000",,"6","69","100.64.0.2",,"100.64.0.1",,,,
"04:35:14.824442","0.226330000",,"7","153","100.64.0.1",,"100.64.0.2",,,,
"04:35:14.948986","0.350874000",,"8","76",,,,,,,
"04:35:15.007998","0.409886000",,"9","69","100.64.0.2",,"100.64.0.1",,,,
"04:35:15.011145","0.413033000",,"10","101","100.64.0.1",,"100.64.0.2",,,,
"04:35:15.195485","0.597373000",,"11","69","100.64.0.2",,"100.64.0.1",,,,
"04:35:15.198701","0.600589000",,"12","153","100.64.0.1",,"100.64.0.2",,,,
"04:35:15.382724","0.784612000","0.000000000","13","60","100.64.0.2","60522","47.76.60.27","80","0","0","0"
"04:35:15.385683","0.787571000","0.002959000","14","60","47.76.60.27","80","100.64.0.2","60522","0","0","1"
"04:35:15.570587","0.972475000","0.187863000","15","52","100.64.0.2","60522","47.76.60.27","80","0","1","1"
"04:35:15.570607","0.972495000","0.187883000","16","100","100.64.0.2","60522","47.76.60.27","80","48","1","1"
"04:35:15.570611","0.972499000","0.187887000","17","100","100.64.0.2","60522","47.76.60.27","80","48","49","1"
"04:35:15.570615","0.972503000","0.187891000","18","78","100.64.0.2","60522","47.76.60.27","80","26","97","1"
"04:35:15.573623","0.975511000","0.190899000","19","52","47.76.60.27","80","100.64.0.2","60522","0","1","97"
"04:35:15.573647","0.975535000","0.190923000","20","52","47.76.60.27","80","100.64.0.2","60522","0","1","123"
"04:35:15.573652","0.975540000","0.190928000","21","296","47.76.60.27","80","100.64.0.2","60522","244","1","123"
"04:35:15.573656","0.975544000","0.190932000","22","296","47.76.60.27","80","100.64.0.2","60522","244","245","123"
"04:35:15.573659","0.975547000","0.190935000","23","296","47.76.60.27","80","100.64.0.2","60522","244","489","123"
"04:35:15.573662","0.975550000","0.190938000","24","296","47.76.60.27","80","100.64.0.2","60522","244","733","123"
"04:35:15.573664","0.975552000","0.190940000","25","296","47.76.60.27","80","100.64.0.2","60522","244","977","123"
"04:35:15.573667","0.975555000","0.190943000","26","296","47.76.60.27","80","100.64.0.2","60522","244","1221","123"
"04:35:15.573670","0.975558000","0.190946000","27","296","47.76.60.27","80","100.64.0.2","60522","244","1465","123"
"04:35:15.573673","0.975561000","0.190949000","28","296","47.76.60.27","80","100.64.0.2","60522","244","1709","123"
"04:35:15.573676","0.975564000","0.190952000","29","296","47.76.60.27","80","100.64.0.2","60522","244","1953","123"
"04:35:15.573679","0.975567000","0.190955000","30","296","47.76.60.27","80","100.64.0.2","60522","244","2197","123"
"04:35:15.757496","1.159384000","0.374772000","31","52","100.64.0.2","60522","47.76.60.27","80","0","123","245"
"04:35:15.757511","1.159399000","0.374787000","32","52","100.64.0.2","60522","47.76.60.27","80","0","123","489"
"04:35:15.757514","1.159402000","0.374790000","33","52","100.64.0.2","60522","47.76.60.27","80","0","123","733"
"04:35:15.757518","1.159406000","0.374794000","34","52","100.64.0.2","60522","47.76.60.27","80","0","123","977"
"04:35:15.760232","1.162120000","0.377508000","35","296","47.76.60.27","80","100.64.0.2","60522","244","2441","123"
"04:35:15.763486","1.165374000","0.380762000","36","296","47.76.60.27","80","100.64.0.2","60522","244","2685","123"
"04:35:15.770066","1.171954000","0.387342000","37","296","47.76.60.27","80","100.64.0.2","60522","244","2929","123"
"04:35:15.776628","1.178516000","0.393904000","38","296","47.76.60.27","80","100.64.0.2","60522","244","3173","123"
"04:35:15.783238","1.185126000","0.400514000","39","296","47.76.60.27","80","100.64.0.2","60522","244","3417","123"
"04:35:15.789776","1.191664000","0.407052000","40","296","47.76.60.27","80","100.64.0.2","60522","244","3661","123"
"04:35:15.796389","1.198277000","0.413665000","41","296","47.76.60.27","80","100.64.0.2","60522","244","3905","123"
"04:35:15.802936","1.204824000","0.420212000","42","296","47.76.60.27","80","100.64.0.2","60522","244","4149","123"
"04:35:15.820603","1.222491000","0.437879000","43","52","100.64.0.2","60522","47.76.60.27","80","0","123","1221"
"04:35:15.820615","1.222503000","0.437891000","44","52","100.64.0.2","60522","47.76.60.27","80","0","123","1465"
"04:35:15.820618","1.222506000","0.437894000","45","52","100.64.0.2","60522","47.76.60.27","80","0","123","1709"
"04:35:15.820621","1.222509000","0.437897000","46","52","100.64.0.2","60522","47.76.60.27","80","0","123","1953"
"04:35:15.820624","1.222512000","0.437900000","47","52","100.64.0.2","60522","47.76.60.27","80","0","123","2197"
"04:35:15.823311","1.225199000","0.440587000","48","296","47.76.60.27","80","100.64.0.2","60522","244","4393","123"
"04:35:15.826637","1.228525000","0.443913000","49","296","47.76.60.27","80","100.64.0.2","60522","244","4637","123"
"04:35:15.833215","1.235103000","0.450491000","50","296","47.76.60.27","80","100.64.0.2","60522","244","4881","123"
"04:35:15.839775","1.241663000","0.457051000","51","296","47.76.60.27","80","100.64.0.2","60522","244","5125","123"
"04:35:15.846328","1.248216000","0.463604000","52","296","47.76.60.27","80","100.64.0.2","60522","244","5369","123"
"04:35:15.852955","1.254843000","0.470231000","53","296","47.76.60.27","80","100.64.0.2","60522","244","5613","123"
"04:35:15.859571","1.261459000","0.476847000","54","296","47.76.60.27","80","100.64.0.2","60522","244","5857","123"
"04:35:15.866093","1.267981000","0.483369000","55","296","47.76.60.27","80","100.64.0.2","60522","244","6101","123"
"04:35:15.872687","1.274575000","0.489963000","56","296","47.76.60.27","80","100.64.0.2","60522","244","6345","123"
"04:35:15.879211","1.281099000","0.496487000","57","296","47.76.60.27","80","100.64.0.2","60522","244","6589","123"
"04:35:15.882721","1.284609000","0.499997000","58","52","100.64.0.2","60522","47.76.60.27","80","0","123","2441"
"04:35:15.885776","1.287664000","0.503052000","59","296","47.76.60.27","80","100.64.0.2","60522","244","6833","123"
"04:35:15.892374","1.294262000","0.509650000","60","296","47.76.60.27","80","100.64.0.2","60522","244","7077","123"
"04:35:15.945883","1.347771000","0.563159000","61","52","100.64.0.2","60522","47.76.60.27","80","0","123","2685"
"04:35:15.945900","1.347788000","0.563176000","62","52","100.64.0.2","60522","47.76.60.27","80","0","123","2929"
"04:35:15.945903","1.347791000","0.563179000","63","52","100.64.0.2","60522","47.76.60.27","80","0","123","3173"
"04:35:15.945907","1.347795000","0.563183000","64","52","100.64.0.2","60522","47.76.60.27","80","0","123","3417"
"04:35:15.948614","1.350502000","0.565890000","65","296","47.76.60.27","80","100.64.0.2","60522","244","7321","123"
"04:35:15.951844","1.353732000","0.569120000","66","296","47.76.60.27","80","100.64.0.2","60522","244","7565","123"
"04:35:15.958442","1.360330000","0.575718000","67","296","47.76.60.27","80","100.64.0.2","60522","244","7809","123"
"04:35:15.965006","1.366894000","0.582282000","68","296","47.76.60.27","80","100.64.0.2","60522","244","8053","123"
"04:35:15.971575","1.373463000","0.588851000","69","296","47.76.60.27","80","100.64.0.2","60522","244","8297","123"
"04:35:15.978162","1.380050000","0.595438000","70","296","47.76.60.27","80","100.64.0.2","60522","244","8541","123"
"04:35:15.984704","1.386592000","0.601980000","71","296","47.76.60.27","80","100.64.0.2","60522","244","8785","123"
"04:35:15.991312","1.393200000","0.608588000","72","296","47.76.60.27","80","100.64.0.2","60522","244","9029","123"
"04:35:16.007344","1.409232000","0.624620000","73","52","100.64.0.2","60522","47.76.60.27","80","0","123","3661"
