_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"21:40:56.862149","0.000000000",,"1","76",,,,,,,
"21:40:56.873670","0.011521000",,"2","69","100.64.0.2",,"100.64.0.1",,,,
"21:40:56.876722","0.014573000",,"3","101","100.64.0.1",,"100.64.0.2",,,,
"21:40:57.061381","0.199232000",,"4","69","100.64.0.2",,"100.64.0.1",,,,
"21:40:57.064449","0.202300000",,"5","153","100.64.0.1",,"100.64.0.2",,,,
"21:40:57.094140","0.231991000",,"6","76",,,,,,,
"21:40:57.247513","0.385364000",,"7","69","100.64.0.2",,"100.64.0.1",,,,
"21:40:57.250583","0.388434000",,"8","101","100.64.0.1",,"100.64.0.2",,,,
"21:40:57.436397","0.574248000",,"9","69","100.64.0.2",,"100.64.0.1",,,,
"21:40:57.439610","0.577461000",,"10","153","100.64.0.1",,"100.64.0.2",,,,
"21:40:57.540985","0.678836000",,"11","76",,,,,,,
"21:40:57.572996","0.710847000",,"12","76",,,,,,,
"21:40:57.623197","0.761048000","0.000000000","13","60","100.64.0.2","34400","47.76.60.27","80","0","0","0"
"21:40:57.625962","0.763813000","0.002765000","14","60","47.76.60.27","80","100.64.0.2","34400","0","0","1"
"21:40:57.747750","0.885601000","0.124553000","15","52","100.64.0.2","34400","47.76.60.27","80","0","1","1"
"21:40:57.747774","0.885625000","0.124577000","16","100","100.64.0.2","34400","47.76.60.27","80","48","1","1"
"21:40:57.747779","0.885630000","0.124582000","17","100","100.64.0.2","34400","47.76.60.27","80","48","49","1"
"21:40:57.747783","0.885634000","0.124586000","18","78","100.64.0.2","34400","47.76.60.27","80","26","97","1"
"21:40:57.750652","0.888503000","0.127455000","19","52","47.76.60.27","80","100.64.0.2","34400","0","1","49"
"21:40:57.750668","0.888519000","0.127471000","20","52","47.76.60.27","80","100.64.0.2","34400","0","1","97"
"21:40:57.750671","0.888522000","0.127474000","21","52","47.76.60.27","80","100.64.0.2","34400","0","1","123"
"21:40:57.750674","0.888525000","0.127477000","22","296","47.76.60.27","80","100.64.0.2","34400","244","1","123"
"21:40:57.750677","0.888528000","0.127480000","23","296","47.76.60.27","80","100.64.0.2","34400","244","245","123"
"21:40:57.750680","0.888531000","0.127483000","24","296","47.76.60.27","80","100.64.0.2","34400","244","489","123"
"21:40:57.750683","0.888534000","0.127486000","25","296","47.76.60.27","80","100.64.0.2","34400","244","733","123"
"21:40:57.750685","0.888536000","0.127488000","26","296","47.76.60.27","80","100.64.0.2","34400","244","977","123"
"21:40:57.750688","0.888539000","0.127491000","27","296","47.76.60.27","80","100.64.0.2","34400","244","1221","123"
"21:40:57.750691","0.888542000","0.127494000","28","296","47.76.60.27","80","100.64.0.2","34400","244","1465","123"
"21:40:57.750694","0.888545000","0.127497000","29","296","47.76.60.27","80","100.64.0.2","34400","244","1709","123"
"21:40:57.750697","0.888548000","0.127500000","30","296","47.76.60.27","80","100.64.0.2","34400","244","1953","123"
"21:40:57.750700","0.888551000","0.127503000","31","296","47.76.60.27","80","100.64.0.2","34400","244","2197","123"
"21:40:57.872585","1.010436000","0.249388000","32","52","100.64.0.2","34400","47.76.60.27","80","0","123","245"
"21:40:57.872609","1.010460000","0.249412000","33","52","100.64.0.2","34400","47.76.60.27","80","0","123","489"
"21:40:57.872613","1.010464000","0.249416000","34","52","100.64.0.2","34400","47.76.60.27","80","0","123","733"
"21:40:57.872618","1.010469000","0.249421000","35","52","100.64.0.2","34400","47.76.60.27","80","0","123","977"
"21:40:57.875318","1.013169000","0.252121000","36","296","47.76.60.27","80","100.64.0.2","34400","244","2441","123"
"21:40:57.875331","1.013182000","0.252134000","37","296","47.76.60.27","80","100.64.0.2","34400","244","2685","123"
"21:40:57.875334","1.013185000","0.252137000","38","296","47.76.60.27","80","100.64.0.2","34400","244","2929","123"
"21:40:57.875337","1.013188000","0.252140000","39","296","47.76.60.27","80","100.64.0.2","34400","244","3173","123"
"21:40:57.875340","1.013191000","0.252143000","40","296","47.76.60.27","80","100.64.0.2","34400","244","3417","123"
"21:40:57.875342","1.013193000","0.252145000","41","296","47.76.60.27","80","100.64.0.2","34400","244","3661","123"
"21:40:57.935736","1.073587000","0.312539000","42","52","100.64.0.2","34400","47.76.60.27","80","0","123","1221"
"21:40:57.935755","1.073606000","0.312558000","43","52","100.64.0.2","34400","47.76.60.27","80","0","123","1465"
