_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"02:13:23.420993","0.000000000",,"1","76",,,,,,,
"02:13:23.499249","0.078256000",,"2","69","100.64.0.2",,"100.64.0.1",,,,
"02:13:23.502440","0.081447000",,"3","101","100.64.0.1",,"100.64.0.2",,,,
"02:13:23.622149","0.201156000",,"4","76",,,,,,,
"02:13:23.686520","0.265527000",,"5","69","100.64.0.2",,"100.64.0.1",,,,
"02:13:23.689744","0.268751000",,"6","153","100.64.0.1",,"100.64.0.2",,,,
"02:13:23.782198","0.361205000",,"7","76",,,,,,,
"02:13:23.873387","0.452394000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"02:13:23.876625","0.455632000",,"9","101","100.64.0.1",,"100.64.0.2",,,,
"02:13:24.061514","0.640521000",,"10","69","100.64.0.2",,"100.64.0.1",,,,
"02:13:24.064740","0.643747000",,"11","153","100.64.0.1",,"100.64.0.2",,,,
"02:13:24.164999","0.744006000",,"12","76",,,,,,,
"02:13:24.248235","0.827242000","0.000000000","13","60","100.64.0.2","43674","47.76.60.27","80","0","0","0"
"02:13:24.251019","0.830026000","0.002784000","14","60","47.76.60.27","80","100.64.0.2","43674","0","0","1"
"02:13:24.372956","0.951963000","0.124721000","15","52","100.64.0.2","43674","47.76.60.27","80","0","1","1"
"02:13:24.372996","0.952003000","0.124761000","16","100","100.64.0.2","43674","47.76.60.27","80","48","1","1"
"02:13:24.373002","0.952009000","0.124767000","17","100","100.64.0.2","43674","47.76.60.27","80","48","49","1"
"02:13:24.373006","0.952013000","0.124771000","18","78","100.64.0.2","43674","47.76.60.27","80","26","97","1"
"02:13:24.376063","0.955070000","0.127828000","19","52","47.76.60.27","80","100.64.0.2","43674","0","1","97"
"02:13:24.376086","0.955093000","0.127851000","20","52","47.76.60.27","80","100.64.0.2","43674","0","1","123"
"02:13:24.376091","0.955098000","0.127856000","21","296","47.76.60.27","80","100.64.0.2","43674","244","1","123"
"02:13:24.376096","0.955103000","0.127861000","22","296","47.76.60.27","80","100.64.0.2","43674","244","245","123"
"02:13:24.376099","0.955106000","0.127864000","23","296","47.76.60.27","80","100.64.0.2","43674","244","489","123"
"02:13:24.376103","0.955110000","0.127868000","24","296","47.76.60.27","80","100.64.0.2","43674","244","733","123"
"02:13:24.376107","0.955114000","0.127872000","25","296","47.76.60.27","80","100.64.0.2","43674","244","977","123"
"02:13:24.376111","0.955118000","0.127876000","26","296","47.76.60.27","80","100.64.0.2","43674","244","1221","123"
"02:13:24.376115","0.955122000","0.127880000","27","296","47.76.60.27","80","100.64.0.2","43674","244","1465","123"
"02:13:24.376120","0.955127000","0.127885000","28","296","47.76.60.27","80","100.64.0.2","43674","244","1709","123"
"02:13:24.376124","0.955131000","0.127889000","29","296","47.76.60.27","80","100.64.0.2","43674","244","1953","123"
"02:13:24.376130","0.955137000","0.127895000","30","296","47.76.60.27","80","100.64.0.2","43674","244","2197","123"
"02:13:24.497979","1.076986000","0.249744000","31","52","100.64.0.2","43674","47.76.60.27","80","0","123","245"
"02:13:24.498000","1.077007000","0.249765000","32","52","100.64.0.2","43674","47.76.60.27","80","0","123","489"
"02:13:24.498005","1.077012000","0.249770000","33","52","100.64.0.2","43674","47.76.60.27","80","0","123","733"
"02:13:24.498009","1.077016000","0.249774000","34","52","100.64.0.2","43674","47.76.60.27","80","0","123","977"
"02:13:24.502097","1.081104000","0.253862000","35","296","47.76.60.27","80","100.64.0.2","43674","244","2441","123"
"02:13:24.502144","1.081151000","0.253909000","36","296","47.76.60.27","80","100.64.0.2","43674","244","2685","123"
"02:13:24.502158","1.081165000","0.253923000","37","296","47.76.60.27","80","100.64.0.2","43674","244","2929","123"
"02:13:24.502164","1.081171000","0.253929000","38","296","47.76.60.27","80","100.64.0.2","43674","244","3173","123"
"02:13:24.502168","1.081175000","0.253933000","39","296","47.76.60.27","80","100.64.0.2","43674","244","3417","123"
"02:13:24.502172","1.081179000","0.253937000","40","296","47.76.60.27","80","100.64.0.2","43674","244","3661","123"
"02:13:24.502176","1.081183000","0.253941000","41","296","47.76.60.27","80","100.64.0.2","43674","244","3905","123"
"02:13:24.502182","1.081189000","0.253947000","42","296","47.76.60.27","80","100.64.0.2","43674","244","4149","123"
"02:13:24.561119","1.140126000","0.312884000","43","52","100.64.0.2","43674","47.76.60.27","80","0","123","1221"
"02:13:24.561136","1.140143000","0.312901000","44","52","100.64.0.2","43674","47.76.60.27","80","0","123","1465"
"02:13:24.561139","1.140146000","0.312904000","45","52","100.64.0.2","43674","47.76.60.27","80","0","123","1709"
"02:13:24.561142","1.140149000","0.312907000","46","52","100.64.0.2","43674","47.76.60.27","80","0","123","1953"
"02:13:24.561145","1.140152000","0.312910000","47","52","100.64.0.2","43674","47.76.60.27","80","0","123","2197"
"02:13:24.563911","1.142918000","0.315676000","48","296","47.76.60.27","80","100.64.0.2","43674","244","4393","123"
"02:13:24.563933","1.142940000","0.315698000","49","296","47.76.60.27","80","100.64.0.2","43674","244","4637","123"
"02:13:24.563937","1.142944000","0.315702000","50","296","47.76.60.27","80","100.64.0.2","43674","244","4881","123"
"02:13:24.563942","1.142949000","0.315707000","51","296","47.76.60.27","80","100.64.0.2","43674","244","5125","123"
"02:13:24.563945","1.142952000","0.315710000","52","296","47.76.60.27","80","100.64.0.2","43674","244","5369","123"
"02:13:24.563950","1.142957000","0.315715000","53","296","47.76.60.27","80","100.64.0.2","43674","244","5613","123"
"02:13:24.563955","1.142962000","0.315720000","54","296","47.76.60.27","80","100.64.0.2","43674","244","5857","123"
"02:13:24.563959","1.142966000","0.315724000","55","296","47.76.60.27","80","100.64.0.2","43674","244","6101","123"
"02:13:24.563965","1.142972000","0.315730000","56","296","47.76.60.27","80","100.64.0.2","43674","244","6345","123"
"02:13:24.563969","1.142976000","0.315734000","57","296","47.76.60.27","80","100.64.0.2","43674","244","6589","123"
"02:13:24.622897","1.201904000","0.374662000","58","52","100.64.0.2","43674","47.76.60.27","80","0","123","2441"
"02:13:24.622915","1.201922000","0.374680000","59","52","100.64.0.2","43674","47.76.60.27","80","0","123","2685"
"02:13:24.622918","1.201925000","0.374683000","60","52","100.64.0.2","43674","47.76.60.27","80","0","123","2929"
"02:13:24.622921","1.201928000","0.374686000","61","52","100.64.0.2","43674","47.76.60.27","80","0","123","3173"
"02:13:24.622924","1.201931000","0.374689000","62","52","100.64.0.2","43674","47.76.60.27","80","0","123","3417"
"02:13:24.625639","1.204646000","0.377404000","63","296","47.76.60.27","80","100.64.0.2","43674","244","6833","123"
"02:13:24.625658","1.204665000","0.377423000","64","296","47.76.60.27","80","100.64.0.2","43674","244","7077","123"
"02:13:24.625662","1.204669000","0.377427000","65","296","47.76.60.27","80","100.64.0.2","43674","244","7321","123"
