_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:46:58.253312","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"11:46:58.256515","0.003203000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"11:46:58.437007","0.183695000",,"3","76",,,,,,,
"11:46:58.439565","0.186253000",,"4","69","100.64.0.2",,"100.64.0.1",,,,
"11:46:58.442749","0.189437000",,"5","153","100.64.0.1",,"100.64.0.2",,,,
"11:46:58.627071","0.373759000",,"6","69","100.64.0.2",,"100.64.0.1",,,,
"11:46:58.630247","0.376935000",,"7","101","100.64.0.1",,"100.64.0.2",,,,
"11:46:58.756992","0.503680000",,"8","76",,,,,,,
"11:46:58.790162","0.536850000",,"9","76",,,,,,,
"11:46:58.815874","0.562562000",,"10","69","100.64.0.2",,"100.64.0.1",,,,
"11:46:58.818961","0.565649000",,"11","153","100.64.0.1",,"100.64.0.2",,,,
"11:46:59.001172","0.747860000","0.000000000","12","60","100.64.0.2","44908","47.76.60.27","80","0","0","0"
"11:46:59.004050","0.750738000","0.002878000","13","60","47.76.60.27","80","100.64.0.2","44908","0","0","1"
"11:46:59.189895","0.936583000","0.188723000","14","52","100.64.0.2","44908","47.76.60.27","80","0","1","1"
"11:46:59.189916","0.936604000","0.188744000","15","100","100.64.0.2","44908","47.76.60.27","80","48","1","1"
"11:46:59.189920","0.936608000","0.188748000","16","100","100.64.0.2","44908","47.76.60.27","80","48","49","1"
"11:46:59.189923","0.936611000","0.188751000","17","78","100.64.0.2","44908","47.76.60.27","80","26","97","1"
"11:46:59.192925","0.939613000","0.191753000","18","52","47.76.60.27","80","100.64.0.2","44908","0","1","97"
"11:46:59.192945","0.939633000","0.191773000","19","52","47.76.60.27","80","100.64.0.2","44908","0","1","123"
"11:46:59.192949","0.939637000","0.191777000","20","296","47.76.60.27","80","100.64.0.2","44908","244","1","123"
"11:46:59.192952","0.939640000","0.191780000","21","296","47.76.60.27","80","100.64.0.2","44908","244","245","123"
"11:46:59.192955","0.939643000","0.191783000","22","296","47.76.60.27","80","100.64.0.2","44908","244","489","123"
"11:46:59.192958","0.939646000","0.191786000","23","296","47.76.60.27","80","100.64.0.2","44908","244","733","123"
"11:46:59.192972","0.939660000","0.191800000","24","296","47.76.60.27","80","100.64.0.2","44908","244","977","123"
"11:46:59.192975","0.939663000","0.191803000","25","296","47.76.60.27","80","100.64.0.2","44908","244","1221","123"
"11:46:59.192978","0.939666000","0.191806000","26","296","47.76.60.27","80","100.64.0.2","44908","244","1465","123"
"11:46:59.192981","0.939669000","0.191809000","27","296","47.76.60.27","80","100.64.0.2","44908","244","1709","123"
"11:46:59.192984","0.939672000","0.191812000","28","296","47.76.60.27","80","100.64.0.2","44908","244","1953","123"
"11:46:59.192987","0.939675000","0.191815000","29","296","47.76.60.27","80","100.64.0.2","44908","244","2197","123"
"11:46:59.376954","1.123642000","0.375782000","30","52","100.64.0.2","44908","47.76.60.27","80","0","123","245"
"11:46:59.376997","1.123685000","0.375825000","31","52","100.64.0.2","44908","47.76.60.27","80","0","123","489"
"11:46:59.377002","1.123690000","0.375830000","32","52","100.64.0.2","44908","47.76.60.27","80","0","123","733"
"11:46:59.377006","1.123694000","0.375834000","33","52","100.64.0.2","44908","47.76.60.27","80","0","123","977"
"11:46:59.379781","1.126469000","0.378609000","34","296","47.76.60.27","80","100.64.0.2","44908","244","2441","123"
"11:46:59.379807","1.126495000","0.378635000","35","296","47.76.60.27","80","100.64.0.2","44908","244","2685","123"
"11:46:59.379812","1.126500000","0.378640000","36","296","47.76.60.27","80","100.64.0.2","44908","244","2929","123"
"11:46:59.379816","1.126504000","0.378644000","37","296","47.76.60.27","80","100.64.0.2","44908","244","3173","123"
"11:46:59.379820","1.126508000","0.378648000","38","296","47.76.60.27","80","100.64.0.2","44908","244","3417","123"
"11:46:59.379824","1.126512000","0.378652000","39","296","47.76.60.27","80","100.64.0.2","44908","244","3661","123"
"11:46:59.440104","1.186792000","0.438932000","40","52","100.64.0.2","44908","47.76.60.27","80","0","123","1221"
"11:46:59.440125","1.186813000","0.438953000","41","52","100.64.0.2","44908","47.76.60.27","80","0","123","1465"
"11:46:59.440128","1.186816000","0.438956000","42","52","100.64.0.2","44908","47.76.60.27","80","0","123","1709"
"11:46:59.440131","1.186819000","0.438959000","43","52","100.64.0.2","44908","47.76.60.27","80","0","123","1953"
"11:46:59.440135","1.186823000","0.438963000","44","52","100.64.0.2","44908","47.76.60.27","80","0","123","2197"
"11:46:59.442949","1.189637000","0.441777000","45","296","47.76.60.27","80","100.64.0.2","44908","244","3905","123"
"11:46:59.442969","1.189657000","0.441797000","46","296","47.76.60.27","80","100.64.0.2","44908","244","4149","123"
"11:46:59.442973","1.189661000","0.441801000","47","296","47.76.60.27","80","100.64.0.2","44908","244","4393","123"
"11:46:59.442976","1.189664000","0.441804000","48","296","47.76.60.27","80","100.64.0.2","44908","244","4637","123"
"11:46:59.442978","1.189666000","0.441806000","49","296","47.76.60.27","80","100.64.0.2","44908","244","4881","123"
"11:46:59.442981","1.189669000","0.441809000","50","296","47.76.60.27","80","100.64.0.2","44908","244","5125","123"
