_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"04:37:59.200990","0.000000000",,"1","76",,,,,,,
"04:37:59.216982","0.015992000",,"2","76",,,,,,,
"04:37:59.226934","0.025944000",,"3","69","100.64.0.2",,"100.64.0.1",,,,
"04:37:59.230000","0.029010000",,"4","101","100.64.0.1",,"100.64.0.2",,,,
"04:37:59.234088","0.033098000",,"5","76",,,,,,,
"04:37:59.302111","0.101121000",,"6","76",,,,,,,
"04:37:59.414829","0.213839000",,"7","69","100.64.0.2",,"100.64.0.1",,,,
"04:37:59.417927","0.216937000",,"8","153","100.64.0.1",,"100.64.0.2",,,,
"04:37:59.601299","0.400309000",,"9","69","100.64.0.2",,"100.64.0.1",,,,
"04:37:59.604427","0.403437000",,"10","101","100.64.0.1",,"100.64.0.2",,,,
"04:37:59.788931","0.587941000",,"11","69","100.64.0.2",,"100.64.0.1",,,,
"04:37:59.792056","0.591066000",,"12","153","100.64.0.1",,"100.64.0.2",,,,
"04:37:59.976315","0.775325000","0.000000000","13","60","100.64.0.2","42198","47.76.60.27","80","0","0","0"
"04:37:59.979057","0.778067000","0.002742000","14","60","47.76.60.27","80","100.64.0.2","42198","0","0","1"
"04:38:00.163875","0.962885000","0.187560000","15","52","100.64.0.2","42198","47.76.60.27","80","0","1","1"
"04:38:00.163893","0.962903000","0.187578000","16","100","100.64.0.2","42198","47.76.60.27","80","48","1","1"
"04:38:00.163897","0.962907000","0.187582000","17","100","100.64.0.2","42198","47.76.60.27","80","48","49","1"
"04:38:00.163900","0.962910000","0.187585000","18","78","100.64.0.2","42198","47.76.60.27","80","26","97","1"
"04:38:00.166893","0.965903000","0.190578000","19","52","47.76.60.27","80","100.64.0.2","42198","0","1","97"
"04:38:00.166915","0.965925000","0.190600000","20","52","47.76.60.27","80","100.64.0.2","42198","0","1","123"
"04:38:00.166919","0.965929000","0.190604000","21","296","47.76.60.27","80","100.64.0.2","42198","244","1","123"
"04:38:00.166922","0.965932000","0.190607000","22","296","47.76.60.27","80","100.64.0.2","42198","244","245","123"
"04:38:00.166926","0.965936000","0.190611000","23","296","47.76.60.27","80","100.64.0.2","42198","244","489","123"
"04:38:00.166929","0.965939000","0.190614000","24","296","47.76.60.27","80","100.64.0.2","42198","244","733","123"
"04:38:00.166931","0.965941000","0.190616000","25","296","47.76.60.27","80","100.64.0.2","42198","244","977","123"
"04:38:00.166938","0.965948000","0.190623000","26","296","47.76.60.27","80","100.64.0.2","42198","244","1221","123"
"04:38:00.166944","0.965954000","0.190629000","27","296","47.76.60.27","80","100.64.0.2","42198","244","1465","123"
"04:38:00.166949","0.965959000","0.190634000","28","296","47.76.60.27","80","100.64.0.2","42198","244","1709","123"
"04:38:00.166953","0.965963000","0.190638000","29","296","47.76.60.27","80","100.64.0.2","42198","244","1953","123"
"04:38:00.166957","0.965967000","0.190642000","30","296","47.76.60.27","80","100.64.0.2","42198","244","2197","123"
"04:38:00.350813","1.149823000","0.374498000","31","52","100.64.0.2","42198","47.76.60.27","80","0","123","245"
"04:38:00.350830","1.149840000","0.374515000","32","52","100.64.0.2","42198","47.76.60.27","80","0","123","489"
"04:38:00.350834","1.149844000","0.374519000","33","52","100.64.0.2","42198","47.76.60.27","80","0","123","733"
"04:38:00.350837","1.149847000","0.374522000","34","52","100.64.0.2","42198","47.76.60.27","80","0","123","977"
"04:38:00.353605","1.152615000","0.377290000","35","296","47.76.60.27","80","100.64.0.2","42198","244","2441","123"
"04:38:00.353624","1.152634000","0.377309000","36","296","47.76.60.27","80","100.64.0.2","42198","244","2685","123"
"04:38:00.353627","1.152637000","0.377312000","37","296","47.76.60.27","80","100.64.0.2","42198","244","2929","123"
"04:38:00.353631","1.152641000","0.377316000","38","296","47.76.60.27","80","100.64.0.2","42198","244","3173","123"
