_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"06:31:03.990137","0.000000000",,"1","76",,,,,,,
"06:31:04.052997","0.062860000",,"2","76",,,,,,,
"06:31:04.075632","0.085495000",,"3","69","100.64.0.2",,"100.64.0.1",,,,
"06:31:04.078846","0.088709000",,"4","101","100.64.0.1",,"100.64.0.2",,,,
"06:31:04.263413","0.273276000",,"5","69","100.64.0.2",,"100.64.0.1",,,,
"06:31:04.266631","0.276494000",,"6","153","100.64.0.1",,"100.64.0.2",,,,
"06:31:04.450892","0.460755000",,"7","69","100.64.0.2",,"100.64.0.1",,,,
"06:31:04.452989","0.462852000",,"8","76",,,,,,,
"06:31:04.454011","0.463874000",,"9","101","100.64.0.1",,"100.64.0.2",,,,
"06:31:04.614134","0.623997000",,"10","76",,,,,,,
"06:31:04.638688","0.648551000",,"11","69","100.64.0.2",,"100.64.0.1",,,,
"06:31:04.641781","0.651644000",,"12","153","100.64.0.1",,"100.64.0.2",,,,
"06:31:04.825286","0.835149000","0.000000000","13","60","100.64.0.2","34128","47.76.60.27","80","0","0","0"
"06:31:04.828066","0.837929000","0.002780000","14","60","47.76.60.27","80","100.64.0.2","34128","0","0","1"
"06:31:04.949864","0.959727000","0.124578000","15","52","100.64.0.2","34128","47.76.60.27","80","0","1","1"
"06:31:04.949887","0.959750000","0.124601000","16","100","100.64.0.2","34128","47.76.60.27","80","48","1","1"
"06:31:04.949891","0.959754000","0.124605000","17","100","100.64.0.2","34128","47.76.60.27","80","48","49","1"
"06:31:04.949896","0.959759000","0.124610000","18","78","100.64.0.2","34128","47.76.60.27","80","26","97","1"
"06:31:04.952534","0.962397000","0.127248000","19","52","47.76.60.27","80","100.64.0.2","34128","0","1","97"
"06:31:04.952552","0.962415000","0.127266000","20","52","47.76.60.27","80","100.64.0.2","34128","0","1","123"
"06:31:04.952555","0.962418000","0.127269000","21","296","47.76.60.27","80","100.64.0.2","34128","244","1","123"
"06:31:04.952558","0.962421000","0.127272000","22","296","47.76.60.27","80","100.64.0.2","34128","244","245","123"
"06:31:04.952561","0.962424000","0.127275000","23","296","47.76.60.27","80","100.64.0.2","34128","244","489","123"
"06:31:04.952564","0.962427000","0.127278000","24","296","47.76.60.27","80","100.64.0.2","34128","244","733","123"
"06:31:04.952567","0.962430000","0.127281000","25","296","47.76.60.27","80","100.64.0.2","34128","244","977","123"
"06:31:04.952571","0.962434000","0.127285000","26","296","47.76.60.27","80","100.64.0.2","34128","244","1221","123"
