_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"20:56:25.319948","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"20:56:25.323044","0.003096000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"20:56:25.517973","0.198025000",,"3","69","100.64.0.2",,"100.64.0.1",,,,
"20:56:25.521251","0.201303000",,"4","153","100.64.0.1",,"100.64.0.2",,,,
"20:56:25.694406","0.374458000",,"5","69","100.64.0.2",,"100.64.0.1",,,,
"20:56:25.697528","0.377580000",,"6","101","100.64.0.1",,"100.64.0.2",,,,
"20:56:25.862137","0.542189000",,"7","76",,,,,,,
"20:56:25.882135","0.562187000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"20:56:25.885208","0.565260000",,"9","153","100.64.0.1",,"100.64.0.2",,,,
"20:56:25.988997","0.669049000",,"10","76",,,,,,,
"20:56:26.068188","0.748240000","0.000000000","11","60","100.64.0.2","49436","47.76.60.27","80","0","0","0"
"20:56:26.070982","0.751034000","0.002794000","12","60","47.76.60.27","80","100.64.0.2","49436","0","0","1"
"20:56:26.084990","0.765042000",,"13","76",,,,,,,
"20:56:26.256835","0.936887000","0.188647000","14","52","100.64.0.2","49436","47.76.60.27","80","0","1","1"
"20:56:26.256854","0.936906000","0.188666000","15","100","100.64.0.2","49436","47.76.60.27","80","48","1","1"
"20:56:26.256858","0.936910000","0.188670000","16","100","100.64.0.2","49436","47.76.60.27","80","48","49","1"
"20:56:26.256862","0.936914000","0.188674000","17","78","100.64.0.2","49436","47.76.60.27","80","26","97","1"
"20:56:26.259682","0.939734000","0.191494000","18","52","47.76.60.27","80","100.64.0.2","49436","0","1","97"
"20:56:26.259703","0.939755000","0.191515000","19","52","47.76.60.27","80","100.64.0.2","49436","0","1","123"
"20:56:26.259708","0.939760000","0.191520000","20","296","47.76.60.27","80","100.64.0.2","49436","244","1","123"
"20:56:26.259711","0.939763000","0.191523000","21","296","47.76.60.27","80","100.64.0.2","49436","244","245","123"
"20:56:26.259714","0.939766000","0.191526000","22","296","47.76.60.27","80","100.64.0.2","49436","244","489","123"
"20:56:26.259717","0.939769000","0.191529000","23","296","47.76.60.27","80","100.64.0.2","49436","244","733","123"
