_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"04:38:30.304503","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"04:38:30.307525","0.003022000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"04:38:30.372991","0.068488000",,"3","76",,,,,,,
"04:38:30.492801","0.188298000",,"4","69","100.64.0.2",,"100.64.0.1",,,,
"04:38:30.495970","0.191467000",,"5","153","100.64.0.1",,"100.64.0.2",,,,
"04:38:30.596995","0.292492000",,"6","76",,,,,,,
"04:38:30.679726","0.375223000",,"7","69","100.64.0.2",,"100.64.0.1",,,,
"04:38:30.682784","0.378281000",,"8","101","100.64.0.1",,"100.64.0.2",,,,
"04:38:30.726163","0.421660000",,"9","76",,,,,,,
"04:38:30.867497","0.562994000",,"10","69","100.64.0.2",,"100.64.0.1",,,,
"04:38:30.870542","0.566039000",,"11","153","100.64.0.1",,"100.64.0.2",,,,
"04:38:30.918142","0.613639000",,"12","76",,,,,,,
"04:38:31.053584","0.749081000","0.000000000","13","60","100.64.0.2","55324","47.76.60.27","80","0","0","0"
"04:38:31.056423","0.751920000","0.002839000","14","60","47.76.60.27","80","100.64.0.2","55324","0","0","1"
"04:38:31.179248","0.874745000","0.125664000","15","52","100.64.0.2","55324","47.76.60.27","80","0","1","1"
"04:38:31.179280","0.874777000","0.125696000","16","100","100.64.0.2","55324","47.76.60.27","80","48","1","1"
"04:38:31.179284","0.874781000","0.125700000","17","100","100.64.0.2","55324","47.76.60.27","80","48","49","1"
"04:38:31.179288","0.874785000","0.125704000","18","78","100.64.0.2","55324","47.76.60.27","80","26","97","1"
"04:38:31.182293","0.877790000","0.128709000","19","52","47.76.60.27","80","100.64.0.2","55324","0","1","97"
"04:38:31.182310","0.877807000","0.128726000","20","52","47.76.60.27","80","100.64.0.2","55324","0","1","123"
"04:38:31.182314","0.877811000","0.128730000","21","296","47.76.60.27","80","100.64.0.2","55324","244","1","123"
"04:38:31.182317","0.877814000","0.128733000","22","296","47.76.60.27","80","100.64.0.2","55324","244","245","123"
"04:38:31.182320","0.877817000","0.128736000","23","296","47.76.60.27","80","100.64.0.2","55324","244","489","123"
"04:38:31.182323","0.877820000","0.128739000","24","296","47.76.60.27","80","100.64.0.2","55324","244","733","123"
"04:38:31.182326","0.877823000","0.128742000","25","296","47.76.60.27","80","100.64.0.2","55324","244","977","123"
"04:38:31.182329","0.877826000","0.128745000","26","296","47.76.60.27","80","100.64.0.2","55324","244","1221","123"
"04:38:31.182332","0.877829000","0.128748000","27","296","47.76.60.27","80","100.64.0.2","55324","244","1465","123"
"04:38:31.182335","0.877832000","0.128751000","28","296","47.76.60.27","80","100.64.0.2","55324","244","1709","123"
"04:38:31.182338","0.877835000","0.128754000","29","296","47.76.60.27","80","100.64.0.2","55324","244","1953","123"
"04:38:31.182341","0.877838000","0.128757000","30","296","47.76.60.27","80","100.64.0.2","55324","244","2197","123"
"04:38:31.304187","0.999684000","0.250603000","31","52","100.64.0.2","55324","47.76.60.27","80","0","123","245"
"04:38:31.304204","0.999701000","0.250620000","32","52","100.64.0.2","55324","47.76.60.27","80","0","123","489"
