_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"16:34:05.128808","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"16:34:05.131851","0.003043000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"16:34:05.316097","0.187289000",,"3","69","100.64.0.2",,"100.64.0.1",,,,
"16:34:05.319186","0.190378000",,"4","153","100.64.0.1",,"100.64.0.2",,,,
"16:34:05.478153","0.349345000",,"5","76",,,,,,,
"16:34:05.503157","0.374349000",,"6","69","100.64.0.2",,"100.64.0.1",,,,
"16:34:05.506282","0.377474000",,"7","101","100.64.0.1",,"100.64.0.2",,,,
"16:34:05.508981","0.380173000",,"8","76",,,,,,,
"16:34:05.691757","0.562949000",,"9","69","100.64.0.2",,"100.64.0.1",,,,
"16:34:05.694857","0.566049000",,"10","153","100.64.0.1",,"100.64.0.2",,,,
"16:34:05.796991","0.668183000",,"11","76",,,,,,,
"16:34:05.877178","0.748370000","0.000000000","12","60","100.64.0.2","52078","47.76.60.27","80","0","0","0"
"16:34:05.879964","0.751156000","0.002786000","13","60","47.76.60.27","80","100.64.0.2","52078","0","0","1"
"16:34:05.894142","0.765334000",,"14","76",,,,,,,
"16:34:06.065756","0.936948000","0.188578000","15","52","100.64.0.2","52078","47.76.60.27","80","0","1","1"
"16:34:06.065773","0.936965000","0.188595000","16","100","100.64.0.2","52078","47.76.60.27","80","48","1","1"
"16:34:06.065776","0.936968000","0.188598000","17","100","100.64.0.2","52078","47.76.60.27","80","48","49","1"
"16:34:06.065779","0.936971000","0.188601000","18","78","100.64.0.2","52078","47.76.60.27","80","26","97","1"
"16:34:06.068639","0.939831000","0.191461000","19","52","47.76.60.27","80","100.64.0.2","52078","0","1","97"
"16:34:06.068660","0.939852000","0.191482000","20","52","47.76.60.27","80","100.64.0.2","52078","0","1","123"
"16:34:06.068665","0.939857000","0.191487000","21","296","47.76.60.27","80","100.64.0.2","52078","244","1","123"
"16:34:06.068668","0.939860000","0.191490000","22","296","47.76.60.27","80","100.64.0.2","52078","244","245","123"
"16:34:06.068672","0.939864000","0.191494000","23","296","47.76.60.27","80","100.64.0.2","52078","244","489","123"
"16:34:06.068677","0.939869000","0.191499000","24","296","47.76.60.27","80","100.64.0.2","52078","244","733","123"
"16:34:06.068682","0.939874000","0.191504000","25","296","47.76.60.27","80","100.64.0.2","52078","244","977","123"
"16:34:06.068685","0.939877000","0.191507000","26","296","47.76.60.27","80","100.64.0.2","52078","244","1221","123"
"16:34:06.068689","0.939881000","0.191511000","27","296","47.76.60.27","80","100.64.0.2","52078","244","1465","123"
"16:34:06.068693","0.939885000","0.191515000","28","296","47.76.60.27","80","100.64.0.2","52078","244","1709","123"
"16:34:06.068697","0.939889000","0.191519000","29","296","47.76.60.27","80","100.64.0.2","52078","244","1953","123"
"16:34:06.068700","0.939892000","0.191522000","30","296","47.76.60.27","80","100.64.0.2","52078","244","2197","123"
"16:34:06.252587","1.123779000","0.375409000","31","52","100.64.0.2","52078","47.76.60.27","80","0","123","245"
"16:34:06.252610","1.123802000","0.375432000","32","52","100.64.0.2","52078","47.76.60.27","80","0","123","489"
"16:34:06.252614","1.123806000","0.375436000","33","52","100.64.0.2","52078","47.76.60.27","80","0","123","733"
"16:34:06.252617","1.123809000","0.375439000","34","52","100.64.0.2","52078","47.76.60.27","80","0","123","977"
"16:34:06.255377","1.126569000","0.378199000","35","296","47.76.60.27","80","100.64.0.2","52078","244","2441","123"
"16:34:06.255397","1.126589000","0.378219000","36","296","47.76.60.27","80","100.64.0.2","52078","244","2685","123"
"16:34:06.255401","1.126593000","0.378223000","37","296","47.76.60.27","80","100.64.0.2","52078","244","2929","123"
"16:34:06.255404","1.126596000","0.378226000","38","296","47.76.60.27","80","100.64.0.2","52078","244","3173","123"
"16:34:06.255407","1.126599000","0.378229000","39","296","47.76.60.27","80","100.64.0.2","52078","244","3417","123"
"16:34:06.255410","1.126602000","0.378232000","40","296","47.76.60.27","80","100.64.0.2","52078","244","3661","123"
"16:34:06.255413","1.126605000","0.378235000","41","296","47.76.60.27","80","100.64.0.2","52078","244","3905","123"
"16:34:06.255416","1.126608000","0.378238000","42","296","47.76.60.27","80","100.64.0.2","52078","244","4149","123"
"16:34:06.315820","1.187012000","0.438642000","43","52","100.64.0.2","52078","47.76.60.27","80","0","123","1221"
"16:34:06.315838","1.187030000","0.438660000","44","52","100.64.0.2","52078","47.76.60.27","80","0","123","1465"
"16:34:06.315842","1.187034000","0.438664000","45","52","100.64.0.2","52078","47.76.60.27","80","0","123","1709"
"16:34:06.315845","1.187037000","0.438667000","46","52","100.64.0.2","52078","47.76.60.27","80","0","123","1953"
"16:34:06.315848","1.187040000","0.438670000","47","52","100.64.0.2","52078","47.76.60.27","80","0","123","2197"
"16:34:06.318581","1.189773000","0.441403000","48","296","47.76.60.27","80","100.64.0.2","52078","244","4393","123"
"16:34:06.318602","1.189794000","0.441424000","49","296","47.76.60.27","80","100.64.0.2","52078","244","4637","123"
"16:34:06.318605","1.189797000","0.441427000","50","296","47.76.60.27","80","100.64.0.2","52078","244","4881","123"
"16:34:06.318609","1.189801000","0.441431000","51","296","47.76.60.27","80","100.64.0.2","52078","244","5125","123"
"16:34:06.318612","1.189804000","0.441434000","52","296","47.76.60.27","80","100.64.0.2","52078","244","5369","123"
"16:34:06.318614","1.189806000","0.441436000","53","296","47.76.60.27","80","100.64.0.2","52078","244","5613","123"
"16:34:06.377964","1.249156000","0.500786000","54","52","100.64.0.2","52078","47.76.60.27","80","0","123","2441"
"16:34:06.380762","1.251954000","0.503584000","55","296","47.76.60.27","80","100.64.0.2","52078","244","5857","123"
"16:34:06.441276","1.312468000","0.564098000","56","52","100.64.0.2","52078","47.76.60.27","80","0","123","2685"
"16:34:06.441294","1.312486000","0.564116000","57","52","100.64.0.2","52078","47.76.60.27","80","0","123","2929"
"16:34:06.441298","1.312490000","0.564120000","58","52","100.64.0.2","52078","47.76.60.27","80","0","123","3173"
"16:34:06.441301","1.312493000","0.564123000","59","52","100.64.0.2","52078","47.76.60.27","80","0","123","3417"
"16:34:06.441304","1.312496000","0.564126000","60","52","100.64.0.2","52078","47.76.60.27","80","0","123","3661"
"16:34:06.444118","1.315310000","0.566940000","61","296","47.76.60.27","80","100.64.0.2","52078","244","6101","123"
"16:34:06.444143","1.315335000","0.566965000","62","296","47.76.60.27","80","100.64.0.2","52078","244","6345","123"
"16:34:06.444147","1.315339000","0.566969000","63","296","47.76.60.27","80","100.64.0.2","52078","244","6589","123"
