_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"02:16:57.908624","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"02:16:57.911701","0.003077000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"02:16:58.084995","0.176371000",,"3","76",,,,,,,
"02:16:58.096199","0.187575000",,"4","69","100.64.0.2",,"100.64.0.1",,,,
"02:16:58.099274","0.190650000",,"5","153","100.64.0.1",,"100.64.0.2",,,,
"02:16:58.246109","0.337485000",,"6","76",,,,,,,
"02:16:58.276989","0.368365000",,"7","76",,,,,,,
"02:16:58.283262","0.374638000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"02:16:58.286315","0.377691000",,"9","101","100.64.0.1",,"100.64.0.2",,,,
"02:16:58.470173","0.561549000",,"10","76",,,,,,,
"02:16:58.471591","0.562967000",,"11","69","100.64.0.2",,"100.64.0.1",,,,
"02:16:58.474678","0.566054000",,"12","153","100.64.0.1",,"100.64.0.2",,,,
"02:16:58.657714","0.749090000","0.000000000","13","60","100.64.0.2","38982","47.76.60.27","80","0","0","0"
"02:16:58.660486","0.751862000","0.002772000","14","60","47.76.60.27","80","100.64.0.2","38982","0","0","1"
"02:16:58.782266","0.873642000","0.124552000","15","52","100.64.0.2","38982","47.76.60.27","80","0","1","1"
"02:16:58.845395","0.936771000","0.187681000","16","100","100.64.0.2","38982","47.76.60.27","80","48","1","1"
"02:16:58.845410","0.936786000","0.187696000","17","100","100.64.0.2","38982","47.76.60.27","80","48","49","1"
"02:16:58.845414","0.936790000","0.187700000","18","78","100.64.0.2","38982","47.76.60.27","80","26","97","1"
"02:16:58.847009","0.938385000","0.189295000","19","52","47.76.60.27","80","100.64.0.2","38982","0","1","49"
"02:16:58.847022","0.938398000","0.189308000","20","52","47.76.60.27","80","100.64.0.2","38982","0","1","97"
"02:16:58.848196","0.939572000","0.190482000","21","52","47.76.60.27","80","100.64.0.2","38982","0","1","123"
