_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"02:17:28.933204","0.000000000",,"1","69","100.64.0.2",,"100.64.0.1",,,,
"02:17:28.936424","0.003220000",,"2","101","100.64.0.1",,"100.64.0.2",,,,
"02:17:29.002098","0.068894000",,"3","76",,,,,,,
"02:17:29.120188","0.186984000",,"4","69","100.64.0.2",,"100.64.0.1",,,,
"02:17:29.123205","0.190001000",,"5","153","100.64.0.1",,"100.64.0.2",,,,
"02:17:29.306518","0.373314000",,"6","69","100.64.0.2",,"100.64.0.1",,,,
"02:17:29.309606","0.376402000",,"7","101","100.64.0.1",,"100.64.0.2",,,,
"02:17:29.495904","0.562700000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"02:17:29.499015","0.565811000",,"9","153","100.64.0.1",,"100.64.0.2",,,,
"02:17:29.572982","0.639778000",,"10","76",,,,,,,
"02:17:29.606136","0.672932000",,"11","76",,,,,,,
"02:17:29.681696","0.748492000","0.000000000","12","60","100.64.0.2","52632","47.76.60.27","80","0","0","0"
"02:17:29.684600","0.751396000","0.002904000","13","60","47.76.60.27","80","100.64.0.2","52632","0","0","1"
"02:17:29.732992","0.799788000",,"14","76",,,,,,,
"02:17:29.806282","0.873078000","0.124586000","15","52","100.64.0.2","52632","47.76.60.27","80","0","1","1"
"02:17:29.869442","0.936238000","0.187746000","16","100","100.64.0.2","52632","47.76.60.27","80","48","1","1"
"02:17:29.869461","0.936257000","0.187765000","17","100","100.64.0.2","52632","47.76.60.27","80","48","49","1"
"02:17:29.869465","0.936261000","0.187769000","18","78","100.64.0.2","52632","47.76.60.27","80","26","97","1"
"02:17:29.872408","0.939204000","0.190712000","19","52","47.76.60.27","80","100.64.0.2","52632","0","1","49"
"02:17:29.872429","0.939225000","0.190733000","20","52","47.76.60.27","80","100.64.0.2","52632","0","1","97"
"02:17:29.872432","0.939228000","0.190736000","21","52","47.76.60.27","80","100.64.0.2","52632","0","1","123"
"02:17:29.872435","0.939231000","0.190739000","22","296","47.76.60.27","80","100.64.0.2","52632","244","1","123"
"02:17:29.872439","0.939235000","0.190743000","23","296","47.76.60.27","80","100.64.0.2","52632","244","245","123"
"02:17:29.872442","0.939238000","0.190746000","24","296","47.76.60.27","80","100.64.0.2","52632","244","489","123"
"02:17:29.872445","0.939241000","0.190749000","25","296","47.76.60.27","80","100.64.0.2","52632","244","733","123"
"02:17:29.872452","0.939248000","0.190756000","26","296","47.76.60.27","80","100.64.0.2","52632","244","977","123"
"02:17:29.872458","0.939254000","0.190762000","27","296","47.76.60.27","80","100.64.0.2","52632","244","1221","123"
"02:17:29.872461","0.939257000","0.190765000","28","296","47.76.60.27","80","100.64.0.2","52632","244","1465","123"
"02:17:29.872466","0.939262000","0.190770000","29","296","47.76.60.27","80","100.64.0.2","52632","244","1709","123"
"02:17:29.872470","0.939266000","0.190774000","30","296","47.76.60.27","80","100.64.0.2","52632","244","1953","123"
"02:17:29.872474","0.939270000","0.190778000","31","296","47.76.60.27","80","100.64.0.2","52632","244","2197","123"
"02:17:29.995268","1.062064000","0.313572000","32","52","100.64.0.2","52632","47.76.60.27","80","0","123","245"
"02:17:29.995286","1.062082000","0.313590000","33","52","100.64.0.2","52632","47.76.60.27","80","0","123","489"
"02:17:29.995289","1.062085000","0.313593000","34","52","100.64.0.2","52632","47.76.60.27","80","0","123","733"
"02:17:29.995292","1.062088000","0.313596000","35","52","100.64.0.2","52632","47.76.60.27","80","0","123","977"
"02:17:29.998025","1.064821000","0.316329000","36","296","47.76.60.27","80","100.64.0.2","52632","244","2441","123"
"02:17:29.998051","1.064847000","0.316355000","37","296","47.76.60.27","80","100.64.0.2","52632","244","2685","123"
"02:17:29.998056","1.064852000","0.316360000","38","296","47.76.60.27","80","100.64.0.2","52632","244","2929","123"
"02:17:29.998060","1.064856000","0.316364000","39","296","47.76.60.27","80","100.64.0.2","52632","244","3173","123"
"02:17:29.998064","1.064860000","0.316368000","40","296","47.76.60.27","80","100.64.0.2","52632","244","3417","123"
"02:17:29.998067","1.064863000","0.316371000","41","296","47.76.60.27","80","100.64.0.2","52632","244","3661","123"
"02:17:30.119848","1.186644000","0.438152000","42","52","100.64.0.2","52632","47.76.60.27","80","0","123","1221"
"02:17:30.119875","1.186671000","0.438179000","43","52","100.64.0.2","52632","47.76.60.27","80","0","123","1465"
"02:17:30.119879","1.186675000","0.438183000","44","52","100.64.0.2","52632","47.76.60.27","80","0","123","1709"
"02:17:30.119883","1.186679000","0.438187000","45","52","100.64.0.2","52632","47.76.60.27","80","0","123","1953"
"02:17:30.119888","1.186684000","0.438192000","46","52","100.64.0.2","52632","47.76.60.27","80","0","123","2197"
"02:17:30.119892","1.186688000","0.438196000","47","52","100.64.0.2","52632","47.76.60.27","80","0","123","2441"
"02:17:30.119896","1.186692000","0.438200000","48","52","100.64.0.2","52632","47.76.60.27","80","0","123","2685"
"02:17:30.119900","1.186696000","0.438204000","49","52","100.64.0.2","52632","47.76.60.27","80","0","123","2929"
