_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"19:24:53.416988","0.000000000",,"1","76",,,,,,,
"19:24:53.457986","0.040998000",,"2","69","100.64.0.2",,"100.64.0.1",,,,
"19:24:53.461126","0.044138000",,"3","101","100.64.0.1",,"100.64.0.2",,,,
"19:24:53.542101","0.125113000",,"4","76",,,,,,,
"19:24:53.645759","0.228771000",,"5","69","100.64.0.2",,"100.64.0.1",,,,
"19:24:53.648850","0.231862000",,"6","153","100.64.0.1",,"100.64.0.2",,,,
"19:24:53.828989","0.412001000",,"7","76",,,,,,,
"19:24:53.832452","0.415464000",,"8","69","100.64.0.2",,"100.64.0.1",,,,
"19:24:53.835458","0.418470000",,"9","101","100.64.0.1",,"100.64.0.2",,,,
"19:24:54.019921","0.602933000",,"10","69","100.64.0.2",,"100.64.0.1",,,,
"19:24:54.022925","0.605937000",,"11","153","100.64.0.1",,"100.64.0.2",,,,
"19:24:54.182116","0.765128000",,"12","76",,,,,,,
"19:24:54.207151","0.790163000","0.000000000","13","60","100.64.0.2","39906","47.76.60.27","80","0","0","0"
"19:24:54.209957","0.792969000","0.002806000","14","60","47.76.60.27","80","100.64.0.2","39906","0","0","1"
"19:24:54.394738","0.977750000","0.187587000","15","52","100.64.0.2","39906","47.76.60.27","80","0","1","1"
"19:24:54.394756","0.977768000","0.187605000","16","100","100.64.0.2","39906","47.76.60.27","80","48","1","1"
"19:24:54.394760","0.977772000","0.187609000","17","100","100.64.0.2","39906","47.76.60.27","80","48","49","1"
"19:24:54.394764","0.977776000","0.187613000","18","78","100.64.0.2","39906","47.76.60.27","80","26","97","1"
"19:24:54.397674","0.980686000","0.190523000","19","52","47.76.60.27","80","100.64.0.2","39906","0","1","97"
"19:24:54.397695","0.980707000","0.190544000","20","52","47.76.60.27","80","100.64.0.2","39906","0","1","123"
"19:24:54.397699","0.980711000","0.190548000","21","296","47.76.60.27","80","100.64.0.2","39906","244","1","123"
"19:24:54.397703","0.980715000","0.190552000","22","296","47.76.60.27","80","100.64.0.2","39906","244","245","123"
"19:24:54.397707","0.980719000","0.190556000","23","296","47.76.60.27","80","100.64.0.2","39906","244","489","123"
"19:24:54.397710","0.980722000","0.190559000","24","296","47.76.60.27","80","100.64.0.2","39906","244","733","123"
"19:24:54.397714","0.980726000","0.190563000","25","296","47.76.60.27","80","100.64.0.2","39906","244","977","123"
"19:24:54.397729","0.980741000","0.190578000","26","296","47.76.60.27","80","100.64.0.2","39906","244","1221","123"
"19:24:54.397732","0.980744000","0.190581000","27","296","47.76.60.27","80","100.64.0.2","39906","244","1465","123"
"19:24:54.397736","0.980748000","0.190585000","28","296","47.76.60.27","80","100.64.0.2","39906","244","1709","123"
"19:24:54.397740","0.980752000","0.190589000","29","296","47.76.60.27","80","100.64.0.2","39906","244","1953","123"
"19:24:54.397743","0.980755000","0.190592000","30","296","47.76.60.27","80","100.64.0.2","39906","244","2197","123"
"19:24:54.581542","1.164554000","0.374391000","31","52","100.64.0.2","39906","47.76.60.27","80","0","123","245"
"19:24:54.581560","1.164572000","0.374409000","32","52","100.64.0.2","39906","47.76.60.27","80","0","123","489"
"19:24:54.581564","1.164576000","0.374413000","33","52","100.64.0.2","39906","47.76.60.27","80","0","123","733"
"19:24:54.581567","1.164579000","0.374416000","34","52","100.64.0.2","39906","47.76.60.27","80","0","123","977"
"19:24:54.584238","1.167250000","0.377087000","35","296","47.76.60.27","80","100.64.0.2","39906","244","2441","123"
"19:24:54.584256","1.167268000","0.377105000","36","296","47.76.60.27","80","100.64.0.2","39906","244","2685","123"
"19:24:54.584259","1.167271000","0.377108000","37","296","47.76.60.27","80","100.64.0.2","39906","244","2929","123"
"19:24:54.644668","1.227680000","0.437517000","38","52","100.64.0.2","39906","47.76.60.27","80","0","123","1221"
"19:24:54.644684","1.227696000","0.437533000","39","52","100.64.0.2","39906","47.76.60.27","80","0","123","1465"
"19:24:54.644688","1.227700000","0.437537000","40","52","100.64.0.2","39906","47.76.60.27","80","0","123","1709"
"19:24:54.644691","1.227703000","0.437540000","41","52","100.64.0.2","39906","47.76.60.27","80","0","123","1953"
"19:24:54.644694","1.227706000","0.437543000","42","52","100.64.0.2","39906","47.76.60.27","80","0","123","2197"
"19:24:54.647420","1.230432000","0.440269000","43","296","47.76.60.27","80","100.64.0.2","39906","244","3173","123"
"19:24:54.647439","1.230451000","0.440288000","44","296","47.76.60.27","80","100.64.0.2","39906","244","3417","123"
"19:24:54.647443","1.230455000","0.440292000","45","296","47.76.60.27","80","100.64.0.2","39906","244","3661","123"
"19:24:54.647446","1.230458000","0.440295000","46","296","47.76.60.27","80","100.64.0.2","39906","244","3905","123"
"19:24:54.647449","1.230461000","0.440298000","47","296","47.76.60.27","80","100.64.0.2","39906","244","4149","123"
"19:24:54.647452","1.230464000","0.440301000","48","296","47.76.60.27","80","100.64.0.2","39906","244","4393","123"
"19:24:54.706799","1.289811000","0.499648000","49","52","100.64.0.2","39906","47.76.60.27","80","0","123","2441"
"19:24:54.709520","1.292532000","0.502369000","50","296","47.76.60.27","80","100.64.0.2","39906","244","4637","123"
"19:24:54.769977","1.352989000","0.562826000","51","52","100.64.0.2","39906","47.76.60.27","80","0","123","2685"
"19:24:54.769996","1.353008000","0.562845000","52","52","100.64.0.2","39906","47.76.60.27","80","0","123","2929"
"19:24:54.769999","1.353011000","0.562848000","53","52","100.64.0.2","39906","47.76.60.27","80","0","123","3173"
"19:24:54.772715","1.355727000","0.565564000","54","296","47.76.60.27","80","100.64.0.2","39906","244","4881","123"
"19:24:54.772744","1.355756000","0.565593000","55","296","47.76.60.27","80","100.64.0.2","39906","244","5125","123"
"19:24:54.772748","1.355760000","0.565597000","56","296","47.76.60.27","80","100.64.0.2","39906","244","5369","123"
"19:24:54.772751","1.355763000","0.565600000","57","296","47.76.60.27","80","100.64.0.2","39906","244","5613","123"
"19:24:54.832105","1.415117000","0.624954000","58","52","100.64.0.2","39906","47.76.60.27","80","0","123","3417"
"19:24:54.832122","1.415134000","0.624971000","59","52","100.64.0.2","39906","47.76.60.27","80","0","123","3661"
"19:24:54.832126","1.415138000","0.624975000","60","52","100.64.0.2","39906","47.76.60.27","80","0","123","3905"
"19:24:54.832129","1.415141000","0.624978000","61","52","100.64.0.2","39906","47.76.60.27","80","0","123","4149"
"19:24:54.832132","1.415144000","0.624981000","62","52","100.64.0.2","39906","47.76.60.27","80","0","123","4393"
"19:24:54.834853","1.417865000","0.627702000","63","296","47.76.60.27","80","100.64.0.2","39906","244","5857","123"
"19:24:54.834867","1.417879000","0.627716000","64","296","47.76.60.27","80","100.64.0.2","39906","244","6101","123"
