_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:02:05.203975","0.000000000",,"1","76",,,,,,,
"13:02:05.357099","0.153124000",,"2","69","100.64.0.2",,"100.64.0.1",,,,
"13:02:05.360636","0.156661000",,"3","101","100.64.0.1",,"100.64.0.2",,,,
"13:02:05.451931","0.247956000",,"4","76",,,,,,,
"13:02:05.581066","0.377091000",,"5","76",,,,,,,
"13:02:05.606691","0.402716000",,"6","69","100.64.0.2",,"100.64.0.1",,,,
"13:02:05.610113","0.406138000",,"7","125","100.64.0.1",,"100.64.0.2",,,,
"13:02:05.677085","0.473110000",,"8","76",,,,,,,
"13:02:05.906811","0.702836000",,"9","69","100.64.0.2",,"100.64.0.1",,,,
"13:02:05.910131","0.706156000",,"10","101","100.64.0.1",,"100.64.0.2",,,,
"13:02:06.156451","0.952476000",,"11","69","100.64.0.2",,"100.64.0.1",,,,
"13:02:06.159856","0.955881000",,"12","125","100.64.0.1",,"100.64.0.2",,,,
"13:02:06.455773","1.251798000","0.000000000","13","60","100.64.0.2","34878","47.74.8.123","80","0","0","0"
"13:02:06.507128","1.303153000","0.051355000","14","60","47.74.8.123","80","100.64.0.2","34878","0","0","1"
"13:02:06.756051","1.552076000","0.300278000","15","52","100.64.0.2","34878","47.74.8.123","80","0","1","1"
"13:02:06.756068","1.552093000","0.300295000","16","100","100.64.0.2","34878","47.74.8.123","80","48","1","1"
"13:02:06.756072","1.552097000","0.300299000","17","100","100.64.0.2","34878","47.74.8.123","80","48","49","1"
"13:02:06.756077","1.552102000","0.300304000","18","78","100.64.0.2","34878","47.74.8.123","80","26","97","1"
"13:02:06.809033","1.605058000","0.353260000","19","52","47.74.8.123","80","100.64.0.2","34878","0","1","97"
"13:02:06.809054","1.605079000","0.353281000","20","52","47.74.8.123","80","100.64.0.2","34878","0","1","123"
"13:02:06.809059","1.605084000","0.353286000","21","296","47.74.8.123","80","100.64.0.2","34878","244","1","123"
"13:02:06.809062","1.605087000","0.353289000","22","296","47.74.8.123","80","100.64.0.2","34878","244","245","123"
"13:02:06.809066","1.605091000","0.353293000","23","296","47.74.8.123","80","100.64.0.2","34878","244","489","123"
