_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"17:25:00.312335","60","47.76.60.27","80","100.64.0.2","43826","0","3735654574","759919000","136595413","253723338"
"17:25:00.494237","52","47.76.60.27","80","100.64.0.2","43826","0","3735654575","759919146","136595595","253723521"
"17:25:00.494310","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735654575","759919146","136595595","253723521"
"17:25:00.494317","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735656023","759919146","136595595","253723521"
"17:25:00.494324","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735657471","759919146","136595595","253723521"
"17:25:00.494330","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735658919","759919146","136595595","253723521"
"17:25:00.494336","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735660367","759919146","136595595","253723521"
"17:25:00.494489","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735661815","759919146","136595595","253723521"
"17:25:00.494502","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735663263","759919146","136595595","253723521"
"17:25:00.494508","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735664711","759919146","136595595","253723521"
"17:25:00.494513","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735666159","759919146","136595595","253723521"
"17:25:00.494520","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735667607","759919146","136595595","253723521"
"17:25:00.691164","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735669055","759919146","136595792","253723720"
"17:25:00.691187","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735670503","759919146","136595792","253723720"
"17:25:00.711017","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735671951","759919146","136595812","253723740"
"17:25:00.711052","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735673399","759919146","136595812","253723740"
"17:25:00.732174","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735674847","759919146","136595833","253723760"
"17:25:00.732196","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735676295","759919146","136595833","253723760"
"17:25:00.752276","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735677743","759919146","136595853","253723781"
"17:25:00.752298","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735679191","759919146","136595853","253723781"
"17:25:00.771486","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735680639","759919146","136595872","253723801"
"17:25:00.771509","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735682087","759919146","136595872","253723801"
"17:25:00.791528","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735683535","759919146","136595892","253723820"
"17:25:00.791561","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735684983","759919146","136595892","253723820"
"17:25:00.811682","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735686431","759919146","136595913","253723840"
"17:25:00.811707","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735687879","759919146","136595913","253723840"
"17:25:00.871909","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735689327","759919146","136595973","253723900"
"17:25:00.891046","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735690775","759919146","136595992","253723920"
"17:25:00.911146","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735664711","759919146","136596012","253723941"
"17:25:00.951342","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735692223","759919146","136596052","253723981"
"17:25:00.991532","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735693671","759919146","136596092","253724020"
"17:25:01.031734","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735695119","759919146","136596133","253724060"
"17:25:01.071923","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735696567","759919146","136596173","253724100"
"17:25:01.111213","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735698015","759919146","136596212","253724140"
"17:25:01.151227","1500","47.76.60.27","80","100.64.0.2","43826","1448","3735699463","759919146","136596252","253724181"
