_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"14:12:11.270143","0.000000000","0.000000000","1","52","47.74.8.123","80","100.64.0.5","37832","0","1","1"
"14:12:11.301303","0.031160000","0.031160000","2","1500","47.74.8.123","80","100.64.0.5","37832","1448","1","1"
"14:12:11.301369","0.031226000","0.031226000","3","52","100.64.0.5","37832","47.74.8.123","80","0","1","1449"
"14:12:11.331523","0.061380000","0.061380000","4","1500","47.74.8.123","80","100.64.0.5","37832","1448","1449","1"
"14:12:11.331543","0.061400000","0.061400000","5","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.391563","0.121420000","0.121420000","6","1500","47.74.8.123","80","100.64.0.5","37832","1448","14481","1"
"14:12:11.391573","0.121430000","0.121430000","7","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.422990","0.152847000","0.152847000","8","1500","47.74.8.123","80","100.64.0.5","37832","1448","15929","1"
"14:12:11.423005","0.152862000","0.152862000","9","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.452099","0.181956000","0.181956000","10","1500","47.74.8.123","80","100.64.0.5","37832","1448","17377","1"
"14:12:11.452113","0.181970000","0.181970000","11","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.482099","0.211956000","0.211956000","12","1500","47.74.8.123","80","100.64.0.5","37832","1448","20273","1"
"14:12:11.482118","0.211975000","0.211975000","13","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.513215","0.243072000","0.243072000","14","1500","47.74.8.123","80","100.64.0.5","37832","1448","21721","1"
"14:12:11.513229","0.243086000","0.243086000","15","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.543714","0.273571000",,"16","76",,,,,,,
"14:12:11.573826","0.303683000","0.303683000","17","1500","47.74.8.123","80","100.64.0.5","37832","1448","23169","1"
"14:12:11.573844","0.303701000","0.303701000","18","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.604608","0.334465000","0.334465000","19","1500","47.74.8.123","80","100.64.0.5","37832","1448","24617","1"
"14:12:11.604630","0.334487000","0.334487000","20","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.627926","0.357783000",,"21","76",,,,,,,
"14:12:11.634731","0.364588000","0.364588000","22","1500","47.74.8.123","80","100.64.0.5","37832","1448","26065","1"
"14:12:11.634747","0.364604000","0.364604000","23","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.664223","0.394080000","0.394080000","24","1500","47.74.8.123","80","100.64.0.5","37832","1448","27513","1"
"14:12:11.664240","0.394097000","0.394097000","25","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.696119","0.425976000","0.425976000","26","1500","47.74.8.123","80","100.64.0.5","37832","1448","28961","1"
"14:12:11.696134","0.425991000","0.425991000","27","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.725229","0.455086000","0.455086000","28","1500","47.74.8.123","80","100.64.0.5","37832","1448","30409","1"
"14:12:11.725243","0.455100000","0.455100000","29","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.755778","0.485635000","0.485635000","30","1500","47.74.8.123","80","100.64.0.5","37832","1448","31857","1"
"14:12:11.755787","0.485644000","0.485644000","31","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.785885","0.515742000","0.515742000","32","1500","47.74.8.123","80","100.64.0.5","37832","1448","33305","1"
"14:12:11.785902","0.515759000","0.515759000","33","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.816194","0.546051000","0.546051000","34","1500","47.74.8.123","80","100.64.0.5","37832","1448","34753","1"
"14:12:11.816204","0.546061000","0.546061000","35","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.846573","0.576430000","0.576430000","36","1500","47.74.8.123","80","100.64.0.5","37832","1448","36201","1"
"14:12:11.846593","0.576450000","0.576450000","37","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:11.876732","0.606589000","0.606589000","38","1500","47.74.8.123","80","100.64.0.5","37832","1448","37649","1"
"14:12:11.876753","0.606610000","0.606610000","39","52","100.64.0.5","37832","47.74.8.123","80","0","1","2897"
"14:12:12.482711","1.212568000","1.212568000","40","1500","47.74.8.123","80","100.64.0.5","37832","1448","2897","1"
"14:12:12.482739","1.212596000","1.212596000","41","52","100.64.0.5","37832","47.74.8.123","80","0","1","4345"
"14:12:12.573106","1.302963000","1.302963000","42","1500","47.74.8.123","80","100.64.0.5","37832","1448","39097","1"
"14:12:12.573126","1.302983000","1.302983000","43","52","100.64.0.5","37832","47.74.8.123","80","0","1","4345"
"14:12:12.604259","1.334116000","1.334116000","44","1500","47.74.8.123","80","100.64.0.5","37832","1448","4345","1"
"14:12:12.604308","1.334165000","1.334165000","45","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.664612","1.394469000","1.394469000","46","1500","47.74.8.123","80","100.64.0.5","37832","1448","8689","1"
"14:12:12.664627","1.394484000","1.394484000","47","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.695801","1.425658000","1.425658000","48","1500","47.74.8.123","80","100.64.0.5","37832","1448","10137","1"
"14:12:12.695819","1.425676000","1.425676000","49","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.725620","1.455477000","1.455477000","50","1500","47.74.8.123","80","100.64.0.5","37832","1448","11585","1"
"14:12:12.725685","1.455542000","1.455542000","51","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.756056","1.485913000","1.485913000","52","1500","47.74.8.123","80","100.64.0.5","37832","1448","13033","1"
"14:12:12.756076","1.485933000","1.485933000","53","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.785179","1.515036000","1.515036000","54","1500","47.74.8.123","80","100.64.0.5","37832","1448","14481","1"
"14:12:12.785193","1.515050000","1.515050000","55","52","100.64.0.5","37832","47.74.8.123","80","0","1","5793"
"14:12:12.998554","1.728411000","1.728411000","56","1500","47.74.8.123","80","100.64.0.5","37832","1448","5793","1"
"14:12:12.998589","1.728446000","1.728446000","57","52","100.64.0.5","37832","47.74.8.123","80","0","1","7241"
"14:12:13.088937","1.818794000","1.818794000","58","1500","47.74.8.123","80","100.64.0.5","37832","1448","7241","1"
"14:12:13.088971","1.818828000","1.818828000","59","52","100.64.0.5","37832","47.74.8.123","80","0","1","18825"
