_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"14:50:20.392494","60","47.83.16.111","80","100.64.0.2","39380","0","2495530923","468532","2011221820","1669420613"
"14:50:20.649529","52","47.83.16.111","80","100.64.0.2","39380","0","2495530924","468679","2011222077","1669420865"
"14:50:20.649548","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495530924","468679","2011222077","1669420865"
"14:50:20.649554","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495532372","468679","2011222077","1669420865"
"14:50:20.649560","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495533820","468679","2011222078","1669420865"
"14:50:20.649564","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495535268","468679","2011222078","1669420865"
"14:50:20.649569","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495536716","468679","2011222078","1669420865"
"14:50:20.649577","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495538164","468679","2011222078","1669420865"
"14:50:20.649583","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495541060","468679","2011222078","1669420865"
"14:50:20.649589","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495539612","468679","2011222078","1669420865"
"14:50:20.649595","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495542508","468679","2011222078","1669420865"
"14:50:20.649602","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495543956","468679","2011222078","1669420865"
"14:50:20.921877","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495546852","468679","2011222350","1669421137"
"14:50:20.921890","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495545404","468679","2011222350","1669421137"
"14:50:20.936963","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495548300","468679","2011222365","1669421152"
"14:50:20.936978","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495549748","468679","2011222365","1669421152"
"14:50:20.952084","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495551196","468679","2011222380","1669421167"
"14:50:20.952094","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495552644","468679","2011222380","1669421167"
"14:50:20.967151","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495555540","468679","2011222395","1669421182"
"14:50:20.967163","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495554092","468679","2011222395","1669421182"
"14:50:20.983186","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495558436","468679","2011222411","1669421197"
"14:50:20.983197","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495556988","468679","2011222411","1669421197"
"14:50:20.998267","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495559884","468679","2011222426","1669421214"
"14:50:20.998278","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495561332","468679","2011222426","1669421214"
"14:50:21.013347","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495562780","468679","2011222441","1669421229"
"14:50:21.029603","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495564228","468679","2011222458","1669421244"
"14:50:21.029639","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495565676","468679","2011222458","1669421244"
"14:50:21.043553","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495567124","468679","2011222472","1669421259"
"14:50:21.043565","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495568572","468679","2011222472","1669421259"
"14:50:21.058645","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495570020","468679","2011222487","1669421273"
"14:50:21.058656","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495571468","468679","2011222487","1669421273"
"14:50:21.180269","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495572916","468679","2011222608","1669421394"
"14:50:21.195302","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495575812","468679","2011222623","1669421411"
"14:50:21.195317","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495574364","468679","2011222623","1669421411"
"14:50:21.210522","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495578708","468679","2011222639","1669421426"
"14:50:21.210537","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495577260","468679","2011222639","1669421426"
"14:50:21.226631","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495580156","468679","2011222655","1669421441"
"14:50:21.226643","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495581604","468679","2011222655","1669421441"
"14:50:21.240700","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495583052","468679","2011222669","1669421456"
"14:50:21.240713","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495584500","468679","2011222669","1669421456"
"14:50:21.255783","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495585948","468679","2011222684","1669421470"
"14:50:21.255794","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495587396","468679","2011222684","1669421470"
"14:50:21.270827","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495588844","468679","2011222699","1669421485"
"14:50:21.285987","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495590292","468679","2011222714","1669421500"
"14:50:21.286000","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495591740","468679","2011222714","1669421500"
"14:50:21.301017","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495593188","468679","2011222729","1669421516"
"14:50:21.316078","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495594636","468679","2011222744","1669421531"
"14:50:21.316089","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495596084","468679","2011222744","1669421531"
"14:50:21.331255","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495597532","468679","2011222759","1669421546"
"14:50:21.331270","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495598980","468679","2011222759","1669421546"
"14:50:21.346052","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495600428","468679","2011222774","1669421561"
"14:50:21.346064","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495601876","468679","2011222774","1669421561"
"14:50:21.361196","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495603324","468679","2011222789","1669421577"
"14:50:21.361208","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495604772","468679","2011222789","1669421577"
"14:50:21.378265","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495606220","468679","2011222806","1669421592"
"14:50:21.378276","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495607668","468679","2011222806","1669421592"
"14:50:21.392295","1500","47.83.16.111","80","100.64.0.2","39380","1448","2495609116","468679","2011222820","1669421608"
