_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"20:30:16.292861","52","47.83.16.111","80","100.64.0.5","35336","0","1572037334","580545731","1945217601","1603416373"
"20:30:16.307942","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572037334","580545731","1945217601","1603416373"
"20:30:16.323034","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572038782","580545731","1945217601","1603416373"
"20:30:16.337124","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572040230","580545731","1945217601","1603416373"
"20:30:16.353207","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572041678","580545731","1945217601","1603416373"
"20:30:16.368289","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572043126","580545731","1945217601","1603416373"
"20:30:16.383379","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572044574","580545731","1945217601","1603416373"
"20:30:16.398465","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572047470","580545731","1945217601","1603416373"
"20:30:16.413551","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572046022","580545731","1945217601","1603416373"
"20:30:16.428641","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572048918","580545731","1945217601","1603416373"
"20:30:16.443731","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572050366","580545731","1945217601","1603416373"
"20:30:16.595459","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572051814","580545731","1945217905","1603416676"
"20:30:16.610528","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572053262","580545731","1945217905","1603416676"
"20:30:16.625618","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572054710","580545731","1945217919","1603416691"
"20:30:16.640704","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572056158","580545731","1945217919","1603416691"
"20:30:16.656794","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572057606","580545731","1945217935","1603416705"
"20:30:16.671870","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572059054","580545731","1945217935","1603416705"
"20:30:16.686952","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572060502","580545731","1945217950","1603416721"
"20:30:16.702007","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572061950","580545731","1945217950","1603416721"
"20:30:16.716140","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572064846","580545731","1945217964","1603416736"
"20:30:16.731215","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572063398","580545731","1945217964","1603416736"
"20:30:16.746309","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572066294","580545731","1945217979","1603416751"
"20:30:16.762395","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572067742","580545731","1945217979","1603416751"
"20:30:16.777486","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572069190","580545731","1945217994","1603416766"
"20:30:16.792576","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572070638","580545731","1945218009","1603416781"
"20:30:16.807672","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572072086","580545731","1945218009","1603416781"
"20:30:16.822766","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572073534","580545731","1945218025","1603416796"
"20:30:16.837854","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572074982","580545731","1945218025","1603416796"
"20:30:16.853941","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572076430","580545731","1945218041","1603416811"
"20:30:16.869026","1500","47.83.16.111","80","100.64.0.5","35336","1448","1572077878","580545731","1945218041","1603416811"
