_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"15:37:49.570915","60","47.83.16.111","80","100.64.0.2","47068","0","1726346239","339340574","2014070998","1672269748"
"15:37:49.909064","52","47.83.16.111","80","100.64.0.2","47068","0","1726346240","339340721","2014071336","1672270081"
"15:37:49.909085","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726346240","339340721","2014071336","1672270081"
"15:37:49.909091","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726347688","339340721","2014071336","1672270081"
"15:37:49.909097","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726349136","339340721","2014071336","1672270081"
"15:37:49.909102","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726350584","339340721","2014071336","1672270081"
"15:37:49.909107","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726353480","339340721","2014071336","1672270081"
"15:37:49.909113","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726352032","339340721","2014071336","1672270081"
"15:37:49.909123","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726354928","339340721","2014071336","1672270081"
"15:37:49.909128","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726356376","339340721","2014071336","1672270081"
"15:37:49.909132","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726357824","339340721","2014071336","1672270081"
"15:37:49.909140","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726359272","339340721","2014071336","1672270081"
"15:37:50.257566","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726360720","339340721","2014071685","1672270430"
"15:37:50.257579","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726362168","339340721","2014071685","1672270430"
"15:37:50.269592","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726363616","339340721","2014071697","1672270442"
"15:37:50.269603","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726365064","339340721","2014071697","1672270442"
"15:37:50.281661","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726367960","339340721","2014071709","1672270454"
"15:37:50.281669","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726366512","339340721","2014071709","1672270454"
"15:37:50.293734","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726370856","339340721","2014071721","1672270466"
"15:37:50.293743","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726369408","339340721","2014071721","1672270466"
"15:37:50.305742","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726372304","339340721","2014071733","1672270478"
"15:37:50.317938","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726373752","339340721","2014071745","1672270490"
"15:37:50.317948","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726375200","339340721","2014071745","1672270490"
"15:37:50.330000","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726376648","339340721","2014071757","1672270502"
"15:37:50.330009","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726378096","339340721","2014071757","1672270502"
"15:37:50.342034","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726379544","339340721","2014071769","1672270515"
"15:37:50.342042","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726380992","339340721","2014071769","1672270515"
"15:37:50.355141","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726382440","339340721","2014071782","1672270527"
"15:37:50.355151","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726383888","339340721","2014071782","1672270527"
"15:37:50.366191","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726385336","339340721","2014071793","1672270539"
"15:37:50.366201","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726386784","339340721","2014071793","1672270539"
"15:37:50.594935","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726388232","339340721","2014072022","1672270767"
"15:37:50.594947","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726389680","339340721","2014072022","1672270767"
"15:37:50.607017","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726391128","339340721","2014072034","1672270779"
"15:37:50.607031","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726392576","339340721","2014072034","1672270779"
"15:37:50.619054","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726394024","339340721","2014072046","1672270791"
"15:37:50.619064","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726395472","339340721","2014072046","1672270791"
"15:37:50.631088","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726396920","339340721","2014072058","1672270803"
"15:37:50.631098","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726398368","339340721","2014072058","1672270803"
"15:37:50.643162","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726399816","339340721","2014072070","1672270815"
"15:37:50.655331","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726401264","339340721","2014072083","1672270828"
"15:37:50.655341","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726402712","339340721","2014072083","1672270828"
"15:37:50.667355","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726404160","339340721","2014072095","1672270840"
"15:37:50.678468","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726405608","339340721","2014072106","1672270852"
"15:37:50.678481","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726407056","339340721","2014072106","1672270852"
"15:37:50.690527","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726408504","339340721","2014072118","1672270863"
"15:37:50.690538","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726409952","339340721","2014072118","1672270863"
"15:37:50.702651","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726411400","339340721","2014072130","1672270875"
"15:37:50.702664","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726412848","339340721","2014072130","1672270875"
"15:37:50.715688","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726414296","339340721","2014072143","1672270887"
"15:37:50.715700","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726415744","339340721","2014072143","1672270887"
"15:37:50.727767","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726417192","339340721","2014072155","1672270900"
"15:37:50.739924","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726418640","339340721","2014072167","1672270912"
"15:37:50.739934","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726420088","339340721","2014072167","1672270912"
"15:37:50.751981","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726422984","339340721","2014072179","1672270924"
"15:37:50.751991","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726421536","339340721","2014072179","1672270924"
"15:37:50.764095","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726424432","339340721","2014072191","1672270936"
"15:37:50.764105","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726425880","339340721","2014072191","1672270936"
"15:37:50.776147","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726427328","339340721","2014072203","1672270948"
"15:37:50.776158","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726428776","339340721","2014072203","1672270948"
"15:37:50.788206","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726430224","339340721","2014072215","1672270961"
"15:37:50.788221","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726431672","339340721","2014072215","1672270961"
"15:37:50.800512","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726433120","339340721","2014072228","1672270973"
"15:37:50.800524","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726434568","339340721","2014072228","1672270973"
"15:37:50.811639","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726436016","339340721","2014072239","1672270985"
"15:37:50.811652","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726437464","339340721","2014072239","1672270985"
"15:37:50.931784","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726438912","339340721","2014072359","1672271105"
"15:37:50.931803","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726440360","339340721","2014072359","1672271105"
"15:37:50.943779","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726441808","339340721","2014072371","1672271116"
"15:37:50.943800","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726443256","339340721","2014072371","1672271116"
"15:37:50.955890","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726444704","339340721","2014072383","1672271128"
"15:37:50.955900","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726446152","339340721","2014072383","1672271128"
"15:37:50.968978","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726447600","339340721","2014072396","1672271140"
"15:37:50.968991","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726449048","339340721","2014072396","1672271140"
"15:37:50.981107","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726450496","339340721","2014072408","1672271153"
"15:37:50.981116","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726451944","339340721","2014072408","1672271153"
"15:37:50.993152","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726453392","339340721","2014072420","1672271165"
"15:37:50.993162","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726454840","339340721","2014072420","1672271165"
"15:37:51.004569","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726456288","339340721","2014072432","1672271177"
"15:37:51.004580","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726457736","339340721","2014072432","1672271177"
"15:37:51.017658","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726459184","339340721","2014072445","1672271190"
"15:37:51.017671","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726460632","339340721","2014072445","1672271190"
"15:37:51.017676","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726462080","339340721","2014072445","1672271190"
"15:37:51.029568","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726463528","339340721","2014072457","1672271202"
"15:37:51.029582","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726464976","339340721","2014072457","1672271202"
"15:37:51.040655","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726466424","339340721","2014072468","1672271214"
"15:37:51.040665","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726467872","339340721","2014072468","1672271214"
"15:37:51.052778","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726469320","339340721","2014072480","1672271225"
"15:37:51.052788","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726470768","339340721","2014072480","1672271225"
"15:37:51.065695","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726472216","339340721","2014072493","1672271237"
"15:37:51.065706","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726473664","339340721","2014072493","1672271237"
"15:37:51.077003","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726475112","339340721","2014072504","1672271249"
"15:37:51.077014","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726476560","339340721","2014072504","1672271249"
"15:37:51.089051","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726478008","339340721","2014072516","1672271261"
"15:37:51.089061","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726479456","339340721","2014072516","1672271261"
"15:37:51.101142","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726480904","339340721","2014072528","1672271273"
"15:37:51.101153","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726482352","339340721","2014072528","1672271273"
"15:37:51.113253","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726485248","339340721","2014072541","1672271285"
"15:37:51.113263","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726483800","339340721","2014072541","1672271285"
"15:37:51.125335","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726486696","339340721","2014072553","1672271297"
"15:37:51.125346","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726488144","339340721","2014072553","1672271297"
"15:37:51.136420","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726489592","339340721","2014072564","1672271310"
"15:37:51.136442","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726491040","339340721","2014072564","1672271310"
"15:37:51.148700","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726492488","339340721","2014072576","1672271322"
"15:37:51.148710","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726493936","339340721","2014072576","1672271322"
"15:37:51.160759","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726495384","339340721","2014072588","1672271333"
"15:37:51.160772","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726496832","339340721","2014072588","1672271333"
"15:37:51.172910","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726498280","339340721","2014072600","1672271345"
"15:37:51.172920","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726499728","339340721","2014072600","1672271345"
"15:37:51.184961","1500","47.83.16.111","80","100.64.0.2","47068","1448","1726501176","339340721","2014072612","1672271357"
