_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"12:05:12.505267","60","47.74.8.123","80","100.64.0.2","57146","0","618655635","181124955","2387576314","3330556438"
"12:05:12.585961","52","47.74.8.123","80","100.64.0.2","57146","0","618655636","181125101","2387576395","3330556509"
"12:05:12.585975","1500","47.74.8.123","80","100.64.0.2","57146","1448","618655636","181125101","2387576395","3330556509"
"12:05:12.585980","1500","47.74.8.123","80","100.64.0.2","57146","1448","618657084","181125101","2387576395","3330556509"
"12:05:12.585984","1500","47.74.8.123","80","100.64.0.2","57146","1448","618658532","181125101","2387576395","3330556509"
"12:05:12.585989","1500","47.74.8.123","80","100.64.0.2","57146","1448","618659980","181125101","2387576395","3330556509"
"12:05:12.585994","1500","47.74.8.123","80","100.64.0.2","57146","1448","618661428","181125101","2387576395","3330556509"
"12:05:12.586004","1500","47.74.8.123","80","100.64.0.2","57146","1448","618662876","181125101","2387576395","3330556509"
"12:05:12.586011","1500","47.74.8.123","80","100.64.0.2","57146","1448","618664324","181125101","2387576395","3330556509"
"12:05:12.586020","1500","47.74.8.123","80","100.64.0.2","57146","1448","618665772","181125101","2387576395","3330556509"
"12:05:12.586026","1500","47.74.8.123","80","100.64.0.2","57146","1448","618667220","181125101","2387576395","3330556509"
"12:05:12.586033","1500","47.74.8.123","80","100.64.0.2","57146","1448","618668668","181125101","2387576395","3330556509"
"12:05:12.685567","1500","47.74.8.123","80","100.64.0.2","57146","1448","618670116","181125101","2387576495","3330556609"
"12:05:12.685580","1500","47.74.8.123","80","100.64.0.2","57146","1448","618671564","181125101","2387576495","3330556609"
"12:05:12.705578","1500","47.74.8.123","80","100.64.0.2","57146","1448","618673012","181125101","2387576515","3330556629"
"12:05:12.705589","1500","47.74.8.123","80","100.64.0.2","57146","1448","618674460","181125101","2387576515","3330556629"
"12:05:12.725654","1500","47.74.8.123","80","100.64.0.2","57146","1448","618675908","181125101","2387576535","3330556649"
"12:05:12.725664","1500","47.74.8.123","80","100.64.0.2","57146","1448","618677356","181125101","2387576535","3330556649"
"12:05:12.765702","1500","47.74.8.123","80","100.64.0.2","57146","1448","618678804","181125101","2387576575","3330556690"
"12:05:12.785782","1500","47.74.8.123","80","100.64.0.2","57146","1448","618680252","181125101","2387576595","3330556710"
"12:05:12.805860","1500","47.74.8.123","80","100.64.0.2","57146","1448","618659980","181125101","2387576615","3330556730"
"12:05:12.845907","1500","47.74.8.123","80","100.64.0.2","57146","1448","618681700","181125101","2387576655","3330556770"
"12:05:12.885064","1500","47.74.8.123","80","100.64.0.2","57146","1448","618683148","181125101","2387576694","3330556810"
"12:05:12.925088","1500","47.74.8.123","80","100.64.0.2","57146","1448","618661428","181125101","2387576734","3330556849"
"12:05:13.005341","1500","47.74.8.123","80","100.64.0.2","57146","1448","618662876","181125101","2387576814","3330556929"
"12:05:13.085550","1500","47.74.8.123","80","100.64.0.2","57146","1448","618664324","181125101","2387576895","3330557009"
"12:05:13.085563","1500","47.74.8.123","80","100.64.0.2","57146","1448","618684596","181125101","2387576895","3330557009"
"12:05:13.165895","1500","47.74.8.123","80","100.64.0.2","57146","1448","618665772","181125101","2387576975","3330557090"
"12:05:13.165910","1500","47.74.8.123","80","100.64.0.2","57146","1448","618686044","181125101","2387576975","3330557090"
"12:05:13.185886","1500","47.74.8.123","80","100.64.0.2","57146","1448","618687492","181125101","2387576995","3330557110"
"12:05:13.245059","1500","47.74.8.123","80","100.64.0.2","57146","1448","618667220","181125101","2387577054","3330557169"
"12:05:13.245069","1500","47.74.8.123","80","100.64.0.2","57146","1448","618688940","181125101","2387577054","3330557169"
"12:05:13.265161","1500","47.74.8.123","80","100.64.0.2","57146","1448","618690388","181125101","2387577074","3330557189"
"12:05:13.285209","1500","47.74.8.123","80","100.64.0.2","57146","1448","618691836","181125101","2387577094","3330557209"
"12:05:13.325311","1500","47.74.8.123","80","100.64.0.2","57146","1448","618668668","181125101","2387577134","3330557249"
"12:05:13.325322","1500","47.74.8.123","80","100.64.0.2","57146","1448","618693284","181125101","2387577134","3330557249"
"12:05:13.345291","1500","47.74.8.123","80","100.64.0.2","57146","1448","618694732","181125101","2387577154","3330557269"
"12:05:13.365357","1500","47.74.8.123","80","100.64.0.2","57146","1448","618696180","181125101","2387577174","3330557289"
"12:05:13.385460","1500","47.74.8.123","80","100.64.0.2","57146","1448","618697628","181125101","2387577195","3330557309"
"12:05:13.405385","1500","47.74.8.123","80","100.64.0.2","57146","1448","618677356","181125101","2387577215","3330557329"
"12:05:13.405394","1500","47.74.8.123","80","100.64.0.2","57146","1448","618699076","181125101","2387577215","3330557329"
"12:05:13.425486","1500","47.74.8.123","80","100.64.0.2","57146","1448","618700524","181125101","2387577235","3330557349"
"12:05:13.445607","1500","47.74.8.123","80","100.64.0.2","57146","1448","618701972","181125101","2387577255","3330557369"
"12:05:13.465510","1500","47.74.8.123","80","100.64.0.2","57146","1448","618703420","181125101","2387577275","3330557389"
"12:05:13.485580","1500","47.74.8.123","80","100.64.0.2","57146","1448","618704868","181125101","2387577295","3330557409"
"12:05:13.505679","1500","47.74.8.123","80","100.64.0.2","57146","1448","618706316","181125101","2387577315","3330557429"
"12:05:13.525608","1500","47.74.8.123","80","100.64.0.2","57146","1448","618707764","181125101","2387577335","3330557450"
"12:05:13.545785","1500","47.74.8.123","80","100.64.0.2","57146","1448","618709212","181125101","2387577355","3330557469"
"12:05:13.565795","1500","47.74.8.123","80","100.64.0.2","57146","1448","618710660","181125101","2387577375","3330557490"
"12:05:13.585754","1500","47.74.8.123","80","100.64.0.2","57146","1448","618712108","181125101","2387577395","3330557510"
"12:05:13.605838","1500","47.74.8.123","80","100.64.0.2","57146","1448","618713556","181125101","2387577415","3330557530"
"12:05:13.605849","1500","47.74.8.123","80","100.64.0.2","57146","1448","618715004","181125101","2387577415","3330557530"
"12:05:13.625044","1500","47.74.8.123","80","100.64.0.2","57146","1448","618716452","181125101","2387577434","3330557550"
"12:05:13.645003","1500","47.74.8.123","80","100.64.0.2","57146","1448","618717900","181125101","2387577454","3330557570"
"12:05:13.664993","1500","47.74.8.123","80","100.64.0.2","57146","1448","618719348","181125101","2387577474","3330557590"
"12:05:13.685045","1500","47.74.8.123","80","100.64.0.2","57146","1448","618720796","181125101","2387577494","3330557610"
"12:05:13.705136","1500","47.74.8.123","80","100.64.0.2","57146","1448","618722244","181125101","2387577514","3330557629"
"12:05:13.725105","1500","47.74.8.123","80","100.64.0.2","57146","1448","618723692","181125101","2387577534","3330557649"
"12:05:13.745163","1500","47.74.8.123","80","100.64.0.2","57146","1448","618725140","181125101","2387577554","3330557669"
"12:05:13.765298","1500","47.74.8.123","80","100.64.0.2","57146","1448","618726588","181125101","2387577574","3330557689"
"12:05:13.785261","1500","47.74.8.123","80","100.64.0.2","57146","1448","618715004","181125101","2387577594","3330557709"
"12:05:13.825452","1500","47.74.8.123","80","100.64.0.2","57146","1448","618728036","181125101","2387577635","3330557749"
"12:05:13.845390","1500","47.74.8.123","80","100.64.0.2","57146","1448","618729484","181125101","2387577655","3330557769"
"12:05:13.865490","1500","47.74.8.123","80","100.64.0.2","57146","1448","618730932","181125101","2387577675","3330557789"
"12:05:13.885557","1500","47.74.8.123","80","100.64.0.2","57146","1448","618732380","181125101","2387577695","3330557809"
"12:05:13.905511","1500","47.74.8.123","80","100.64.0.2","57146","1448","618733828","181125101","2387577715","3330557829"
"12:05:13.925603","1500","47.74.8.123","80","100.64.0.2","57146","1448","618735276","181125101","2387577735","3330557849"
"12:05:13.945678","1500","47.74.8.123","80","100.64.0.2","57146","1448","618736724","181125101","2387577755","3330557869"
"12:05:13.965638","1500","47.74.8.123","80","100.64.0.2","57146","1448","618738172","181125101","2387577775","3330557890"
"12:05:13.985683","1500","47.74.8.123","80","100.64.0.2","57146","1448","618739620","181125101","2387577795","3330557909"
"12:05:14.005815","1500","47.74.8.123","80","100.64.0.2","57146","1448","618741068","181125101","2387577815","3330557930"
"12:05:14.005826","1500","47.74.8.123","80","100.64.0.2","57146","1448","618742516","181125101","2387577815","3330557930"
"12:05:14.025793","1500","47.74.8.123","80","100.64.0.2","57146","1448","618743964","181125101","2387577835","3330557950"
