alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
10, 13, [13], [10], [33.097374], 1
10, 13, [13], [10], [33.097366], 1
6, 10, [10], [6], [33.084377], 1
0, 3, [ 3 13], [2 0], [-10.116589  33.0979  ], 2
2, 16, [16], [2], [33.14514], 1
1, 7, [7], [1], [33.078735], 1
7, 14, [14 16], [7 7], [32.935127 33.125885], 2
0, 10, [10  1  6], [0 6 0], [22.632599 15.911769 33.12986 ], 3
8, 1, [ 1 10  4], [4 8 8], [-12.598541  28.94091   33.06597 ], 3
3, 1, [1], [3], [33.035057], 1
8, 7, [7], [8], [33.079956], 1
0, 12, [12  4  5 15  4 16], [6 6 5 0 6 0], [-34.440643   -7.483938   -5.898789    3.4518566   3.9487247  33.156765 ], 6
1, 15, [15], [1], [33.063385], 1
10, 9, [9], [10], [33.05547], 1
7, 2, [ 2 12 16], [7 6 7], [22.634655 15.925016 33.125885], 3
11, 12, [12], [11], [33.050694], 1
8, 12, [12 15], [8 8], [32.921158 33.113033], 2
9, 13, [13], [9], [33.09697], 1
7, 6, [6 5 8], [7 2 7], [22.661787 15.886498 33.093613], 3
3, 8, [8], [3], [33.14026], 1
11, 12, [12], [11], [33.05074], 1
3, 2, [2], [3], [33.05816], 1
12, 16, [16], [12], [33.13025], 1
2, 2, [2], [2], [33.062767], 1
4, 13, [13], [4], [33.10476], 1
6, 16, [16], [6], [33.139053], 1
6, 9, [ 9 14], [6 6], [32.892418 33.074978], 2
3, 3, [ 3 10], [2 3], [-10.128559  33.07822 ], 2
12, 5, [5], [12], [33.032753], 1
10, 16, [16], [10], [33.122044], 1
7, 9, [ 9 12 15  6], [6 2 5 7], [-28.02087     3.2197988  11.948667   33.131756 ], 4
4, 8, [8], [4], [33.10687], 1

3, 6, [6], [3], [33.118416], 1
9, 3, [3], [9], [33.03199], 1
0, 1, [ 1 15  4 16  2 12  1], [2 5 6 0 0 2 2], [-38.679024 -14.522171 -17.65491  -16.18401  -28.887512 -43.327744
 -38.96554 ], 7
1, 1, [1], [1], [33.03305], 1
3, 7, [7], [3], [33.096344], 1
2, 13, [13], [2], [33.112396], 1
6, 1, [ 1 11], [3 6], [-10.121134  33.07401 ], 2
2, 1, [1 2], [5 2], [-10.128609  33.062695], 2
4, 16, [16], [4], [33.1756], 1
2, 7, [7], [2], [33.077587], 1
7, 10, [10  2 16], [7 7 7], [30.450062 28.9338   33.125343], 3
2, 9, [9 8], [6 2], [-10.08157   33.118282], 2
11, 1, [1], [11], [33.0392], 1
5, 14, [14], [5], [33.062057], 1
2, 13, [13], [2], [33.112442], 1
11, 9, [9], [11], [33.05684], 1
5, 8, [8], [5], [33.113976], 1
2, 5, [ 5 11], [6 2], [-10.133064  33.05706 ], 2
4, 9, [ 9 13], [8 4], [-10.08633   33.104713], 2
6, 7, [7], [6], [33.072662], 1
7, 8, [8], [7], [33.094593], 1
0, 11, [11], [0], [33.09072], 1
10, 8, [8], [10], [33.085514], 1
0, 2, [ 2 10  4  1  5  9 16], [0 2 6 2 2 6 0], [  3.238264  -16.442957  -20.883629  -21.565794  -16.000862   -0.0559082
  33.161015 ], 7
12, 10, [10], [12], [33.08589], 1
9, 6, [6], [9], [33.108685], 1
12, 13, [13  5], [12 12], [32.922558 33.032772], 2
7, 1, [ 1 12  1 16], [2 0 2 7], [-28.04888     3.1949995  11.90984    33.126198 ], 4
2, 6, [6], [2], [33.13199], 1
1, 15, [15], [1], [33.063892], 1
5, 11, [11], [5], [33.07755], 1
9, 2, [2], [9], [33.06063], 1

0, 16, [16], [0], [33.15688], 1
1, 3, [3], [1], [33.023327], 1
0, 10, [10  4 16], [0 6 0], [22.65502  15.949521 33.156975], 3
7, 3, [ 3 10  1 16], [7 0 2 7], [14.967202   3.2334416 11.909122  33.12501  ], 4
9, 13, [13], [9], [33.096874], 1
7, 10, [10 15  3  6], [6 5 2 7], [-27.988466    3.2123287  11.903827   33.131794 ], 4
2, 15, [15 13], [6 2], [-10.064569  33.112522], 2
2, 9, [9 7], [6 2], [-10.105923  33.07759 ], 2
8, 12, [12  6], [8 8], [32.930496 33.129448], 2
11, 16, [16], [11], [33.122635], 1
5, 14, [14], [5], [33.062996], 1
5, 11, [11], [5], [33.07597], 1
5, 3, [3], [5], [33.02373], 1
0, 3, [ 3 13], [7 0], [-10.114651  33.09817 ], 2
10, 5, [5], [10], [33.031567], 1
10, 5, [5], [10], [33.031532], 1
3, 13, [13], [3], [33.098907], 1
9, 13, [13], [9], [33.09681], 1
3, 4, [4], [3], [33.061447], 1
3, 8, [8], [3], [33.140274], 1
5, 16, [16 10], [5 5], [32.98295 33.07803], 2
2, 2, [2], [2], [33.062668], 1
10, 1, [1], [10], [33.03911], 1
3, 14, [14], [3], [33.0656], 1
10, 10, [10], [10], [33.081474], 1
1, 16, [16], [1], [33.174675], 1
6, 5, [5 2], [5 6], [-10.115332  33.089867], 2
11, 12, [12], [11], [33.050735], 1
7, 5, [ 5 10 13 15  8], [2 6 7 5 7], [-28.771715    1.9948082   9.850685    7.924653   33.09344  ], 5
7, 7, [7 4 8], [7 2 7], [22.624237 15.912019 33.094067], 3
12, 16, [16], [12], [33.12934], 1
9, 12, [12], [9], [33.057003], 1

7, 3, [ 3 13], [3 7], [-10.116457  33.099422], 2
5, 11, [11  7 11 10], [7 5 7 5], [-20.190422  16.239552  11.918605  33.087925], 4
7, 4, [ 4 11], [6 7], [-10.107183  33.06272 ], 2
6, 9, [ 9  1 10], [6 2 6], [22.578522 15.885009 33.08453 ], 3
12, 4, [4], [12], [33.059807], 1
9, 2, [2], [9], [33.06063], 1
7, 8, [8], [7], [33.095276], 1
12, 7, [7], [12], [33.069874], 1
3, 10, [10], [3], [33.0782], 1
2, 13, [13], [2], [33.11248], 1
5, 13, [13], [5], [33.114815], 1
1, 7, [7], [1], [33.078735], 1
3, 5, [ 5 13], [3 3], [32.887527 33.09893 ], 2
0, 14, [14], [0], [33.066185], 1
1, 3, [3], [1], [33.023323], 1
0, 3, [3 7], [2 0], [-10.126234  33.080288], 2
4, 12, [12  6], [8 4], [-10.058908  33.14688 ], 2
4, 4, [4 2], [8 4], [-10.10228  33.06029], 2
2, 14, [14], [2], [33.066666], 1
6, 2, [2], [6], [33.088966], 1
5, 8, [8], [5], [33.11534], 1
10, 12, [12], [10], [33.076965], 1
3, 11, [11], [3], [33.07902], 1
12, 13, [13 15], [12 12], [32.957207 33.09139 ], 2
0, 1, [1 7], [2 0], [-10.117153  33.080994], 2
6, 10, [10 12  8], [6 2 6], [22.637363 15.921249 33.118534], 3
0, 12, [12 13], [2 0], [-10.090202  33.099457], 2
0, 15, [15  6], [5 0], [-10.051157  33.13011 ], 2
11, 7, [7], [11], [33.0727], 1
4, 7, [7], [4], [33.082623], 1
0, 3, [3 7], [2 0], [-10.125593  33.080063], 2
10, 12, [12], [10], [33.07698], 1

2, 9, [9 8], [6 2], [-10.081509  33.118298], 2
9, 14, [14], [9], [33.066494], 1
12, 4, [4], [12], [33.059814], 1
7, 12, [12  3 16], [0 2 7], [-20.41082   15.900141  33.126198], 3
2, 15, [15 12  8], [6 2 2], [-12.577915  28.920706  33.118282], 3
5, 12, [12], [5], [33.04449], 1
11, 14, [14], [11], [33.0535], 1
6, 6, [6], [6], [33.128075], 1
10, 1, [1], [10], [33.03906], 1
10, 3, [ 3 10], [11 10], [-10.1206875  33.08107  ], 2
2, 12, [12  7], [3 2], [-10.105438  33.07751 ], 2
0, 13, [13], [0], [33.098793], 1
11, 16, [16  2], [ 9 11], [-10.038679  33.061775], 2
10, 11, [11], [10], [33.05612], 1
1, 8, [8], [1], [33.116463], 1
3, 4, [4 2], [5 3], [-10.111395  33.057697], 2
11, 7, [7], [11], [33.072693], 1
9, 4, [4], [9], [33.07271], 1
11, 11, [11], [11], [33.065216], 1
6, 14, [14], [6], [33.074802], 1
6, 3, [ 3  4 14], [2 5 6], [-20.435982  15.898587  33.07479 ], 3
9, 8, [8], [9], [33.087284], 1
9, 3, [3], [9], [33.032253], 1
2, 6, [6], [2], [33.13205], 1
12, 4, [4], [12], [33.059814], 1
4, 4, [ 4 16], [8 4], [-10.030743  33.175884], 2
4, 6, [6], [4], [33.14702], 1
8, 3, [3 8], [4 8], [-10.119642  33.08995 ], 2
12, 7, [7], [12], [33.069874], 1
3, 11, [11], [3], [33.07905], 1
12, 13, [13  6], [12 12], [32.974556 33.1204  ], 2
3, 3, [ 3 16], [3 3], [32.931793 33.17983 ], 2

8, 6, [6], [8], [33.132553], 1
5, 10, [10 11], [2 5], [-10.068296  33.078323], 2
4, 4, [ 4 15  6], [8 8 4], [-20.33872   15.990149  33.14714 ], 3
3, 8, [8], [3], [33.140274], 1
5, 4, [4 1], [5 5], [32.87341  33.032314], 2
10, 7, [7], [10], [33.07394], 1
6, 5, [ 5 13], [2 6], [-10.068495  33.165787], 2
10, 13, [13], [10], [33.097336], 1
11, 5, [5 8], [10 11], [-10.116571  33.086212], 2
7, 2, [2 7], [7 7], [32.902657 33.07637 ], 2
5, 9, [ 9 16], [6 5], [-10.066721  33.14288 ], 2
2, 7, [7], [2], [33.077515], 1
8, 15, [15], [8], [33.107334], 1
2, 3, [3 2], [2 2], [32.8619  33.06268], 2
0, 2, [ 2 14], [0 0], [32.941437 33.066372], 2
11, 2, [2], [11], [33.061775], 1
2, 9, [9 8], [6 2], [-10.081505  33.118294], 2
6, 12, [12 11], [2 6], [-10.105505  33.075287], 2
11, 12, [12], [11], [33.050694], 1
9, 16, [16], [9], [33.124302], 1
4, 15, [15 16], [8 4], [-9.998426 33.1781  ], 2
