alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
13, 3, [3], [13], [33.035408], 1
5, 11, [11  9  5 10  2], [9 5 6 6 5], [-25.601728    7.147519   -3.1784902   7.9642315  33.146023 ], 5
8, 1, [1 2], [8 8], [32.92596  33.138313], 2
10, 4, [4], [10], [33.04989], 1
13, 8, [8], [13], [33.18245], 1
14, 13, [13], [14], [33.190567], 1
13, 1, [1], [13], [33.037823], 1
13, 15, [15], [13], [33.051186], 1
0, 12, [12 10  4  3  5  4  6], [6 6 7 6 6 7 0], [-39.830143   -16.4561     -20.888786   -21.55311    -15.999942
  -0.07027626  33.1444    ], 7
11, 16, [16], [11], [33.187107], 1
10, 2, [2], [10], [33.12149], 1
1, 13, [13], [1], [33.15343], 1
6, 2, [ 2 14  9 10 14  3  9], [6 6 5 6 6 6 5], [ 13.276307     0.21654034 -14.876392   -11.55236    -21.050037
 -30.320686   -38.944977  ], 7
11, 9, [9], [11], [33.046764], 1
14, 3, [ 3 12 16  7  1], [ 7 14 12 12 14], [-25.602829    7.2332096  -3.0548491   8.021976   33.094585 ], 5
2, 12, [12], [2], [33.04474], 1
6, 11, [11], [6], [33.12397], 1
12, 11, [11], [12], [33.120354], 1
9, 4, [4], [9], [33.03749], 1
14, 15, [15  4 11 10 16], [12 12 12 12 14], [-33.419      -5.8166685  -3.112164    7.9540806  33.137497 ], 5
1, 7, [7], [1], [33.143196], 1
10, 10, [10], [10], [33.07013], 1
8, 4, [ 4 14], [8 8], [32.942333 33.16546 ], 2
12, 11, [11], [12], [33.12038], 1
3, 11, [11], [3], [33.106934], 1
0, 1, [1 2], [6 0], [-10.062027  33.14408 ], 2
5, 13, [13], [5], [33.15571], 1
13, 10, [10], [13], [33.070473], 1
8, 13, [13], [8], [33.164364], 1
10, 11, [11], [10], [33.125965], 1
3, 11, [11], [3], [33.107307], 1
11, 16, [16], [11], [33.186607], 1

