alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
8, 1, [1 9], [6 8], [-10.135197  33.05198 ], 2
0, 11, [11], [0], [33.090744], 1
9, 5, [5], [9], [33.031982], 1
10, 5, [5], [10], [33.031654], 1
10, 1, [1], [10], [33.039215], 1
1, 16, [16], [1], [33.175106], 1
5, 8, [ 8 16], [5 5], [32.99441  33.141975], 2
12, 8, [8], [12], [33.093872], 1
1, 1, [1], [1], [33.033005], 1
8, 15, [15 13], [8 8], [32.953655 33.10768 ], 2
4, 16, [16], [4], [33.164482], 1
1, 12, [12], [1], [33.04312], 1
7, 5, [ 5 14  9 10 14  3  9], [0 7 5 7 7 7 5], [-29.898796     0.11469364 -14.910425   -11.597796   -21.145145
 -30.343494   -38.951748  ], 7
5, 5, [ 5 13], [6 5], [-10.095846  33.11873 ], 2
11, 14, [14], [11], [33.053825], 1
10, 6, [6], [10], [33.121124], 1
12, 11, [11], [12], [33.0617], 1
4, 15, [15  7], [8 4], [-10.056908  33.08262 ], 2
2, 10, [10  5  8], [5 2 2], [-12.573643  28.901134  33.118065], 3
4, 13, [13], [4], [33.104862], 1
1, 2, [2], [1], [33.06109], 1
5, 13, [13], [5], [33.112778], 1
2, 6, [6], [2], [33.13224], 1
12, 12, [12], [12], [33.061554], 1
12, 13, [13], [12], [33.095955], 1
12, 13, [13], [12], [33.095955], 1
3, 4, [ 4 14], [6 3], [-10.103077  33.06569 ], 2
7, 12, [12 10 14 16], [0 6 5 7], [-28.00248     3.2479928  11.937719   33.127724 ], 4
12, 5, [5], [12], [33.032825], 1
1, 15, [15], [1], [33.063248], 1
10, 13, [13], [10], [33.097385], 1
0, 12, [12  6], [7 0], [-10.0727825  33.129715 ], 2

1, 12, [12], [1], [33.043137], 1
12, 7, [7], [12], [33.069836], 1
0, 8, [8], [0], [33.101917], 1
7, 5, [ 5 16], [0 7], [-10.089167  33.130436], 2
10, 11, [11], [10], [33.055862], 1
1, 14, [14], [1], [33.076813], 1
3, 8, [8], [3], [33.1396], 1
4, 16, [16], [4], [33.178722], 1
8, 5, [ 5 14], [8 8], [32.870636 33.064884], 2
5, 9, [ 9 10  8], [5 6 5], [22.6188   15.952442 33.113304], 3
3, 6, [6], [3], [33.118282], 1
3, 11, [11], [3], [33.07908], 1
11, 4, [4], [11], [33.07873], 1
0, 6, [ 6  9 11], [0 5 0], [22.670397 15.902939 33.09272 ], 3
12, 5, [5], [12], [33.03283], 1
12, 11, [11], [12], [33.0617], 1
6, 4, [4 8], [5 6], [-10.073906  33.1185  ], 2
5, 14, [14  8 10], [5 5 5], [30.43599 28.95334 33.08513], 3
6, 1, [ 1 14], [7 6], [-10.120628  33.074715], 2
1, 10, [10], [1], [33.111256], 1
2, 16, [16], [2], [33.14464], 1
8, 10, [10], [8], [33.09584], 1
10, 11, [11], [10], [33.05586], 1
11, 14, [14], [11], [33.053474], 1
6, 5, [5 2], [0 6], [-10.11129  33.09435], 2
5, 7, [7 9], [5 5], [32.915497 33.047333], 2
7, 9, [ 9 16], [5 7], [-10.075331  33.12814 ], 2
0, 3, [ 3  1 16 13], [6 2 3 0], [-28.020933    3.2540255  12.032869   33.0979   ], 4
2, 7, [7], [2], [33.07752], 1
5, 4, [ 4 11 13  6 16], [6 7 0 7 5], [-33.417877   -5.7924004  -3.0923958   8.016497   33.1427   ], 5
12, 1, [1], [12], [33.039913], 1
12, 2, [2], [12], [33.060783], 1

1, 11, [11], [1], [33.101044], 1
0, 6, [6], [0], [33.12944], 1
11, 13, [13], [11], [33.096535], 1
0, 8, [8], [0], [33.101906], 1
6, 1, [ 1 13], [5 6], [-10.065266  33.168793], 2
10, 10, [10], [10], [33.08153], 1
9, 9, [9], [9], [33.063293], 1
12, 15, [15], [12], [33.090508], 1
6, 15, [15 14], [5 6], [-10.083038  33.074715], 2
9, 16, [16], [9], [33.123695], 1
4, 7, [7], [4], [33.08261], 1
1, 2, [2], [1], [33.061085], 1
7, 11, [11], [7], [33.063995], 1
1, 9, [9], [1], [33.046112], 1
6, 15, [15  7], [6 6], [32.920864 33.07228 ], 2
12, 13, [13], [12], [33.09595], 1
12, 8, [8], [12], [33.093857], 1
7, 8, [ 8  5 13 16  5 15  2], [7 0 0 0 0 5 5], [ -0.12863445 -22.035286   -30.115808   -37.021492   -41.94149
 -43.292816   -38.932915  ], 7
12, 11, [11], [12], [33.0617], 1
1, 16, [16], [1], [33.175014], 1
11, 13, [13], [11], [33.096336], 1
0, 10, [10  1 14], [7 7 0], [-20.386444  15.874827  33.067215], 3
2, 3, [ 3  4 11], [6 5 2], [-20.438663  15.890946  33.057117], 3
7, 15, [15 16], [5 7], [-10.051613  33.12816 ], 2
0, 3, [3 7], [6 0], [-10.12528   33.080738], 2
11, 9, [9], [11], [33.05772], 1
1, 8, [8], [1], [33.11656], 1
10, 16, [16 12], [10 10], [32.96994  33.077427], 2
12, 2, [2], [12], [33.060734], 1
1, 8, [8], [1], [33.116547], 1
1, 5, [5], [1], [33.02552], 1
8, 9, [ 9  4 16 10 16  8], [8 8 4 4 4 8], [ 13.619606     0.95091057 -13.516933    -9.476646     4.0235233
  33.090782  ], 6

12, 12, [12], [12], [33.061554], 1
1, 3, [3], [1], [33.0233], 1
0, 7, [7], [0], [33.083008], 1
7, 4, [ 4 10  6  3 16], [6 6 0 0 7], [-33.4167     -5.7910385  -3.1257534   7.9075603  33.128162 ], 5
10, 12, [12], [10], [33.077], 1
12, 2, [2], [12], [33.060745], 1
12, 10, [10], [12], [33.08586], 1
12, 12, [12], [12], [33.061546], 1
1, 6, [6], [1], [33.091896], 1
5, 16, [16 13], [9 5], [-10.003967  33.114506], 2
8, 7, [ 7  1 15  7  6], [4 8 8 4 8], [-20.944332   14.9564085   9.86548     7.960722   33.131496 ], 5
1, 2, [2], [1], [33.06109], 1
9, 4, [4], [9], [33.073467], 1
9, 12, [12  9], [11  9], [-10.11097  33.06334], 2
2, 5, [ 5 14], [2 2], [32.87031  33.066696], 2
12, 6, [6], [12], [33.12047], 1
